"","species","lon","lat"
"11099","Nepeta_racemosa",24.925024,60.237708
"20311","Nepeta_racemosa",-87.795283,41.419824
"36279","Nepeta_racemosa",16.80472,47.955
"36717","Nepeta_racemosa",15.97833,46.68778
"39929","Nepeta_racemosa",12.8591,56.76482
"40323","Nepeta_racemosa",46.44,39.44
"54903","Nepeta_racemosa",11.61,48.13
"55308","Nepeta_racemosa",10.22,50.26
"57729","Nepeta_racemosa",45.117,39.8027
"57730","Nepeta_racemosa",46.4391,39.4391
"60584","Nepeta_racemosa",10.72,49.96
"60783","Nepeta_racemosa",10.86,49.91
"62509","Nepeta_racemosa",15.75262,57.85188
"68458","Nepeta_racemosa",12.14,48.79
"69071","Nepeta_racemosa",12.74,48.11
"69091","Nepeta_racemosa",9.99,50.26
"69243","Nepeta_racemosa",10.78,48.71
"69632","Nepeta_racemosa",17.86207,59.60498
"70977","Nepeta_racemosa",17.91408,59.12356
"74086","Nepeta_racemosa",17.80579,59.17241
"74096","Nepeta_racemosa",13.5265,59.30656
"78902","Nepeta_racemosa",6.55826,46.56536
"79275","Nepeta_racemosa",13.065833,48.25
"81057","Nepeta_racemosa",14.7025,48.226665
"81281","Nepeta_racemosa",14.284445,48.309166
"92432","Nepeta_racemosa",-105.28,39.63
"92660","Nepeta_racemosa",-104.99,40.6
"94350","Nepeta_racemosa",14.44137,59.32317
"95730","Nepeta_racemosa",18.0666,59.26474
"133763","Nepeta_racemosa",12.8595,55.86395
"133772","Nepeta_racemosa",14.82348,58.42821
"135193","Nepeta_racemosa",13.345278,48.24111
"136827","Nepeta_racemosa",11.65207,57.69716
"137038","Nepeta_racemosa",18.12747,59.38795
"137076","Nepeta_racemosa",14.68504,58.38195
"137083","Nepeta_racemosa",14.66317,58.23985
"137089","Nepeta_racemosa",15.63077,58.39625
"139815","Nepeta_racemosa",44.683056,41.680833
"140428","Nepeta_racemosa",10.82,48.44
"140533","Nepeta_racemosa",10.24,49.98
"140647","Nepeta_racemosa",9.79,49.92
"145415","Nepeta_racemosa",14.28,48.31
"146185","Nepeta_racemosa",13.04,47.78
"146591","Nepeta_racemosa",13.04,47.82
"147006","Nepeta_racemosa",14.42,48.04
"147034","Nepeta_racemosa",13.18,47.9
"147660","Nepeta_racemosa",13.12,47.87
"147729","Nepeta_racemosa",13.13,47.18
"148962","Nepeta_racemosa",14.07458,50.5595
"149692","Nepeta_racemosa",18.12549,59.38848
"149720","Nepeta_racemosa",16.17503,56.69838
"149722","Nepeta_racemosa",17.88453,59.22595
"149820","Nepeta_racemosa",12.9465,55.55818
"149853","Nepeta_racemosa",15.67452,58.40136
"149903","Nepeta_racemosa",14.56189,56.0649
"149947","Nepeta_racemosa",11.99182,58.54341
"150547","Nepeta_racemosa",15.61099,56.23987
"150582","Nepeta_racemosa",16.17654,56.69385
"150610","Nepeta_racemosa",14.09906,55.7265
"150624","Nepeta_racemosa",16.17324,56.6986
"150657","Nepeta_racemosa",17.88231,59.22685
"150688","Nepeta_racemosa",14.16169,56.20435
"150709","Nepeta_racemosa",12.95431,55.94606
"150748","Nepeta_racemosa",15.03597,58.51658
"150771","Nepeta_racemosa",18.06746,59.2534
"150851","Nepeta_racemosa",15.60118,56.15828
"150872","Nepeta_racemosa",13.10082,55.49533
"150899","Nepeta_racemosa",14.9015,58.44374
"150985","Nepeta_racemosa",15.87699,57.6931
"151237","Nepeta_racemosa",14.97124,58.50817
"151332","Nepeta_racemosa",15.64511,58.43623
"151379","Nepeta_racemosa",17.88371,59.22709
"151385","Nepeta_racemosa",17.5694,59.13708
"151429","Nepeta_racemosa",11.65179,58.15963
"151518","Nepeta_racemosa",14.90875,58.44112
"151567","Nepeta_racemosa",12.85509,55.86106
"151607","Nepeta_racemosa",15.01697,56.49975
"151609","Nepeta_racemosa",17.9214,59.1202
"151640","Nepeta_racemosa",16.1754,56.69861
"151748","Nepeta_racemosa",13.10258,55.66525
"151778","Nepeta_racemosa",13.01021,55.46761
"153103","Nepeta_racemosa",-104.978543,39.59976
"153107","Nepeta_racemosa",-104.939428,39.65948
"154097","Nepeta_racemosa",16.1783,56.69837
"160957","Nepeta_racemosa",-105.263833,39.973722
"162545","Nepeta_racemosa",16.14027,46.9354
"162732","Nepeta_racemosa",14.75451,47.2239
"162788","Nepeta_racemosa",16.141667,46.937222
"166600","Nepeta_racemosa",10.51,48.83
"166858","Nepeta_racemosa",17.8102,59.17631
"166870","Nepeta_racemosa",12.85892,55.86434
"167764","Nepeta_racemosa",-120.23389,39.17556
"169390","Nepeta_racemosa",10.49,48.8
"170937","Nepeta_racemosa",14.35,48.45639
"171908","Nepeta_racemosa",17.80546,59.17217
"173465","Nepeta_racemosa",17.88237,59.22687
"173468","Nepeta_racemosa",18.10594,59.25183
"178951","Nepeta_racemosa",48.2,41.18056
"182670","Nepeta_racemosa",24.79307,59.43422
"184569","Nepeta_racemosa",15.10946,58.33989
"191875","Nepeta_racemosa",17.91698,59.12409
"192280","Nepeta_racemosa",10.5,48.83
"198019","Nepeta_racemosa",-92.067083,46.747639
"199547","Nepeta_racemosa",12.836945,48.16083
"200265","Nepeta_racemosa",14.38333,50.05944
"200359","Nepeta_racemosa",45.87278,39.40889
"200570","Nepeta_racemosa",16.00806,48.81167
"200810","Nepeta_racemosa",16.5275,49.23833
"200946","Nepeta_racemosa",16.79389,49.21167
"201383","Nepeta_racemosa",7.73167,46.00139
"202041","Nepeta_racemosa",16.34512,49.06991
"207155","Nepeta_racemosa",17.99423,59.17896
"207161","Nepeta_racemosa",17.83582,59.49536
"207179","Nepeta_racemosa",17,59
"213587","Nepeta_racemosa",7.4,52.3
"213678","Nepeta_racemosa",9.78,49.97
"225948","Nepeta_racemosa",22.740615,63.681445
"246018","Nepeta_racemosa",17.93256,59.14962
"249911","Nepeta_racemosa",17.93262,59.14964
"250466","Nepeta_racemosa",44.98333,40.56667
"250493","Nepeta_racemosa",45.52222,39.59667
"251613","Nepeta_racemosa",22.408966,60.435147
"251786","Nepeta_racemosa",16.17662,56.69389
"257924","Nepeta_racemosa",11.992227,58.543963
"257972","Nepeta_racemosa",13.2347,55.68901
"258026","Nepeta_racemosa",13.02351,55.59028
"258151","Nepeta_racemosa",13.10023,56.31315
"258166","Nepeta_racemosa",12.86374,56.06116
"258201","Nepeta_racemosa",13.10727,55.82261
"258220","Nepeta_racemosa",13.62356,55.88885
"258235","Nepeta_racemosa",13.07522,55.67086
"258243","Nepeta_racemosa",14.94375,58.03458
"258315","Nepeta_racemosa",14.01556,55.93329
"258358","Nepeta_racemosa",12.90185,55.52296
"259159","Nepeta_racemosa",14.17915,51.1269
"261357","Nepeta_racemosa",13.06,47.77
"281961","Nepeta_racemosa",17.80535,59.17221
"283310","Nepeta_racemosa",15.62222,58.39355
"287342","Nepeta_racemosa",17.24687,52.32713
"290417","Nepeta_racemosa",11.1425,59.4898
"290629","Nepeta_racemosa",10.1482,59.7623
"291140","Nepeta_racemosa",10.732,59.9159
"294059","Nepeta_racemosa",11.55,48.13
"294732","Nepeta_racemosa",15.14928,59.23652
"294739","Nepeta_racemosa",12.90301,56.05359
"294800","Nepeta_racemosa",16.07386,58.5357
"294845","Nepeta_racemosa",15.15162,58.32171
"294901","Nepeta_racemosa",11.93664,58.38285
"295165","Nepeta_racemosa",13.01114,55.63074
"295231","Nepeta_racemosa",13.11957,55.61771
"296027","Nepeta_racemosa",10.84,50.07
"328029","Nepeta_racemosa",10.49,48.81
"328119","Nepeta_racemosa",10.45,49.96
"329803","Nepeta_racemosa",15.58527,57.32566
"345196","Nepeta_racemosa",43.471667,41.807778
"351882","Nepeta_racemosa",44.68444,41.68027
"353236","Nepeta_racemosa",14.70833,47.175
"360633","Nepeta_racemosa",14.98753,58.05907
"368731","Nepeta_racemosa",16.447002,57.18935
"368795","Nepeta_racemosa",16.1772,56.69633
"368824","Nepeta_racemosa",15.4059,48.31779
"368880","Nepeta_racemosa",15.035977,58.516576
"368981","Nepeta_racemosa",16.44605,57.233804
"369035","Nepeta_racemosa",17.882617,59.228158
"369134","Nepeta_racemosa",17.57305,59.136658
"369140","Nepeta_racemosa",16.471658,58.190841
"369148","Nepeta_racemosa",14.266728,57.790872
"377731","Nepeta_racemosa",24.968777,60.202113
"379198","Nepeta_racemosa",13.08061,56.51877
"380046","Nepeta_racemosa",13.46,47.73
"384937","Nepeta_racemosa",13.101389,48.2725
"384975","Nepeta_racemosa",14.271389,48.46611
"385172","Nepeta_racemosa",13.606389,48.56389
"385333","Nepeta_racemosa",13.430278,48.45972
"391435","Nepeta_racemosa",175.052359,-39.932695
"393332","Nepeta_racemosa",46.3238,39.5025
"393536","Nepeta_racemosa",1.535,42.5569
"399441","Nepeta_racemosa",6.053695,51.526339
"400981","Nepeta_racemosa",14.21905,56.01246
"404059","Nepeta_racemosa",8.6696,47.64163
"405101","Nepeta_racemosa",17.88231,59.22685
"411759","Nepeta_racemosa",-92.067083,46.747639
"412382","Nepeta_racemosa",13.13,47.98
"412599","Nepeta_racemosa",13.21,47.88
"412655","Nepeta_racemosa",13.63,47.13
"412927","Nepeta_racemosa",13.04,47.73
"414801","Nepeta_racemosa",5.350965,51.791142
"418587","Nepeta_racemosa",45.72195,39.682217
"418727","Nepeta_racemosa",8.6408,50.16465
"421171","Nepeta_racemosa",10.4687,59.4129
"421668","Nepeta_racemosa",11.04,59.0256
"423409","Nepeta_racemosa",16.38333,48.27222
"423728","Nepeta_racemosa",16.06028,48.61917
"423917","Nepeta_racemosa",16.27767,47.99919
"424283","Nepeta_racemosa",12.76753,56.07145
"424525","Nepeta_racemosa",12.85585,55.86153
"424527","Nepeta_racemosa",14.09984,55.72697
"424679","Nepeta_racemosa",14.56181,56.06487
