"","species","lon","lat"
"13032","Nicotiana_tabacum",-80.149199,33.044123
"13559","Nicotiana_tabacum",-99.53019,17.56331
"19494","Nicotiana_tabacum",-88.756944,19.273611
"19524","Nicotiana_tabacum",25.366667,5.366667
"19725","Nicotiana_tabacum",-75.43777,-10.44305
"19846","Nicotiana_tabacum",-72.165,-12.91305
"19897","Nicotiana_tabacum",-76.437222,-0.240833
"19910","Nicotiana_tabacum",-87.58333,14.58333
"19941","Nicotiana_tabacum",-74.375627,-9.163761
"27465","Nicotiana_tabacum",-62,-16.11666
"35150","Nicotiana_tabacum",-72.81666,-13.06666
"35201","Nicotiana_tabacum",-79.016667,-8.116667
"35445","Nicotiana_tabacum",-108.59444,28.40694
"35465","Nicotiana_tabacum",-64.68555,-17.70083
"37077","Nicotiana_tabacum",-75.666667,5.416667
"37090","Nicotiana_tabacum",-76.181111,3.581389
"37092","Nicotiana_tabacum",-73.478333,5.7125
"37544","Nicotiana_tabacum",2.283333,10.333333
"38397","Nicotiana_tabacum",120.738177,23.580587
"38476","Nicotiana_tabacum",120.666944,22.633611
"38484","Nicotiana_tabacum",120.752778,23.052778
"38733","Nicotiana_tabacum",120.928333,23.562778
"38877","Nicotiana_tabacum",120.854583,24.467764
"39139","Nicotiana_tabacum",-78.66666,0.06666
"39141","Nicotiana_tabacum",-79.08333,-3.38333
"39271","Nicotiana_tabacum",-78.37611,-7.2475
"39426","Nicotiana_tabacum",-68.726422,-14.760158
"39427","Nicotiana_tabacum",-78.166667,-2.466667
"39711","Nicotiana_tabacum",-77.850433,-7.00975
"39804","Nicotiana_tabacum",-80.7,-1.6
"39966","Nicotiana_tabacum",-88.225,19.391667
"39974","Nicotiana_tabacum",-88.1329058,19.4006511
"40035","Nicotiana_tabacum",-88.308333,18.508333
"40316","Nicotiana_tabacum",9.69,4.78
"40367","Nicotiana_tabacum",11.58,3.63
"41221","Nicotiana_tabacum",-89.366667,19.833333
"49961","Nicotiana_tabacum",-118.48416,34.01361
"50009","Nicotiana_tabacum",-72.165,-12.91305
