"","species","lon","lat"
"982","Nuphar_pumila",23.773659,68.035557
"3482","Nuphar_pumila",28.893663,63.794842
"3913","Nuphar_pumila",23.314486,68.358149
"4888","Nuphar_pumila",27.178095,65.233342
"5095","Nuphar_pumila",25.770998,64.93285
"5970","Nuphar_pumila",23.548775,68.417022
"6049","Nuphar_pumila",27.353162,60.630454
"7043","Nuphar_pumila",27.382054,60.756021
"7044","Nuphar_pumila",24.382193,67.104193
"7417","Nuphar_pumila",24.919124,66.214967
"7506","Nuphar_pumila",22.598257,68.538432
"7682","Nuphar_pumila",27.081207,64.667914
"8011","Nuphar_pumila",30.011789,65.696999
"9049","Nuphar_pumila",26.986824,64.529373
"9527","Nuphar_pumila",25.672054,65.00915
"9601","Nuphar_pumila",24.989242,64.484225
"10807","Nuphar_pumila",27.98927,67.463352
"10909","Nuphar_pumila",25.661275,65.012642
"11129","Nuphar_pumila",24.129921,68.351729
"11733","Nuphar_pumila",22.353914,63.570583
"12048","Nuphar_pumila",25.756186,69.039781
"14527","Nuphar_pumila",26.790806,67.571426
"14992","Nuphar_pumila",29.523755,64.934053
"15093","Nuphar_pumila",25.286442,64.389289
"15178","Nuphar_pumila",23.460921,63.422558
"15790","Nuphar_pumila",29.147449,66.303783
"16408","Nuphar_pumila",25.6698,65.011821
"16504","Nuphar_pumila",26.485172,66.766134
"16789","Nuphar_pumila",28.618772,62.532909
"18492","Nuphar_pumila",25.663395,65.012661
"19399","Nuphar_pumila",30.320757,62.187128
"29020","Nuphar_pumila",23.74849,68.044038
"29071","Nuphar_pumila",25.799187,64.964477
"29128","Nuphar_pumila",23.967485,64.110919
"29418","Nuphar_pumila",25.79699,64.966253
"29713","Nuphar_pumila",29.064688,65.291057
"30098","Nuphar_pumila",27.62116,65.886893
"31063","Nuphar_pumila",26.505717,66.873808
"31669","Nuphar_pumila",29.567317,62.716203
"31762","Nuphar_pumila",27.225684,60.689065
"32405","Nuphar_pumila",21.904181,63.20907
"33458","Nuphar_pumila",23.462025,63.413604
"33680","Nuphar_pumila",24.751853,68.450971
"34405","Nuphar_pumila",25.234491,67.73478
"35025","Nuphar_pumila",-0.2951,51.4284
"38179","Nuphar_pumila",121.170944,24.928807
"38216","Nuphar_pumila",120.793755,23.831367
"55079","Nuphar_pumila",10.46,47.67
"60914","Nuphar_pumila",10.54,47.62
"60929","Nuphar_pumila",10.69,47.8
"63921","Nuphar_pumila",3.0817,44.6185
"64417","Nuphar_pumila",81.0666,54.0666
"64455","Nuphar_pumila",121.75,59.0166
"64485","Nuphar_pumila",82.23333,51.38333
"64486","Nuphar_pumila",82.61667,51.3
"75043","Nuphar_pumila",87.5663,54.1104
"75046","Nuphar_pumila",87.705323,52.915953
"78225","Nuphar_pumila",147.32441,59.532725
"78394","Nuphar_pumila",95.983333,52.216667
"78649","Nuphar_pumila",106.3641,52.33937
