"","species","lon","lat"
"34577","Oryza_barthii",14.183333,12.35
"41161","Oryza_barthii",34.8852,-6.36822
"41412","Oryza_barthii",-0.3,14.4
"55666","Oryza_barthii",0.982972,10.706349
"55706","Oryza_barthii",1.549412,11.0164
"55736","Oryza_barthii",1.236302,10.806376
"55749","Oryza_barthii",1.446415,10.930116
"55752","Oryza_barthii",1.229435,10.847179
"55790","Oryza_barthii",1.271707,10.707192
"55848","Oryza_barthii",0.97948,10.707709
"56066","Oryza_barthii",1.422425,11.147946
"56095","Oryza_barthii",1.037904,11.017895
"56507","Oryza_barthii",-13.166,12.983
"56648","Oryza_barthii",-16.45,13.8
"56649","Oryza_barthii",-16.383,14.333
"56650","Oryza_barthii",-1.183,12.7
"56651","Oryza_barthii",-0.366,12.066
"56652","Oryza_barthii",-16.416,13.716
"56683","Oryza_barthii",-16.05,14.083
"56684","Oryza_barthii",-13.066,13.3
"56685","Oryza_barthii",-12.233,12.483
"56700","Oryza_barthii",-16.083,14.083
"56701","Oryza_barthii",-12.666,13.05
"56702","Oryza_barthii",-13.3,13.033
"56703","Oryza_barthii",-12.233,12.5
"56704","Oryza_barthii",-0.35,11.733
"56705","Oryza_barthii",-0.3,14.4
"56706","Oryza_barthii",-13.283,13.05
"56707","Oryza_barthii",-13.266,13.016
"56708","Oryza_barthii",-12.25,12.45
"56709","Oryza_barthii",-13.216,13.016
"56710","Oryza_barthii",-13.016,13.3
"56731","Oryza_barthii",-0.216,13
"63482","Oryza_barthii",-12.23,12.48
"63513","Oryza_barthii",-16.45,13.8
"66573","Oryza_barthii",2.716667,9.266667
"66574","Oryza_barthii",1.383333,10.75
"66615","Oryza_barthii",34.25,8.166667
"66891","Oryza_barthii",-16.383333,14.333333
"67190","Oryza_barthii",-16.45,13.8
"67313","Oryza_barthii",2.1,6.35
"67792","Oryza_barthii",-0.3,14.4
"81885","Oryza_barthii",-16.05,14.08333
"172164","Oryza_barthii",1.9333,6.45
"172165","Oryza_barthii",2.5,6.5833
"172166","Oryza_barthii",1.1166,10.9333
"172167","Oryza_barthii",2.1666,6.9166
"172168","Oryza_barthii",2.6166,6.3833
"214502","Oryza_barthii",-16.38,14.33
"250765","Oryza_barthii",-13.07,13.3
"263863","Oryza_barthii",-14.616667,12.4
"282142","Oryza_barthii",2.890121,11.279488
"282143","Oryza_barthii",3.120117,11.813588
"282144","Oryza_barthii",2.651083,11.245783
"282145","Oryza_barthii",2.730819,11.268714
"282146","Oryza_barthii",3.201656,11.899604
"282147","Oryza_barthii",2.6119,11.4176
"282148","Oryza_barthii",2.912093,11.268714
"282149","Oryza_barthii",3.482666,11.566144
"282150","Oryza_barthii",3.302138,11.624824
"282151","Oryza_barthii",3.03772,12.200442
"282152","Oryza_barthii",2.26765,11.260467
"282153","Oryza_barthii",2.491383,11.309967
"282154","Oryza_barthii",3.520033,11.60035
"282155","Oryza_barthii",3.328857,11.480025
"282156","Oryza_barthii",3.032227,12.044693
"282157","Oryza_barthii",2.692367,11.257939
"282158","Oryza_barthii",2.5953,11.470133
"282159","Oryza_barthii",3.322017,11.8678
"285724","Oryza_barthii",2.183333,7.833333
"286008","Oryza_barthii",31.71667,-13.1
"286137","Oryza_barthii",2.466667,6.75
"307006","Oryza_barthii",2.18333,6.97083
"307050","Oryza_barthii",2.17083,6.95
"332452","Oryza_barthii",2.08333,6.96667
"332504","Oryza_barthii",2.18333,7.08333
"332527","Oryza_barthii",1.13333,10.13333
"332829","Oryza_barthii",9.99091,-0.83507
"332972","Oryza_barthii",2.17861,6.38917
"380832","Oryza_barthii",-11.522778,15.939444
"380838","Oryza_barthii",-12.799444,15.259722
"389013","Oryza_barthii",34.25,8.166667
"389027","Oryza_barthii",1.65,7.666667
"401667","Oryza_barthii",2.4,6.716667
"401733","Oryza_barthii",1.133333,10.133333
"411916","Oryza_barthii",9.99091,-0.83507
"414834","Oryza_barthii",-16.383333,14.333333
"416981","Oryza_barthii",-16.25,13.716667
"417413","Oryza_barthii",3.391333,10.957167
"417518","Oryza_barthii",1.65,7.666667
"418473","Oryza_barthii",1.05,11.05
"418476","Oryza_barthii",-3.25,10.966667
"418495","Oryza_barthii",-0.033333,14.05
"418559","Oryza_barthii",-0.22875,14.434917
"418584","Oryza_barthii",-0.033333,14.183333
"418793","Oryza_barthii",0.146944,12.156389
"418810","Oryza_barthii",13.921667,12.0375
"418882","Oryza_barthii",-0.298056,14.408611
"432093","Oryza_barthii",-0.3,14.4
"434422","Oryza_barthii",2.083333,6.966667
"434609","Oryza_barthii",30.01806,-8.60417
"436257","Oryza_barthii",2.116667,6.95
"439817","Oryza_barthii",30,-8.6
"439865","Oryza_barthii",30.018056,-30.018056
"439964","Oryza_barthii",23.7025,-23.7025
"440259","Oryza_barthii",31.78333,-13.06667
"468453","Oryza_barthii",-16.05,14.083333
"468867","Oryza_barthii",-16.45,13.8
"484615","Oryza_barthii",-0.35,11.733333
"484644","Oryza_barthii",2.173833,6.386833
