"","species","lon","lat"
"12745","Paederia_foetida",-81.639371,30.258494
"12746","Paederia_foetida",-84.593218,30.576677
"19640","Paederia_foetida",-82.1837,28.6007
"19965","Paederia_foetida",117.47,26.72
"19980","Paederia_foetida",110.05,25.25
"19985","Paederia_foetida",115.99,29.61
"20021","Paederia_foetida",110.63,26.72
"20045","Paederia_foetida",105.6,33.32
"20062","Paederia_foetida",110.58,25.6
"20132","Paederia_foetida",110.85,26.43
"20149","Paederia_foetida",105.72,34.56
"20160","Paederia_foetida",114.41,29.01
"20183","Paederia_foetida",118.03,27.75
"20184","Paederia_foetida",114.05,22.54
"20186","Paederia_foetida",106.15,33.32
"20274","Paederia_foetida",115.78,29.59
"20785","Paederia_foetida",141.135086,39.024614
"20786","Paederia_foetida",141.135033,39.024753
"20829","Paederia_foetida",98.7,19.116667
"34763","Paederia_foetida",121,13.791667
"37415","Paederia_foetida",101.77,20.41
"37432","Paederia_foetida",101.37,14.35
"37609","Paederia_foetida",105.583333,20.35
"37707","Paederia_foetida",120.4325,23.797778
"37722","Paederia_foetida",120.329167,23.782778
"37727","Paederia_foetida",120.315,23.792222
"37732","Paederia_foetida",120.911944,23.529722
"37747","Paederia_foetida",120.339722,23.845556
"37765","Paederia_foetida",120.493986,23.52995
"37780","Paederia_foetida",120.387222,23.987222
"37782","Paederia_foetida",120.386389,23.97
"37807","Paederia_foetida",121.266667,25.038889
"37851","Paederia_foetida",120.309756,23.373375
"37864","Paederia_foetida",120.391111,23.885556
"37885","Paederia_foetida",121.3604,24.71212
"37889","Paederia_foetida",120.401139,23.606167
"37910","Paederia_foetida",120.358803,23.599
"37912","Paederia_foetida",121.387222,24.659444
"37924","Paederia_foetida",120.434722,23.939722
"37937","Paederia_foetida",120.364743,23.939767
"37949","Paederia_foetida",120.66331,23.567593
"37961","Paederia_foetida",121.22,25.0175
"38031","Paederia_foetida",120.194444,23.61
"38071","Paederia_foetida",120.604956,23.759312
"38094","Paederia_foetida",120.426487,23.705117
"38161","Paederia_foetida",121.755,25.004167
"38162","Paederia_foetida",121.52918,25.18331
"38188","Paederia_foetida",120.801111,23.829167
"38200","Paederia_foetida",120.289956,23.572449
"38274","Paederia_foetida",120.347776,23.597688
"38303","Paederia_foetida",120.78,23.925278
"38340","Paederia_foetida",120.533056,24.031944
"38366","Paederia_foetida",120.864722,24.008611
"38391","Paederia_foetida",120.548611,24.041667
"38407","Paederia_foetida",120.595833,23.818889
"38419","Paederia_foetida",120.556111,23.783889
"38440","Paederia_foetida",120.749843,24.565455
"38443","Paederia_foetida",120.470833,24.079167
"38449","Paederia_foetida",120.495556,24.120833
"38457","Paederia_foetida",120.55,24.025833
"38481","Paederia_foetida",120.872432,23.809429
"38510","Paederia_foetida",120.643889,24.425556
"38553","Paederia_foetida",120.3725,23.781389
"38568","Paederia_foetida",120.147606,23.36559
"38579","Paederia_foetida",120.389167,23.756389
"38612","Paederia_foetida",120.596794,23.567435
"38630","Paederia_foetida",120.299444,23.66
"38637","Paederia_foetida",120.479444,23.724722
"38660","Paederia_foetida",120.297229,23.516291
"38794","Paederia_foetida",120.28609,22.89064
"38805","Paederia_foetida",120.974927,24.552235
"38865","Paederia_foetida",120.39485,22.7551
"38885","Paederia_foetida",120.17249,23.169082
"38926","Paederia_foetida",120.561264,24.141764
"42567","Paederia_foetida",135.9688,34.46806
"42583","Paederia_foetida",135.76106,34.66947
"42587","Paederia_foetida",135.84291,34.58167
"42616","Paederia_foetida",135.79846,34.40693
"42617","Paederia_foetida",135.82219,34.68138
"44864","Paederia_foetida",110,24
"50053","Paederia_foetida",105.83333,22.73333
"50312","Paederia_foetida",127.90175,0.51875
"50537","Paederia_foetida",128.9,37.8
"50557","Paederia_foetida",139.19,35.64
"50609","Paederia_foetida",127.43,35.08
"50641","Paederia_foetida",139.23,35.63
"53097","Paederia_foetida",135.347,-3.4195
"54532","Paederia_foetida",130.535995,31.1831
"54827","Paederia_foetida",120.31968,31.526047
"56331","Paederia_foetida",98.666,8.916
"56333","Paederia_foetida",99.5,7.75
"63503","Paederia_foetida",99.1456,23.6028
"66340","Paederia_foetida",104.74,19.05
"67557","Paederia_foetida",105.71,20.3
"67585","Paederia_foetida",120.85,18.45
"67693","Paederia_foetida",100.283333,18.3
"67754","Paederia_foetida",105.45,15.416667
"67859","Paederia_foetida",98.916667,18.783333
"67960","Paederia_foetida",105.596167,20.35
"68000","Paederia_foetida",4.528344,52.027983
"68061","Paederia_foetida",99.866667,18.333333
"68121","Paederia_foetida",99.233333,7.85
"73140","Paederia_foetida",127.971444,35.513639
"73142","Paederia_foetida",128.012556,35.513333
"73167","Paederia_foetida",127.436778,35.529028
"73168","Paederia_foetida",128.549713,35.732548
"73175","Paederia_foetida",128.549026,35.732349
"73186","Paederia_foetida",127.458583,35.542111
"73224","Paederia_foetida",128.508621,35.714314
"73240","Paederia_foetida",129.098944,35.649306
"74368","Paederia_foetida",115.98,29.68
"74375","Paederia_foetida",106.22,27.47
"74404","Paederia_foetida",99.46,22.25
"74412","Paederia_foetida",115.1,29.27
"74428","Paederia_foetida",116.33,31.4
"74465","Paederia_foetida",117.13,34.3
"74479","Paederia_foetida",114.46,38.05
"74505","Paederia_foetida",118.13,30.3
"74517","Paederia_foetida",103.12,30.08
"74518","Paederia_foetida",110.63,36.76
"74519","Paederia_foetida",109.51,18.25
"74590","Paederia_foetida",116.35,30.85
"74605","Paederia_foetida",108.07,26.38
"74616","Paederia_foetida",107.98,33.53
"74622","Paederia_foetida",109.4,29.52
"74693","Paederia_foetida",106.92,33.62
"74700","Paederia_foetida",118.17,26.65
"74701","Paederia_foetida",110.15,26.58
"74704","Paederia_foetida",109.82,27.2
"74710","Paederia_foetida",120.9,29.5
"74780","Paederia_foetida",111.03,27.12
"74798","Paederia_foetida",115.4,31.8
"74813","Paederia_foetida",120.82,30.72
"78921","Paederia_foetida",105.3393,17.5091
"78944","Paederia_foetida",107.86614,16.19775
"84311","Paederia_foetida",103.400348,24.808853
"84322","Paederia_foetida",101.56752,21.475834
"84338","Paederia_foetida",100.799775,22.01071
"93248","Paederia_foetida",139.0175,36.346667
"93259","Paederia_foetida",139.501944,36.225278
"93273","Paederia_foetida",139.401111,36.233056
"93296","Paederia_foetida",139.177778,36.485556
"93348","Paederia_foetida",139.1,36.3
"93417","Paederia_foetida",139.046667,36.381389
"93443","Paederia_foetida",138.885278,36.161944
"93547","Paederia_foetida",139.044167,36.645833
"93665","Paederia_foetida",138.7975,36.479444
"93722","Paederia_foetida",138.9,36.3
"95051","Paederia_foetida",102.87,18.17
"95145","Paederia_foetida",120.75,22.333333
"95146","Paederia_foetida",121.5,24.166667
"95174","Paederia_foetida",109.633333,30.1
"95177","Paederia_foetida",109.29,30.018333
"95293","Paederia_foetida",121.594722,24.756389
"95310","Paederia_foetida",121.7,24.933333
"95328","Paederia_foetida",110.133333,26.066667
"95382","Paederia_foetida",121.45,25.116667
"95424","Paederia_foetida",120.866667,22.2
"95425","Paederia_foetida",120.65,22.283333
"96238","Paederia_foetida",110.871148,30.222233
"96239","Paederia_foetida",109.815677,32.089392
"96240","Paederia_foetida",113.166529,30.663372
"96254","Paederia_foetida",115.785877,29.599068
"96259","Paederia_foetida",111.261345,30.966552
"132690","Paederia_foetida",126.65305,36.4881
"132691","Paederia_foetida",127.73945,34.78252
"134322","Paederia_foetida",-82.318544,29.662262
"134393","Paederia_foetida",-82.05086,29.21938
"134470","Paederia_foetida",-82.265,28.683333
"134491","Paederia_foetida",-82.40667,29.612
"134782","Paederia_foetida",121,13.783333
"134869","Paederia_foetida",105.663667,20.295833
"136071","Paederia_foetida",139.42491,35.61917
"136078","Paederia_foetida",139.447908,35.65393
"139853","Paederia_foetida",98.615,27.787222
"139915","Paederia_foetida",98.625556,26.018889
"151071","Paederia_foetida",104.796,20.7717
"152483","Paederia_foetida",109.17,18.75
"152484","Paederia_foetida",100.86,22.7
"152489","Paederia_foetida",106.14,34.75
"152507","Paederia_foetida",113.33,27
"152508","Paederia_foetida",109.73,28.32
"152538","Paederia_foetida",105.82,28.05
"152552","Paederia_foetida",110.67,31.75
"152558","Paederia_foetida",114.38,27.8
"152564","Paederia_foetida",103.48,29.6
"152573","Paederia_foetida",111.45,27.25
"152587","Paederia_foetida",114.53,32.2
"152654","Paederia_foetida",111.72,24.35
"152661","Paederia_foetida",101.57,21.48
"153916","Paederia_foetida",138.334785,36.359245
"153924","Paederia_foetida",138.2182,36.36023
"153934","Paederia_foetida",138.265048,36.289899
"154946","Paederia_foetida",98.692688,27.717392
"154987","Paederia_foetida",98.654404,27.7705
"154988","Paederia_foetida",98.601112,28.034163
"155016","Paederia_foetida",98.8825,27.195774
"155051","Paederia_foetida",98.805,24.935274
"155052","Paederia_foetida",98.8125,25.288551
"155094","Paederia_foetida",98.625557,26.018892
"155154","Paederia_foetida",98.727778,27.6375
"155155","Paederia_foetida",98.58445,26.136385
"155156","Paederia_foetida",98.866501,26.958
"155181","Paederia_foetida",139.55327,35.61349
"155185","Paederia_foetida",139.60419,35.60409
"155192","Paederia_foetida",139.65317,35.58918
"155195","Paederia_foetida",139.74098,35.52131
"155197","Paederia_foetida",139.75395,35.49719
"155208","Paederia_foetida",139.64339,35.56293
"155230","Paederia_foetida",139.66945,35.55924
"155240","Paederia_foetida",139.67049,35.54988
"155248","Paederia_foetida",139.55948,35.6125
"155250","Paederia_foetida",139.54984,35.59054
"155251","Paederia_foetida",139.55537,35.59985
"155258","Paederia_foetida",139.5623,35.60096
"155261","Paederia_foetida",139.75641,35.51725
"155288","Paederia_foetida",139.65475,35.5725
"155302","Paederia_foetida",139.57782,35.60123
"155313","Paederia_foetida",139.56503,35.60482
"155317","Paederia_foetida",139.61438,35.58327
"155333","Paederia_foetida",139.61119,35.59716
"155335","Paederia_foetida",139.638,35.57618
"155338","Paederia_foetida",139.72685,35.48357
"155339","Paederia_foetida",139.71535,35.51632
"155342","Paederia_foetida",139.50847,35.58856
"155358","Paederia_foetida",139.49712,35.5857
"155362","Paederia_foetida",139.58432,35.61766
"157730","Paederia_foetida",150.9335,-33.906567
"158412","Paederia_foetida",-155.117,19.6167
"158487","Paederia_foetida",-156.311,20.9197
"172435","Paederia_foetida",97.93,24.72
"172445","Paederia_foetida",110.85,26.43
"172466","Paederia_foetida",110.57,27.05
"172522","Paederia_foetida",114.27,26.72
"172572","Paederia_foetida",109.65,28.72
