"","species","lon","lat"
"20284","Palaemon_longirostris",-8.660406,37.616381
"20285","Palaemon_longirostris",-8.718722,37.660347
"20286","Palaemon_longirostris",-8.729367,37.682264
"20287","Palaemon_longirostris",-8.597367,37.569883
"20288","Palaemon_longirostris",-8.621867,37.5776
"20289","Palaemon_longirostris",-8.602964,37.576625
"42137","Palaemon_longirostris",-8.8333,41.5
"166168","Palaemon_longirostris",-8.668,37.089
"166871","Palaemon_longirostris",-1.391334,50.895004
"207021","Palaemon_longirostris",8.1082,53.4442
"207053","Palaemon_longirostris",8.163383,53.406167
"207054","Palaemon_longirostris",8.1685,53.407533
"207055","Palaemon_longirostris",8.16645,53.406933
"207056","Palaemon_longirostris",8.169067,53.407533
"207067","Palaemon_longirostris",8.899617,54.59295
"207068","Palaemon_longirostris",8.99025,54.34115
"447012","Palaemon_longirostris",-8.837222,41.883056
