"","species","lon","lat"
"20378","Parietaria_judaica",-0.271231,51.548322
"20552","Parietaria_judaica",9.155814,44.346649
"20715","Parietaria_judaica",9.74047,44.120179
"20773","Parietaria_judaica",9.954352,44.159293
"20808","Parietaria_judaica",4.27106,51.498195
"20833","Parietaria_judaica",5.913833,52.011
"20967","Parietaria_judaica",-0.108333,38.675
"21543","Parietaria_judaica",22.12944,37.89861
"21544","Parietaria_judaica",22.14611,37.8725
"21545","Parietaria_judaica",22.26583,38.16722
"21546","Parietaria_judaica",22.23444,38.16917
"21547","Parietaria_judaica",22.31111,38.15028
"21548","Parietaria_judaica",21.91,38.00778
"21549","Parietaria_judaica",21.99,38.23861
"21550","Parietaria_judaica",21.8325,38.10111
"21551","Parietaria_judaica",21.8575,38.05278
"21557","Parietaria_judaica",21.87722,37.71889
"21558","Parietaria_judaica",22.00472,37.68694
"21559","Parietaria_judaica",22.46833,37.85028
"21560","Parietaria_judaica",22.04139,37.59556
"21561","Parietaria_judaica",22.39861,38.12
"21570","Parietaria_judaica",23.03917,38.61694
"21571","Parietaria_judaica",22.7425,38.5175
"21572","Parietaria_judaica",22.24056,38.17722
"21573","Parietaria_judaica",22.90833,38.35667
"21574","Parietaria_judaica",22.9175,38.465
"21575","Parietaria_judaica",22.74944,38.51833
"21576","Parietaria_judaica",22.95389,38.47167
"21587","Parietaria_judaica",20.48028,39.23611
"21589","Parietaria_judaica",20.44639,39.28472
"21590","Parietaria_judaica",20.68167,39.1475
"21591","Parietaria_judaica",22.09417,38.225
"22495","Parietaria_judaica",21.63139,39.72111
"22544","Parietaria_judaica",24.76,41.09278
"22546","Parietaria_judaica",25.36833,41.16389
"22548","Parietaria_judaica",24.76944,41.09222
"22557","Parietaria_judaica",23.20417,40.49111
"23403","Parietaria_judaica",25.58417,35.07639
"23884","Parietaria_judaica",20.62389,39.86556
"23885","Parietaria_judaica",21.835,40.79833
"23981","Parietaria_judaica",20.38639,39.29278
"23982","Parietaria_judaica",21.11833,39.0425
"23983","Parietaria_judaica",20.71667,39.02611
"23984","Parietaria_judaica",20.36722,39.29833
"23985","Parietaria_judaica",21.04056,39.16861
"23986","Parietaria_judaica",21.10944,39.13389
"23987","Parietaria_judaica",21.15833,39.10583
"23988","Parietaria_judaica",21.08556,39.10611
"23989","Parietaria_judaica",21.04528,39.06
"23990","Parietaria_judaica",21.06528,39.07306
"23991","Parietaria_judaica",20.73861,38.79833
"23992","Parietaria_judaica",21.6275,39.46194
"23993","Parietaria_judaica",21.18389,39.37056
"24001","Parietaria_judaica",21.15389,38.88306
"24002","Parietaria_judaica",21.17556,38.87778
"24554","Parietaria_judaica",21.87722,38.43222
"24555","Parietaria_judaica",21.87639,38.46472
"24556","Parietaria_judaica",21.82083,38.38722
"24557","Parietaria_judaica",21.62861,38.35167
"24558","Parietaria_judaica",21.62278,38.58861
"24559","Parietaria_judaica",21.61611,38.57111
"24560","Parietaria_judaica",21.7125,38.50444
"26124","Parietaria_judaica",-2.4612352,43.1088892
"26388","Parietaria_judaica",-1.8312117,42.5588833
"26504","Parietaria_judaica",-1.4811939,41.9988744
"26582","Parietaria_judaica",-1.8312154,42.7488876
"27133","Parietaria_judaica",-121.76763,37.00637
"27320","Parietaria_judaica",-121.8295,36.6421
"34547","Parietaria_judaica",4.374334,51.635911
"34926","Parietaria_judaica",-5.236667,36.753
"34999","Parietaria_judaica",4.543715,51.692406
"36010","Parietaria_judaica",16.76111,48.255
"36170","Parietaria_judaica",14.55222,45.21306
"36185","Parietaria_judaica",15.91722,38.05006
"36256","Parietaria_judaica",15.33472,47.22278
"36257","Parietaria_judaica",17.05917,48.09333
"38946","Parietaria_judaica",6.15528,48.69056
"38950","Parietaria_judaica",16.08417,41.08194
"42289","Parietaria_judaica",145.032222,-37.770694
"42905","Parietaria_judaica",-5.1,43.27
"42919","Parietaria_judaica",-1.89,37.060001
"53850","Parietaria_judaica",-122.195278,37.011389
"53923","Parietaria_judaica",-118.283261,33.716861
"54027","Parietaria_judaica",-118.005312,33.705881
"54793","Parietaria_judaica",-80.646944,32.4125
"56308","Parietaria_judaica",23.933,35.5
"56849","Parietaria_judaica",-0.049,38.6295
"56867","Parietaria_judaica",0.266667,40.65
"56879","Parietaria_judaica",-3.5658,37.3495
"57024","Parietaria_judaica",-4.0082,34.152
"57088","Parietaria_judaica",0.0084,38.7186
"57288","Parietaria_judaica",-4.5885,43.1779
"57303","Parietaria_judaica",-3.4661,42.0492
"57381","Parietaria_judaica",-3.2946,42.7653
"57495","Parietaria_judaica",-7.4151,39.64
"57715","Parietaria_judaica",-73.95962,4.93943
"57936","Parietaria_judaica",2.43,41.72
"58001","Parietaria_judaica",2.34,42.31
"58010","Parietaria_judaica",2.21,41.69
"58032","Parietaria_judaica",2.75,42.01
"58055","Parietaria_judaica",2.94,42.33
"58088","Parietaria_judaica",2.07,41.33
"58394","Parietaria_judaica",0.39,40.78
"58404","Parietaria_judaica",1.93,41.36
"58612","Parietaria_judaica",2.34,41.69
"58702","Parietaria_judaica",0.45,40.76
"58814","Parietaria_judaica",-0.29,39.04
"62639","Parietaria_judaica",14.01797,37.98654
"62684","Parietaria_judaica",12.668953,38.105926
"62728","Parietaria_judaica",13.117054,37.772988
"62986","Parietaria_judaica",14.723063,36.923768
"63061","Parietaria_judaica",13.213469,38.02235
"63083","Parietaria_judaica",12.82522,37.58337
"63107","Parietaria_judaica",15,37.13
"63113","Parietaria_judaica",15.286961,37.852186
"63268","Parietaria_judaica",13.663755,37.930493
"63292","Parietaria_judaica",13.548628,37.979723
"63314","Parietaria_judaica",15.043777,38.140413
"63759","Parietaria_judaica",147.3,-42.87
"63770","Parietaria_judaica",150.975,-33.7819
"63832","Parietaria_judaica",150.9269,-31.0914
"65922","Parietaria_judaica",30.813383,48.171782
"67565","Parietaria_judaica",5.786596,51.880355
"67686","Parietaria_judaica",5.266248,52.300259
"67817","Parietaria_judaica",5.966546,51.187458
"68426","Parietaria_judaica",11.73,48.95
"69771","Parietaria_judaica",-118.26306,33.93611
"70700","Parietaria_judaica",-2.446,38.185
"70733","Parietaria_judaica",-5.323,38.182
"71068","Parietaria_judaica",172.461776,-43.54165
"71100","Parietaria_judaica",175.050861,-39.92191
"71106","Parietaria_judaica",172.625109,-43.503125
"71344","Parietaria_judaica",172.86866,-40.907131
"71457","Parietaria_judaica",176.458271,-37.757892
"71484","Parietaria_judaica",172.72668,-43.49385
"72709","Parietaria_judaica",-117.72639,34.00311
"72917","Parietaria_judaica",-118.275556,33.719722
"73277","Parietaria_judaica",150.934458,-31.081755
"73310","Parietaria_judaica",7.1848,50.1437
"73516","Parietaria_judaica",150.926944,-31.091389
"73562","Parietaria_judaica",150.398333,-33.725833
"75205","Parietaria_judaica",3.92062,45.03294
"78122","Parietaria_judaica",8.83715,46.42523
"78552","Parietaria_judaica",36.533333,33.833333
"81586","Parietaria_judaica",-0.732,50.987
"82241","Parietaria_judaica",11.606158,55.785613
"82928","Parietaria_judaica",12.042769,55.121456
"85346","Parietaria_judaica",150.398333,-33.725833
"85376","Parietaria_judaica",144.921556,-38.37425
"85559","Parietaria_judaica",-1.25,40.03
"85637","Parietaria_judaica",-0.27,39.27
"85663","Parietaria_judaica",-0.1,38.6
"85681","Parietaria_judaica",-0.25,39.85
"85682","Parietaria_judaica",-0.44,41.21
"85707","Parietaria_judaica",0.46,40.49
"85780","Parietaria_judaica",-1.08,39.69
"85885","Parietaria_judaica",-0.11,40.39
"85949","Parietaria_judaica",32.68,41.27
"85957","Parietaria_judaica",-2.03,40.04
"85961","Parietaria_judaica",-1,39.89
"86009","Parietaria_judaica",-1.3,40.14
"86017","Parietaria_judaica",-0.5,39.5
"86221","Parietaria_judaica",0.2,40.78
"86252","Parietaria_judaica",-0.9,39.61
"86344","Parietaria_judaica",-1.19,39.6
"86520","Parietaria_judaica",-0.17,39.84
"86542","Parietaria_judaica",-0.05,38.66
"86682","Parietaria_judaica",-0.58,38.94
"86707","Parietaria_judaica",-0.21,39.03
"86708","Parietaria_judaica",-2.82,41.51
"86848","Parietaria_judaica",0.01,40.12
"86877","Parietaria_judaica",-0.52,39.05
"87213","Parietaria_judaica",-0.12,40.3
"87284","Parietaria_judaica",-0.82,38.95
"87306","Parietaria_judaica",0.11,40.39
"87376","Parietaria_judaica",8.79,36.28
"87745","Parietaria_judaica",-0.58,39.58
"87788","Parietaria_judaica",-0.38,39.5
"88006","Parietaria_judaica",-0.26,39.67
"88023","Parietaria_judaica",-9.4,39.35
"88104","Parietaria_judaica",-1.34,40.06
"88169","Parietaria_judaica",-0.06,40.25
"88237","Parietaria_judaica",-0.68,39.42
"88317","Parietaria_judaica",-0.92,39.61
"88321","Parietaria_judaica",-0.51,39.53
"88382","Parietaria_judaica",-0.14,39.76
"88447","Parietaria_judaica",-0.3,39
"88760","Parietaria_judaica",-0.31,39.24
"88898","Parietaria_judaica",-8.77,41.47
"88906","Parietaria_judaica",-0.48,39.95
"88967","Parietaria_judaica",0.35,40.4
"89515","Parietaria_judaica",-118.28246,33.71749
"91895","Parietaria_judaica",-118.26306,33.93611
"93775","Parietaria_judaica",-9.179,39.066
"95085","Parietaria_judaica",43.75,15.07
"96383","Parietaria_judaica",-118.263056,33.936111
"96796","Parietaria_judaica",-122.38722,37.74861
"133764","Parietaria_judaica",18.00672,59.25082
"134887","Parietaria_judaica",4.258354,52.010441
"135601","Parietaria_judaica",24.72611,35.397778
"136848","Parietaria_judaica",17.7309,59.88197
"140447","Parietaria_judaica",11.59,48.17
"140491","Parietaria_judaica",9.81,49.91
"140625","Parietaria_judaica",11.85,48.82
"143183","Parietaria_judaica",-118.282,33.8581
"146241","Parietaria_judaica",34.75,32.05
"147973","Parietaria_judaica",25.06,35.28
"149617","Parietaria_judaica",-2.41,37.4
"149633","Parietaria_judaica",-2.75,37.89
"149819","Parietaria_judaica",12.85725,55.86426
"150664","Parietaria_judaica",12.76996,56.07106
"151525","Parietaria_judaica",12.91243,55.55519
"152012","Parietaria_judaica",-4.69027,51.6388
"153834","Parietaria_judaica",-4.69,51.639999
"153840","Parietaria_judaica",-9.18,39.07
"154996","Parietaria_judaica",-122.23531,37.769369
"155029","Parietaria_judaica",-118.281597,33.858051
"155883","Parietaria_judaica",-9.19,43.13
"156405","Parietaria_judaica",-2.68,40.13
"156527","Parietaria_judaica",-3.55,37.35
"156581","Parietaria_judaica",0.27,40.65
"157795","Parietaria_judaica",144.9,-37.8
"157804","Parietaria_judaica",150.93,-31.08
"163600","Parietaria_judaica",2.273,41.689
"163637","Parietaria_judaica",0.5981,41.5739
"163638","Parietaria_judaica",1.267,41.9685
"163679","Parietaria_judaica",-6.298188,34.876028
"163744","Parietaria_judaica",-4.010668,34.147671
"163745","Parietaria_judaica",2.1858,41.434
"163780","Parietaria_judaica",-2.21901,35.070742
"163798","Parietaria_judaica",44.75,40.12
"164056","Parietaria_judaica",-3.4837,37.1192
"164080","Parietaria_judaica",-6.146693,35.205399
"164275","Parietaria_judaica",-4.011023,34.147407
"164320","Parietaria_judaica",-3.426,43.357
"164378","Parietaria_judaica",-5.2,35.13
"164427","Parietaria_judaica",-5.58,33.98
"164454","Parietaria_judaica",2.013,41.399
"164485","Parietaria_judaica",-5.05,35.25
"164526","Parietaria_judaica",45.52,39.67
"164533","Parietaria_judaica",-4.95,34.55
"164561","Parietaria_judaica",-5.1,35.42
"165187","Parietaria_judaica",-7.215202,42.333761
"165346","Parietaria_judaica",115.785389,-32.435889
"165374","Parietaria_judaica",117.883333,-35.033333
"168174","Parietaria_judaica",-70.65,-33.46667
"168216","Parietaria_judaica",-118.206,33.79
"168241","Parietaria_judaica",-118.455,33.98583
"168393","Parietaria_judaica",-122.23531,37.76939
"168870","Parietaria_judaica",-118.27556,33.71972
"168983","Parietaria_judaica",-118.4,33.88333
"169690","Parietaria_judaica",-122.1359,37.02962
"169704","Parietaria_judaica",-122.234,37.0715
"169770","Parietaria_judaica",-121.082939,35.553097
"170031","Parietaria_judaica",-122.30372,37.89839
"170124","Parietaria_judaica",-122.24,37.06432
"170816","Parietaria_judaica",13.616389,47.708057
"176664","Parietaria_judaica",-0.1,38.666667
"178377","Parietaria_judaica",22.35083,37.09194
"178378","Parietaria_judaica",22.68583,37.98667
"178450","Parietaria_judaica",21.09,39.42333
"178609","Parietaria_judaica",22.41417,40.79806
"178633","Parietaria_judaica",43.75,15.06667
"178696","Parietaria_judaica",22.73556,37.57944
