"","species","lon","lat"
"17950","Philadelphus_pubescens",24.745205,60.29766
"19947","Philadelphus_pubescens",12.77855,56.14585
"25964","Philadelphus_pubescens",14.10429,59.3544
"27728","Philadelphus_pubescens",-90.68444,37.53333
"39939","Philadelphus_pubescens",15.6552,58.39925
"55426","Philadelphus_pubescens",15.73193,58.33025
"66042","Philadelphus_pubescens",14.05717,56.51159
"73314","Philadelphus_pubescens",6.3012,51.7699
"82059","Philadelphus_pubescens",9.50935,56.423149
"82761","Philadelphus_pubescens",10.100282,56.113822
"82930","Philadelphus_pubescens",9.789813,55.873596
"83093","Philadelphus_pubescens",11.344044,55.4044
"83274","Philadelphus_pubescens",12.31008,55.577122
"92760","Philadelphus_pubescens",-94.93345,39.3622
"93103","Philadelphus_pubescens",-94.932778,39.362778
"94683","Philadelphus_pubescens",-83.727928,42.301237
"136800","Philadelphus_pubescens",14.01402,56.05318
"136858","Philadelphus_pubescens",12.81627,56.13689
"137044","Philadelphus_pubescens",16.26832,58.60044
"137062","Philadelphus_pubescens",14.72259,57.63974
"137092","Philadelphus_pubescens",13.77346,59.55539
"138161","Philadelphus_pubescens",7.6146,58.2785
"138174","Philadelphus_pubescens",9.0754,58.8608
"138214","Philadelphus_pubescens",5.6552,59.797
"138276","Philadelphus_pubescens",6.0282,59.9892
"138289","Philadelphus_pubescens",7.8942,58.3881
"138535","Philadelphus_pubescens",7.9524,58.2533
"140954","Philadelphus_pubescens",-85.449722,36.775
"141029","Philadelphus_pubescens",-83.71112,42.29558
"148724","Philadelphus_pubescens",14.12014,50.49964
"149659","Philadelphus_pubescens",13.24254,56.30819
"149665","Philadelphus_pubescens",13.45994,55.68631
"149674","Philadelphus_pubescens",13.24644,55.61915
"149685","Philadelphus_pubescens",13.09067,56.26182
"149693","Philadelphus_pubescens",14.01259,56.04957
"149852","Philadelphus_pubescens",13.6691,56.16537
"149939","Philadelphus_pubescens",14.08307,55.72808
"150555","Philadelphus_pubescens",17.86124,59.61493
"150563","Philadelphus_pubescens",14.14183,55.80614
"150738","Philadelphus_pubescens",13.9527,57.15419
"150774","Philadelphus_pubescens",16.07051,58.53485
"150777","Philadelphus_pubescens",13.3993,55.56025
"150779","Philadelphus_pubescens",17.66621,59.63177
"150791","Philadelphus_pubescens",14.75846,56.25277
"150844","Philadelphus_pubescens",14.95112,58.02007
"150888","Philadelphus_pubescens",14.16835,55.66816
"150976","Philadelphus_pubescens",13.68316,56.36106
"150988","Philadelphus_pubescens",12.94889,56.56053
"151034","Philadelphus_pubescens",14.965,58.0395
"151166","Philadelphus_pubescens",15.9313,58.5702
"151220","Philadelphus_pubescens",13.08989,55.81615
"151327","Philadelphus_pubescens",12.95304,55.55698
"151376","Philadelphus_pubescens",13.03375,55.82029
"151716","Philadelphus_pubescens",13.84836,56.40728
"151726","Philadelphus_pubescens",12.85454,56.0785
"151737","Philadelphus_pubescens",13.17599,55.79376
"151834","Philadelphus_pubescens",14.02889,56.42707
"151863","Philadelphus_pubescens",13.68544,56.13094
"155637","Philadelphus_pubescens",-89.025359,41.29559
"157533","Philadelphus_pubescens",14.05833,56.51151
"157537","Philadelphus_pubescens",13.22817,55.6556
"157926","Philadelphus_pubescens",12.89312,55.5232
"163470","Philadelphus_pubescens",-91.284444,37.67
"166850","Philadelphus_pubescens",15.6695,56.20401
"166875","Philadelphus_pubescens",25.943329,56.686084
"166877","Philadelphus_pubescens",25.942604,56.686023
"166878","Philadelphus_pubescens",25.94255,56.686539
"166883","Philadelphus_pubescens",25.945232,56.689984
"166888","Philadelphus_pubescens",25.946506,56.686098
"166889","Philadelphus_pubescens",25.946502,56.686126
"166890","Philadelphus_pubescens",25.946499,56.686153
"166891","Philadelphus_pubescens",25.946496,56.686178
"166892","Philadelphus_pubescens",25.946472,56.68634
"166893","Philadelphus_pubescens",25.946469,56.686369
"166894","Philadelphus_pubescens",25.946414,56.686393
"166895","Philadelphus_pubescens",25.946488,56.686233
"166896","Philadelphus_pubescens",25.94648,56.686286
"166897","Philadelphus_pubescens",25.946476,56.686311
"166898","Philadelphus_pubescens",25.946464,56.686394
"166899","Philadelphus_pubescens",25.946484,56.68626
"166900","Philadelphus_pubescens",25.946493,56.686206
"166902","Philadelphus_pubescens",25.961651,56.691303
"166904","Philadelphus_pubescens",25.961553,56.691353
"166906","Philadelphus_pubescens",25.961582,56.691327
"166907","Philadelphus_pubescens",25.9616,56.691372
"166908","Philadelphus_pubescens",25.963163,56.691096
"166909","Philadelphus_pubescens",25.961642,56.691326
"166911","Philadelphus_pubescens",25.961564,56.691365
"166912","Philadelphus_pubescens",25.942475,56.686741
"166913","Philadelphus_pubescens",25.942476,56.686725
"166914","Philadelphus_pubescens",25.942478,56.686709
"166915","Philadelphus_pubescens",25.942479,56.686694
"166916","Philadelphus_pubescens",25.961557,56.691337
"166917","Philadelphus_pubescens",25.942229,56.68673
"166918","Philadelphus_pubescens",25.942232,56.68671
"166919","Philadelphus_pubescens",25.94248,56.686678
"166920","Philadelphus_pubescens",25.942342,56.686022
"166921","Philadelphus_pubescens",25.942262,56.686527
"166922","Philadelphus_pubescens",25.942345,56.686002
"166923","Philadelphus_pubescens",25.942496,56.687084
"166924","Philadelphus_pubescens",25.942498,56.687066
"166925","Philadelphus_pubescens",25.942481,56.686662
"166926","Philadelphus_pubescens",25.942493,56.687102
"166927","Philadelphus_pubescens",25.942257,56.686547
"166928","Philadelphus_pubescens",25.942348,56.685981
"166929","Philadelphus_pubescens",25.942254,56.686568
"166930","Philadelphus_pubescens",25.942249,56.686608
"166931","Philadelphus_pubescens",25.9425,56.687049
"166932","Philadelphus_pubescens",25.942511,56.686942
"166933","Philadelphus_pubescens",25.942509,56.68696
"166934","Philadelphus_pubescens",25.942512,56.686925
"166935","Philadelphus_pubescens",25.942514,56.686907
"166936","Philadelphus_pubescens",25.942507,56.686978
"166937","Philadelphus_pubescens",25.942516,56.686889
"166938","Philadelphus_pubescens",25.942518,56.686872
"166939","Philadelphus_pubescens",25.942503,56.687013
"166940","Philadelphus_pubescens",25.94252,56.686854
"166941","Philadelphus_pubescens",25.942501,56.68703
"166942","Philadelphus_pubescens",25.942505,56.686996
"166943","Philadelphus_pubescens",25.942527,56.686784
"166944","Philadelphus_pubescens",25.942529,56.686766
"166945","Philadelphus_pubescens",25.942531,56.686748
"166946","Philadelphus_pubescens",25.942533,56.686731
"166947","Philadelphus_pubescens",25.942534,56.686713
"166948","Philadelphus_pubescens",25.942536,56.686695
"166949","Philadelphus_pubescens",25.942537,56.686678
"166950","Philadelphus_pubescens",25.942521,56.686837
"166951","Philadelphus_pubescens",25.942523,56.686819
"166952","Philadelphus_pubescens",25.942525,56.686801
"166953","Philadelphus_pubescens",25.942539,56.68666
"166954","Philadelphus_pubescens",25.942559,56.686466
"166955","Philadelphus_pubescens",25.942542,56.686642
"166956","Philadelphus_pubescens",25.942543,56.686624
"166957","Philadelphus_pubescens",25.942545,56.686607
"166958","Philadelphus_pubescens",25.942558,56.686483
"166959","Philadelphus_pubescens",25.942562,56.686448
"166960","Philadelphus_pubescens",25.94255,56.686572
"166961","Philadelphus_pubescens",25.942546,56.686589
"166962","Philadelphus_pubescens",25.942554,56.686518
"166963","Philadelphus_pubescens",25.942555,56.686501
"166964","Philadelphus_pubescens",25.942579,56.686289
"166965","Philadelphus_pubescens",25.942551,56.686553
"166966","Philadelphus_pubescens",25.942582,56.686254
"166967","Philadelphus_pubescens",25.94258,56.686271
"166968","Philadelphus_pubescens",25.942563,56.68643
"166969","Philadelphus_pubescens",25.942566,56.686395
"166970","Philadelphus_pubescens",25.961647,56.691316
"166971","Philadelphus_pubescens",25.942572,56.686342
"166972","Philadelphus_pubescens",25.942565,56.686413
"166973","Philadelphus_pubescens",25.942575,56.686324
"166974","Philadelphus_pubescens",25.942571,56.686359
"166975","Philadelphus_pubescens",25.942569,56.686377
"166976","Philadelphus_pubescens",25.942576,56.686307
"166977","Philadelphus_pubescens",25.942583,56.686236
"166978","Philadelphus_pubescens",25.942585,56.686218
"166979","Philadelphus_pubescens",25.942607,56.686006
"166980","Philadelphus_pubescens",25.942609,56.685987
"166981","Philadelphus_pubescens",25.946568,56.686102
"166982","Philadelphus_pubescens",25.946561,56.686128
"166983","Philadelphus_pubescens",25.946558,56.686155
"166984","Philadelphus_pubescens",25.946443,56.686122
"166985","Philadelphus_pubescens",25.94638,56.686146
"166986","Philadelphus_pubescens",25.946374,56.686228
"166987","Philadelphus_pubescens",25.946375,56.686202
"166988","Philadelphus_pubescens",25.946436,56.686148
"166989","Philadelphus_pubescens",25.946425,56.686228
"166990","Philadelphus_pubescens",25.946423,56.686284
"166991","Philadelphus_pubescens",25.946425,56.686309
"166992","Philadelphus_pubescens",25.946418,56.686338
"166993","Philadelphus_pubescens",25.946416,56.686369
"166994","Philadelphus_pubescens",25.946364,56.686282
"166995","Philadelphus_pubescens",25.94636,56.686307
"166996","Philadelphus_pubescens",25.946386,56.686122
"166997","Philadelphus_pubescens",25.946391,56.686092
"166998","Philadelphus_pubescens",25.946353,56.686361
"172866","Philadelphus_pubescens",26.81425,57.12505
"173021","Philadelphus_pubescens",25.68835,57.29165
"173090","Philadelphus_pubescens",24.56245,56.79185
"173107","Philadelphus_pubescens",22.68595,56.70855
"173287","Philadelphus_pubescens",26.81425,56.20875
"173313","Philadelphus_pubescens",22.56085,57.20835
"173336","Philadelphus_pubescens",22.93615,56.45865
"173370","Philadelphus_pubescens",27.56485,56.29205
"173396","Philadelphus_pubescens",24.68755,56.79185
"173434","Philadelphus_pubescens",24.31225,56.95845
"173447","Philadelphus_pubescens",26.56405,55.87555
"177096","Philadelphus_pubescens",-90.68388,37.54777
"182916","Philadelphus_pubescens",24.87515,58.92258
"183971","Philadelphus_pubescens",13.994,55.93251
"184078","Philadelphus_pubescens",16.53871,58.80684
"184557","Philadelphus_pubescens",16.0687,58.53481
"204869","Philadelphus_pubescens",15.13423,58.63423
"207122","Philadelphus_pubescens",17,59
"216219","Philadelphus_pubescens",13.61513,56.15184
