"","species","lon","lat"
"13214","Pimephales_promelas",-101.656,43.0781
"13228","Pimephales_promelas",-104.656,43.2031
"13863","Pimephales_promelas",-101.453,44.5938
"27337","Pimephales_promelas",-118.811008,34.283333
"35051","Pimephales_promelas",-79.933,46.633
"35055","Pimephales_promelas",-76.883,45.367
"35057","Pimephales_promelas",-78.583,43.917
"35066","Pimephales_promelas",-101.433,42.667
"35071","Pimephales_promelas",-87.95,43.816
"35081","Pimephales_promelas",-73.449,45.159
"35087","Pimephales_promelas",-73.252,45.972
"35773","Pimephales_promelas",-77.9658,39.4783
"35775","Pimephales_promelas",-78.6067,40.2669
"35790","Pimephales_promelas",-100.214,45.8553
"35813","Pimephales_promelas",-98.0036,46.8464
"35838","Pimephales_promelas",-96.5114,43.8528
"35840","Pimephales_promelas",-110.905,33.9225
"42125","Pimephales_promelas",-104.84278,39.154292
"42126","Pimephales_promelas",-102.730617,39.704835
"42131","Pimephales_promelas",-105.097076,40.168679
"42177","Pimephales_promelas",-73.320278,44.149722
"42179","Pimephales_promelas",-67.855691,46.793397
"44724","Pimephales_promelas",-107.5,30.139999
"44747","Pimephales_promelas",-75.769997,44.57
"44767","Pimephales_promelas",-76.879997,45.369999
"44777","Pimephales_promelas",-87.949997,43.82
"44833","Pimephales_promelas",-122.029999,42.16
"44989","Pimephales_promelas",-87.6164,41.1589
"44990","Pimephales_promelas",-87.83576,42.35659
"44995","Pimephales_promelas",-87.825633,41.826934
"45017","Pimephales_promelas",-88.200826,41.845767
"45018","Pimephales_promelas",-87.7014,44.7172
"45025","Pimephales_promelas",-87.56876,41.673655
"45030","Pimephales_promelas",-88.789559,41.38635
"45031","Pimephales_promelas",-88.116643,41.381309
"45034","Pimephales_promelas",-87.343611,44.805047
"45037","Pimephales_promelas",-87.358133,44.828114
"45038","Pimephales_promelas",-87.8497,41.5208
"45039","Pimephales_promelas",-88.008983,44.720608
"45042","Pimephales_promelas",-87.496367,42.813719
"45044","Pimephales_promelas",-87.960228,42.206722
"45056","Pimephales_promelas",-87.257189,44.989464
"45059","Pimephales_promelas",-87.244247,44.971108
"45060","Pimephales_promelas",-88.496109,41.762679
"45061","Pimephales_promelas",-87.486506,44.689086
"45068","Pimephales_promelas",-88.29427,41.99427
"45069","Pimephales_promelas",-88.303849,41.94138
"45070","Pimephales_promelas",-88.292354,42.430788
"45071","Pimephales_promelas",-88.0724,41.58402
"45074","Pimephales_promelas",-87.464461,44.585364
