"","species","lon","lat"
"3134","Pimpinella_major",26.972802,60.478936
"12098","Pimpinella_major",26.972947,60.479106
"12219","Pimpinella_major",2.825277,50.746111
"12281","Pimpinella_major",4.866111,50.203611
"20496","Pimpinella_major",7.758873,43.938874
"25411","Pimpinella_major",12.40694,51.88556
"25412","Pimpinella_major",12.20611,51.75667
"26224","Pimpinella_major",-1.6512212,43.2289007
"26293","Pimpinella_major",-2.001221,42.8588884
"26532","Pimpinella_major",-4.3512767,43.298873
"26571","Pimpinella_major",-2.4212338,43.0788889
"26594","Pimpinella_major",-2.4412342,43.0788887
"26712","Pimpinella_major",-1.6812226,43.2689013
"26896","Pimpinella_major",-1.9912214,42.8888892
"26938","Pimpinella_major",-2.3912346,43.1488909
"26961","Pimpinella_major",-2.2112316,43.1788935
"27057","Pimpinella_major",-3.7212653,43.3488811
"34636","Pimpinella_major",4.601783,52.335183
"34851","Pimpinella_major",1.083333,43.6
"36225","Pimpinella_major",15.38194,47.05083
"36231","Pimpinella_major",15.84389,47.28694
"36328","Pimpinella_major",12.93372,46.50469
"36524","Pimpinella_major",15.65,47.6175
"36630","Pimpinella_major",14.92,47.68583
"37450","Pimpinella_major",0.65,43.266667
"37451","Pimpinella_major",2.5,42.583333
"38974","Pimpinella_major",6.55167,48.00194
"42811","Pimpinella_major",-4.81,43.150002
"42812","Pimpinella_major",-4.81,43.259998
"42814","Pimpinella_major",-4.75,43.23
"42826","Pimpinella_major",-4.78,43.150002
"42827","Pimpinella_major",-4.81,43.139999
"54865","Pimpinella_major",9.66,50.26
"54878","Pimpinella_major",12.29,48.92
"54992","Pimpinella_major",11.04,48.72
"55072","Pimpinella_major",11.79,47.67
"55084","Pimpinella_major",11.71,47.62
"55107","Pimpinella_major",11.29,48.97
"55240","Pimpinella_major",10.96,48.62
"55252","Pimpinella_major",10.76,48.86
"55254","Pimpinella_major",12.96,47.52
"55320","Pimpinella_major",11.43,48.63
"57091","Pimpinella_major",-4.8491,42.8408
"57200","Pimpinella_major",-1.8125,40.3186
"58192","Pimpinella_major",-0.51,42.51
"58397","Pimpinella_major",2.21,42.62
"58473","Pimpinella_major",-4.91,40.39
"58531","Pimpinella_major",-4.6,42.27
"58597","Pimpinella_major",-0.52,42.52
"60644","Pimpinella_major",10.79,48.72
"60669","Pimpinella_major",11.41,48.62
"60701","Pimpinella_major",12.35,47.69
"60742","Pimpinella_major",11.96,48.97
"60766","Pimpinella_major",11.96,47.67
"60810","Pimpinella_major",12.29,48.97
"60888","Pimpinella_major",10.12,50.12
"60895","Pimpinella_major",12.52,47.76
"60902","Pimpinella_major",11.42,48.63
"67674","Pimpinella_major",4.848433,51.805017
"67959","Pimpinella_major",6.020601,51.996177
"68932","Pimpinella_major",5.439722,51.234999
"68939","Pimpinella_major",4.987499,50.829166
"68956","Pimpinella_major",-0.616667,51.883333
"69239","Pimpinella_major",12.12,48.82
"69259","Pimpinella_major",10.96,48.72
"69277","Pimpinella_major",10.76,48.81
"70711","Pimpinella_major",-4.915,40.396
"70718","Pimpinella_major",0.791,42.841
"70748","Pimpinella_major",-4.607,42.275
"71813","Pimpinella_major",6.9514,50.2614
