"","species","lon","lat"
"95","Pimpinella_saxifraga",26.693291,62.757274
"102","Pimpinella_saxifraga",23.965022,60.515639
"113","Pimpinella_saxifraga",23.641492,61.522903
"116","Pimpinella_saxifraga",28.828419,61.83025
"123","Pimpinella_saxifraga",26.68403,61.327407
"127","Pimpinella_saxifraga",28.773319,61.202656
"128","Pimpinella_saxifraga",28.546681,61.133626
"145","Pimpinella_saxifraga",25.055111,60.257671
"178","Pimpinella_saxifraga",22.04534,60.790777
"194","Pimpinella_saxifraga",27.529507,63.546124
"198","Pimpinella_saxifraga",21.522889,60.725443
"200","Pimpinella_saxifraga",23.674219,60.508703
"209","Pimpinella_saxifraga",27.669005,61.760018
"213","Pimpinella_saxifraga",27.142802,62.622956
"214","Pimpinella_saxifraga",25.190952,61.390678
"222","Pimpinella_saxifraga",24.667426,61.382706
"274","Pimpinella_saxifraga",26.29176,60.709819
"281","Pimpinella_saxifraga",24.60852,60.187518
"294","Pimpinella_saxifraga",23.940864,63.245085
"301","Pimpinella_saxifraga",27.899722,63.167461
"308","Pimpinella_saxifraga",25.350145,62.272278
"312","Pimpinella_saxifraga",24.39833,61.467611
"340","Pimpinella_saxifraga",26.059753,61.749451
"341","Pimpinella_saxifraga",24.698563,60.189113
"354","Pimpinella_saxifraga",25.718451,63.56829
"363","Pimpinella_saxifraga",24.816372,60.586158
"377","Pimpinella_saxifraga",23.368353,61.767433
"404","Pimpinella_saxifraga",29.808096,63.088672
"409","Pimpinella_saxifraga",29.257917,61.473751
"412","Pimpinella_saxifraga",26.519161,61.465616
"461","Pimpinella_saxifraga",28.468292,62.238424
"478","Pimpinella_saxifraga",25.564438,61.000209
"480","Pimpinella_saxifraga",28.790383,61.175502
"486","Pimpinella_saxifraga",24.917351,60.435144
"489","Pimpinella_saxifraga",24.93159,60.210911
"503","Pimpinella_saxifraga",25.134311,61.39889
"529","Pimpinella_saxifraga",24.760247,61.393245
"550","Pimpinella_saxifraga",24.656146,60.27816
"559","Pimpinella_saxifraga",29.726858,62.111652
"566","Pimpinella_saxifraga",28.913308,62.277879
"568","Pimpinella_saxifraga",23.146512,60.656229
"574","Pimpinella_saxifraga",24.559956,63.930242
"603","Pimpinella_saxifraga",24.522165,61.326267
"616","Pimpinella_saxifraga",24.284345,61.483345
"640","Pimpinella_saxifraga",24.790036,61.501459
"673","Pimpinella_saxifraga",26.485648,62.317016
"678","Pimpinella_saxifraga",28.15625,60.908217
"695","Pimpinella_saxifraga",23.464729,60.090051
"713","Pimpinella_saxifraga",24.679539,60.45815
"719","Pimpinella_saxifraga",24.257892,61.357104
"737","Pimpinella_saxifraga",23.918042,61.00854
"749","Pimpinella_saxifraga",26.987599,61.05272
"755","Pimpinella_saxifraga",22.660871,60.18294
"763","Pimpinella_saxifraga",24.427419,61.342462
"767","Pimpinella_saxifraga",21.479218,61.191464
"783","Pimpinella_saxifraga",28.172909,61.06558
"791","Pimpinella_saxifraga",23.702739,61.299853
"792","Pimpinella_saxifraga",24.983862,61.118458
"806","Pimpinella_saxifraga",24.509031,61.020753
"816","Pimpinella_saxifraga",23.920696,60.406843
"823","Pimpinella_saxifraga",24.410437,64.663658
"827","Pimpinella_saxifraga",25.042624,61.666895
"836","Pimpinella_saxifraga",25.815281,65.103197
"850","Pimpinella_saxifraga",24.892084,60.264159
"857","Pimpinella_saxifraga",26.09787,61.740733
"870","Pimpinella_saxifraga",23.194939,61.789681
"872","Pimpinella_saxifraga",25.657203,60.992188
"885","Pimpinella_saxifraga",29.761705,62.703534
"905","Pimpinella_saxifraga",23.92624,60.155479
"929","Pimpinella_saxifraga",26.043332,61.668571
"973","Pimpinella_saxifraga",30.265644,62.486152
"990","Pimpinella_saxifraga",27.951851,62.332659
"993","Pimpinella_saxifraga",29.84752,62.782624
"1051","Pimpinella_saxifraga",24.65884,60.745106
"1061","Pimpinella_saxifraga",26.124426,61.471683
"1065","Pimpinella_saxifraga",25.164932,60.232301
"1100","Pimpinella_saxifraga",24.945492,61.4231
"1134","Pimpinella_saxifraga",26.987228,61.950083
"1163","Pimpinella_saxifraga",29.20266,62.282568
"1164","Pimpinella_saxifraga",29.162211,61.986983
"1174","Pimpinella_saxifraga",23.9447,60.344525
"1179","Pimpinella_saxifraga",24.549443,60.976601
"1191","Pimpinella_saxifraga",23.827493,60.4316
"1195","Pimpinella_saxifraga",25.019549,60.248166
"1200","Pimpinella_saxifraga",25.784819,64.907846
"1211","Pimpinella_saxifraga",24.71958,61.437457
"1226","Pimpinella_saxifraga",25.654755,61.485806
"1239","Pimpinella_saxifraga",28.868538,61.865614
"1242","Pimpinella_saxifraga",24.415399,60.121032
"1254","Pimpinella_saxifraga",25.80506,62.940962
"1270","Pimpinella_saxifraga",25.906201,62.340584
"1276","Pimpinella_saxifraga",27.808733,61.310563
"1289","Pimpinella_saxifraga",25.247279,60.366819
"1313","Pimpinella_saxifraga",30.161437,62.784894
"1319","Pimpinella_saxifraga",27.062873,61.671899
"1321","Pimpinella_saxifraga",26.779902,61.635843
"1353","Pimpinella_saxifraga",28.701693,61.598514
"1360","Pimpinella_saxifraga",25.943532,61.272959
"1379","Pimpinella_saxifraga",25.483992,62.291752
"1380","Pimpinella_saxifraga",23.108785,60.816875
"1399","Pimpinella_saxifraga",26.068634,62.081539
"1400","Pimpinella_saxifraga",24.815091,60.334743
"1402","Pimpinella_saxifraga",26.647168,61.698379
"1414","Pimpinella_saxifraga",24.555638,60.895905
"1431","Pimpinella_saxifraga",24.218819,60.530153
"1434","Pimpinella_saxifraga",23.301156,61.379334
"1442","Pimpinella_saxifraga",22.843998,60.161855
"1457","Pimpinella_saxifraga",28.500821,61.340581
"1459","Pimpinella_saxifraga",30.353971,62.061934
"1468","Pimpinella_saxifraga",26.08082,61.677802
"1469","Pimpinella_saxifraga",24.282782,61.28577
"1483","Pimpinella_saxifraga",24.461483,60.921098
"1501","Pimpinella_saxifraga",24.012116,60.399946
"1516","Pimpinella_saxifraga",24.336389,61.31377
"1527","Pimpinella_saxifraga",29.590628,62.311784
"1529","Pimpinella_saxifraga",28.464367,63.342224
"1534","Pimpinella_saxifraga",26.135068,63.768777
"1535","Pimpinella_saxifraga",29.417969,62.323873
"1538","Pimpinella_saxifraga",26.438974,61.715632
"1540","Pimpinella_saxifraga",28.321404,61.073186
"1563","Pimpinella_saxifraga",24.538365,64.63892
"1602","Pimpinella_saxifraga",26.442003,60.495128
"1615","Pimpinella_saxifraga",21.798274,60.952296
"1616","Pimpinella_saxifraga",21.676256,60.686662
"1628","Pimpinella_saxifraga",23.868068,60.387651
"1652","Pimpinella_saxifraga",26.475486,60.674765
"1659","Pimpinella_saxifraga",24.806029,60.199915
"1665","Pimpinella_saxifraga",28.182661,63.291002
"1673","Pimpinella_saxifraga",23.708751,60.347872
"1684","Pimpinella_saxifraga",28.177209,62.149217
"1720","Pimpinella_saxifraga",28.869995,61.264192
"1723","Pimpinella_saxifraga",25.349168,63.043605
"1726","Pimpinella_saxifraga",23.104205,61.005436
"1742","Pimpinella_saxifraga",23.271524,60.0488
"1743","Pimpinella_saxifraga",25.732492,61.881433
"1767","Pimpinella_saxifraga",27.747315,64.182099
"1772","Pimpinella_saxifraga",26.111096,61.938243
"1773","Pimpinella_saxifraga",24.36954,61.808247
"1774","Pimpinella_saxifraga",25.328107,61.275746
"1816","Pimpinella_saxifraga",26.344246,61.724184
"1852","Pimpinella_saxifraga",24.927626,60.273697
"1893","Pimpinella_saxifraga",27.887674,62.772754
"1897","Pimpinella_saxifraga",28.807931,61.157316
"1915","Pimpinella_saxifraga",26.219161,60.682491
"1937","Pimpinella_saxifraga",26.0955,61.821482
"1957","Pimpinella_saxifraga",23.957475,60.01249
"1964","Pimpinella_saxifraga",24.696883,61.490941
"1966","Pimpinella_saxifraga",26.025303,61.641521
"1989","Pimpinella_saxifraga",29.190583,62.381498
"1993","Pimpinella_saxifraga",22.501192,60.294469
"2005","Pimpinella_saxifraga",24.072865,62.52957
"2022","Pimpinella_saxifraga",26.583627,60.800792
"2025","Pimpinella_saxifraga",26.194356,61.669542
"2067","Pimpinella_saxifraga",23.458172,60.485171
"2077","Pimpinella_saxifraga",28.560051,62.524603
"2078","Pimpinella_saxifraga",24.038967,61.298626
"2079","Pimpinella_saxifraga",23.865517,61.725815
"2080","Pimpinella_saxifraga",26.550961,63.106797
"2088","Pimpinella_saxifraga",27.875239,61.687067
"2101","Pimpinella_saxifraga",24.272433,61.833288
"2111","Pimpinella_saxifraga",24.37232,61.793692
"2120","Pimpinella_saxifraga",26.290864,63.213397
"2122","Pimpinella_saxifraga",25.1619,61.883968
"2140","Pimpinella_saxifraga",25.275179,60.880124
"2155","Pimpinella_saxifraga",26.23124,60.942835
"2160","Pimpinella_saxifraga",24.378923,61.251745
"2178","Pimpinella_saxifraga",24.778946,61.393551
"2191","Pimpinella_saxifraga",24.166978,61.328299
"2204","Pimpinella_saxifraga",22.958731,60.255276
"2209","Pimpinella_saxifraga",27.061683,61.070656
"2217","Pimpinella_saxifraga",23.907065,60.550235
"2223","Pimpinella_saxifraga",23.80496,60.475972
"2228","Pimpinella_saxifraga",23.904283,60.388498
"2237","Pimpinella_saxifraga",23.810407,60.790474
"2255","Pimpinella_saxifraga",25.418649,60.585665
"2268","Pimpinella_saxifraga",24.452264,64.664385
"2273","Pimpinella_saxifraga",28.320656,61.055242
"2274","Pimpinella_saxifraga",28.640839,61.159445
"2286","Pimpinella_saxifraga",25.037058,60.257404
"2292","Pimpinella_saxifraga",25.601788,60.991625
"2293","Pimpinella_saxifraga",26.237458,60.682596
"2300","Pimpinella_saxifraga",26.24098,63.59892
"2302","Pimpinella_saxifraga",24.199077,60.547701
"2310","Pimpinella_saxifraga",26.26987,61.669967
"2311","Pimpinella_saxifraga",26.038922,61.201871
"2321","Pimpinella_saxifraga",24.594099,61.605877
"2330","Pimpinella_saxifraga",26.416501,61.903981
"2354","Pimpinella_saxifraga",26.593894,61.437995
"2356","Pimpinella_saxifraga",23.349264,60.482232
"2366","Pimpinella_saxifraga",23.947215,60.317637
"2375","Pimpinella_saxifraga",21.588164,60.665132
"2382","Pimpinella_saxifraga",28.351714,61.781917
"2391","Pimpinella_saxifraga",26.600763,60.899564
"2396","Pimpinella_saxifraga",24.562523,60.321371
"2399","Pimpinella_saxifraga",22.850779,60.108143
"2418","Pimpinella_saxifraga",28.69747,61.173351
"2439","Pimpinella_saxifraga",24.445326,61.809677
"2443","Pimpinella_saxifraga",26.690751,62.99951
"2485","Pimpinella_saxifraga",23.972671,60.223598
"2500","Pimpinella_saxifraga",24.89809,60.266616
"2509","Pimpinella_saxifraga",25.254815,60.915768
"2511","Pimpinella_saxifraga",25.658959,62.257655
"2516","Pimpinella_saxifraga",26.251371,60.87115
"2519","Pimpinella_saxifraga",23.312311,60.966371
"2525","Pimpinella_saxifraga",28.072761,63.552062
"2529","Pimpinella_saxifraga",29.136343,62.705472
"2554","Pimpinella_saxifraga",29.779919,61.643688
"2565","Pimpinella_saxifraga",24.390092,61.34175
"2636","Pimpinella_saxifraga",28.86893,61.246254
"2672","Pimpinella_saxifraga",25.206868,61.112623
"2694","Pimpinella_saxifraga",26.575277,61.428965
"2701","Pimpinella_saxifraga",26.098132,61.731761
"2702","Pimpinella_saxifraga",27.692997,63.653082
"2714","Pimpinella_saxifraga",28.779395,61.310291
"2731","Pimpinella_saxifraga",26.039988,61.776235
"2735","Pimpinella_saxifraga",24.787408,60.208584
"2756","Pimpinella_saxifraga",27.764862,61.041582
"2758","Pimpinella_saxifraga",21.601871,60.692673
"2759","Pimpinella_saxifraga",24.416805,60.103099
