"","species","lon","lat"
"12231","Polygonum_plebeium",30.163888,-16.877777
"12317","Polygonum_plebeium",30.2,-12.566667
"13152","Polygonum_plebeium",147.650587,-33.402993
"20133","Polygonum_plebeium",110.85,26.43
"20170","Polygonum_plebeium",114.05,22.54
"20187","Polygonum_plebeium",110.05,25.25
"20212","Polygonum_plebeium",110.35,25.17
"20258","Polygonum_plebeium",110.63,26.72
"20797","Polygonum_plebeium",3.383,11.867
"34756","Polygonum_plebeium",99.033333,18
"34760","Polygonum_plebeium",44.816667,-19.15
"37440","Polygonum_plebeium",98.666667,18.966667
"37639","Polygonum_plebeium",120.339722,23.845556
"37658","Polygonum_plebeium",120.512473,23.880243
"37661","Polygonum_plebeium",120.513889,22.804722
"37802","Polygonum_plebeium",120.771503,24.396251
"37860","Polygonum_plebeium",120.391111,23.885556
"37909","Polygonum_plebeium",120.4425,23.939444
"37955","Polygonum_plebeium",121.22,25.0175
"38030","Polygonum_plebeium",120.426487,23.705117
"38045","Polygonum_plebeium",120.19564,23.60927
"38061","Polygonum_plebeium",120.587778,24.220556
"38122","Polygonum_plebeium",120.890236,23.902449
"38136","Polygonum_plebeium",120.907121,23.844841
"38286","Polygonum_plebeium",120.347776,23.597688
"38361","Polygonum_plebeium",120.636389,22.913056
"38542","Polygonum_plebeium",121.242778,24.238889
"38597","Polygonum_plebeium",120.388333,23.7575
"38638","Polygonum_plebeium",120.300833,23.660278
"38709","Polygonum_plebeium",120.851389,23.946389
"38728","Polygonum_plebeium",120.323332,22.966631
"38788","Polygonum_plebeium",120.695613,24.496474
"38836","Polygonum_plebeium",120.613611,22.890833
"38868","Polygonum_plebeium",120.854583,24.467764
"38902","Polygonum_plebeium",120.478817,23.061316
"39430","Polygonum_plebeium",45.468611,-19.652222
"42182","Polygonum_plebeium",134.6306,-25.2675
"42219","Polygonum_plebeium",141.698361,-34.157778
"42235","Polygonum_plebeium",133.1144,-24.2969
"42258","Polygonum_plebeium",135.123056,-29.829167
"42306","Polygonum_plebeium",143.806667,-35.890556
"42329","Polygonum_plebeium",133.8086,-24.425
"44126","Polygonum_plebeium",151.591584,-26.87902
"49910","Polygonum_plebeium",44.816667,-19.15
"50693","Polygonum_plebeium",135.364,-30.75154
"51701","Polygonum_plebeium",137.9603,-23.6814
"51761","Polygonum_plebeium",134.632824,-25.264703
"51859","Polygonum_plebeium",138.6622,-25.1622
"51930","Polygonum_plebeium",134.235,-20.341667
"52015","Polygonum_plebeium",134.841944,-25.822778
"52035","Polygonum_plebeium",135.4158,-24.1689
"52044","Polygonum_plebeium",136.2428,-22.6464
"52045","Polygonum_plebeium",130.6156,-22.6019
"52098","Polygonum_plebeium",133.8086,-24.425
"52141","Polygonum_plebeium",136.713056,-23.817222
"52301","Polygonum_plebeium",133.38,-23.8919
"52316","Polygonum_plebeium",133.1144,-24.2969
"52336","Polygonum_plebeium",136.944666,-21.515759
"52339","Polygonum_plebeium",133.1917,-25.2389
"52390","Polygonum_plebeium",132.877129,-24.204446
"52445","Polygonum_plebeium",130.7803,-22.6628
"52476","Polygonum_plebeium",132.6375,-22.3928
"52479","Polygonum_plebeium",135.7381,-24.5489
"52526","Polygonum_plebeium",135.2917,-25.9083
"52536","Polygonum_plebeium",133.221667,-24.513889
"52555","Polygonum_plebeium",133.284746,-22.673609
"52605","Polygonum_plebeium",151.2153,-28.4239
"52672","Polygonum_plebeium",137.165477,-22.556862
"52705","Polygonum_plebeium",132.427222,-24.376111
"52722","Polygonum_plebeium",137.2442,-23.8783
"52826","Polygonum_plebeium",133.3081,-21.5534
"52914","Polygonum_plebeium",133.501111,-24.598333
"52918","Polygonum_plebeium",133.7269,-23.7033
"53000","Polygonum_plebeium",137.874042,-21.452451
"53046","Polygonum_plebeium",133.515556,-24.751389
"53193","Polygonum_plebeium",133.4064,-25.3119
"53238","Polygonum_plebeium",132.125,-20.5583
"53278","Polygonum_plebeium",134.299444,-23.088056
"56153","Polygonum_plebeium",138.8136,-29.53511
"56188","Polygonum_plebeium",140.84193,-27.84694
"63624","Polygonum_plebeium",144.4897,-37.6342
"63691","Polygonum_plebeium",145.57764,-30.36078
"63694","Polygonum_plebeium",147.63,-30.78
"66339","Polygonum_plebeium",141.698361,-34.157778
"67619","Polygonum_plebeium",98.916667,19.35
"67864","Polygonum_plebeium",148.833333,-35.016667
"67947","Polygonum_plebeium",105.675333,20.243833
"73389","Polygonum_plebeium",144.15,-29.7
"73396","Polygonum_plebeium",150.150556,-31.0925
"73416","Polygonum_plebeium",148.22,-32.893056
"73436","Polygonum_plebeium",142.416667,-31.216667
"73438","Polygonum_plebeium",152.611667,-26.988056
"73489","Polygonum_plebeium",140.210833,-28.697778
"73535","Polygonum_plebeium",151.116667,-31.333333
"73553","Polygonum_plebeium",151.116667,-31.35
"73617","Polygonum_plebeium",149.857222,-30.243333
"73799","Polygonum_plebeium",142.3,-31.216667
"73822","Polygonum_plebeium",150.982791,-31.14827
"73847","Polygonum_plebeium",151.215278,-28.423889
"74379","Polygonum_plebeium",112.38,24.78
"74600","Polygonum_plebeium",114.42,35.05
"74627","Polygonum_plebeium",119.17,39.7
"74706","Polygonum_plebeium",112.88,28.68
"78905","Polygonum_plebeium",36.34028,-8.60806
"84340","Polygonum_plebeium",100.860736,22.697654
"85184","Polygonum_plebeium",144.4897,-37.6342
"85203","Polygonum_plebeium",133.501111,-24.598333
"85246","Polygonum_plebeium",145.5497,-35.8267
"85267","Polygonum_plebeium",144.558889,-37.980278
"85372","Polygonum_plebeium",146.751944,-37.893333
"85421","Polygonum_plebeium",146.57533,-36.15589
"85432","Polygonum_plebeium",146.7817,-36.7258
"85475","Polygonum_plebeium",144.5414,-37.7172
"85505","Polygonum_plebeium",120.863611,-30.4275
"85506","Polygonum_plebeium",144.176667,-35.673611
"93868","Polygonum_plebeium",30.3,-16.944444
"95130","Polygonum_plebeium",120.483333,22.733333
"95186","Polygonum_plebeium",120.9,23.266667
"95225","Polygonum_plebeium",121.516944,23.821944
"95226","Polygonum_plebeium",121.586389,23.951111
"95305","Polygonum_plebeium",120.566667,23.583333
"95320","Polygonum_plebeium",120.35,22.633333
"95334","Polygonum_plebeium",120.681111,24.200833
"95357","Polygonum_plebeium",120.639167,24.241389
"95400","Polygonum_plebeium",121.504444,23.866111
"95444","Polygonum_plebeium",121.640833,24.119167
"96867","Polygonum_plebeium",142.432778,-29.262371
"134752","Polygonum_plebeium",140.72332,-27.81082
"136092","Polygonum_plebeium",139.433879,35.596993
"136238","Polygonum_plebeium",45.468611,-19.652222
"136912","Polygonum_plebeium",16.375,-23.375
"137506","Polygonum_plebeium",146.734104,-33.035591
"148316","Polygonum_plebeium",120.886467,-30.407
"152448","Polygonum_plebeium",109.65,28.72
"152464","Polygonum_plebeium",104.92,28.58
"152503","Polygonum_plebeium",114.27,26.72
"152583","Polygonum_plebeium",111.03,27.12
"153462","Polygonum_plebeium",147.162784,-33.090675
"155163","Polygonum_plebeium",141.290556,-33.304167
"157615","Polygonum_plebeium",151.996944,-28.355833
"157641","Polygonum_plebeium",147.8806,-29.3861
"157687","Polygonum_plebeium",148.7883,-34.8747
"157704","Polygonum_plebeium",148.806872,-34.960002
"157726","Polygonum_plebeium",151.12,-31.35
"157863","Polygonum_plebeium",146.7519,-37.96
"163113","Polygonum_plebeium",36.340278,-8.608056
"163463","Polygonum_plebeium",103.15,22.05
"163468","Polygonum_plebeium",105.833333,22.733333
"167269","Polygonum_plebeium",144.27968,-27.83466
"171978","Polygonum_plebeium",3.3833,11.8666
"172472","Polygonum_plebeium",114.57,29.03
"178112","Polygonum_plebeium",115.99,29.61
"184253","Polygonum_plebeium",98.884911,24.901972
"184375","Polygonum_plebeium",98.873779,24.806555
"184519","Polygonum_plebeium",98.891747,27.236052
"198335","Polygonum_plebeium",150.9819,-31.1497
"198396","Polygonum_plebeium",151.2153,-28.4239
"198431","Polygonum_plebeium",143.7283,-36.1628
"198571","Polygonum_plebeium",149.8572,-30.2433
"198672","Polygonum_plebeium",142.42,-31.22
"204286","Polygonum_plebeium",147.912269,-32.368378
"206908","Polygonum_plebeium",38.180333,10.483167
"206912","Polygonum_plebeium",105.906245,13.943396
"207139","Polygonum_plebeium",144.560278,-37.781944
"207158","Polygonum_plebeium",143.806667,-35.890556
"210171","Polygonum_plebeium",139.503045,35.599078
"210579","Polygonum_plebeium",139.365554,35.582406
"210594","Polygonum_plebeium",139.4,35.416667
"210730","Polygonum_plebeium",139.49055,35.390771
"210866","Polygonum_plebeium",139.190573,35.340769
"211619","Polygonum_plebeium",139.453052,35.424099
"212274","Polygonum_plebeium",139.441667,35.600556
"212513","Polygonum_plebeium",151.116667,-31.35
"212663","Polygonum_plebeium",137.933333,-22.783333
"212711","Polygonum_plebeium",144.558889,-37.980278
"212779","Polygonum_plebeium",120.831667,-30.425833
"212817","Polygonum_plebeium",133.221667,-24.513889
"212857","Polygonum_plebeium",145.010833,-29.261111
"212864","Polygonum_plebeium",142.733333,-25.366667
"212876","Polygonum_plebeium",141.290556,-33.304167
"212946","Polygonum_plebeium",133.333333,-22.633333
"212962","Polygonum_plebeium",147.866667,-29.383333
"213000","Polygonum_plebeium",148.824722,-35.549167
"214520","Polygonum_plebeium",143.728,-36.1628
"248399","Polygonum_plebeium",142.742864,-25.373471
"248430","Polygonum_plebeium",150.650833,-28.219529
"248519","Polygonum_plebeium",140.889041,-23.720618
"248573","Polygonum_plebeium",152.509398,-26.990074
"248583","Polygonum_plebeium",149.192756,-22.723432
"248695","Polygonum_plebeium",145.440299,-20.015133
"248738","Polygonum_plebeium",146.722778,-19.648611
"248775","Polygonum_plebeium",144.242879,-28.79013
"248953","Polygonum_plebeium",149.659472,-25.485778
"249016","Polygonum_plebeium",151.176111,-25.658611
"249148","Polygonum_plebeium",146.764867,-24.459217
"249166","Polygonum_plebeium",150.592763,-26.806754
"249204","Polygonum_plebeium",151.276088,-26.790085
"249260","Polygonum_plebeium",148.737253,-25.515464
"249321","Polygonum_plebeium",148.378033,-20.375387
"249329","Polygonum_plebeium",147.242766,-19.906782
"249426","Polygonum_plebeium",145.31625,-18.267847
"249442","Polygonum_plebeium",151.92054,-28.216745
"249505","Polygonum_plebeium",145.667528,-22.588728
"249522","Polygonum_plebeium",151.876096,-28.173411
"249641","Polygonum_plebeium",152.359415,-27.523409
