"","species","lon","lat"
"2290","Potamogeton_compressus",25.505372,65.069476
"5759","Potamogeton_compressus",24.611294,65.849402
"10910","Potamogeton_compressus",25.502433,65.046122
"15690","Potamogeton_compressus",24.608538,64.792638
"20837","Potamogeton_compressus",5.916271,53.021261
"34497","Potamogeton_compressus",5.116383,52.171983
"34787","Potamogeton_compressus",6.019017,52.912918
"34832","Potamogeton_compressus",6.093344,52.9125
"34886","Potamogeton_compressus",6.088279,52.59798
"37412","Potamogeton_compressus",6.411649,53.170804
"37418","Potamogeton_compressus",6.89935,53.00384
"39831","Potamogeton_compressus",12.496944,58.078889
"39944","Potamogeton_compressus",17.53593,59.70669
"44846","Potamogeton_compressus",-3.11,52.77
"66360","Potamogeton_compressus",18.17,59.8
"67546","Potamogeton_compressus",6.098504,53.227004
"67579","Potamogeton_compressus",6.033749,52.903852
"67956","Potamogeton_compressus",6.340722,52.668117
"68005","Potamogeton_compressus",4.886943,51.808058
"70976","Potamogeton_compressus",14.17062,55.99427
"78175","Potamogeton_compressus",36.395753,51.150074
"78252","Potamogeton_compressus",35.204422,57.779223
"78253","Potamogeton_compressus",39.241667,56.358333
"78342","Potamogeton_compressus",26.554483,52.8875
"78383","Potamogeton_compressus",114.6812,50.8588
"78427","Potamogeton_compressus",38.1176,55.773839
"78437","Potamogeton_compressus",35.003645,54.265111
"78496","Potamogeton_compressus",31.906569,55.665883
"78497","Potamogeton_compressus",36.918877,55.097524
"78692","Potamogeton_compressus",34.825645,53.660905
"78693","Potamogeton_compressus",45.070499,51.334458
"78751","Potamogeton_compressus",96.8,52.633333
"78768","Potamogeton_compressus",37.91833,56.867533
"81602","Potamogeton_compressus",15.5382,67.3429
"82762","Potamogeton_compressus",8.215598,56.268972
"83095","Potamogeton_compressus",8.259308,55.676218
"83278","Potamogeton_compressus",8.199641,56.259885
"83435","Potamogeton_compressus",8.875118,57.026047
"97271","Potamogeton_compressus",28.006487,66.679916
"97302","Potamogeton_compressus",24.825629,67.820895
"97303","Potamogeton_compressus",25.41851,67.723664
"97312","Potamogeton_compressus",24.610314,65.849343
"97329","Potamogeton_compressus",27.447857,67.19631
"97475","Potamogeton_compressus",23.803587,61.487507
"97491","Potamogeton_compressus",24.552371,64.680886
"97492","Potamogeton_compressus",28.9135,66.876928
"97495","Potamogeton_compressus",27.347651,66.978664
"97504","Potamogeton_compressus",25.340912,65.354827
"97505","Potamogeton_compressus",24.474849,64.658042
"97510","Potamogeton_compressus",24.536953,64.642934
"97518","Potamogeton_compressus",24.788452,67.837441
"97527","Potamogeton_compressus",24.612002,65.854753
"97549","Potamogeton_compressus",24.605344,64.793036
"97671","Potamogeton_compressus",24.546498,64.6763
"97709","Potamogeton_compressus",25.158248,66.333268
"97742","Potamogeton_compressus",22.707007,63.696172
"97769","Potamogeton_compressus",26.82824,66.250805
"97807","Potamogeton_compressus",25.512647,65.053401
"97846","Potamogeton_compressus",24.55229,64.681781
"97849","Potamogeton_compressus",29.060308,66.560199
"97851","Potamogeton_compressus",29.062558,66.56017
"97872","Potamogeton_compressus",25.017342,67.855621
"97873","Potamogeton_compressus",25.502248,67.559437
"97922","Potamogeton_compressus",23.051403,61.406897
"98000","Potamogeton_compressus",24.432407,64.619614
"98013","Potamogeton_compressus",24.477106,64.656285
"98019","Potamogeton_compressus",25.342042,65.353943
"98020","Potamogeton_compressus",27.507683,66.963887
"98108","Potamogeton_compressus",24.823175,67.821759
"98110","Potamogeton_compressus",24.65038,65.890342
"98194","Potamogeton_compressus",24.861196,67.821363
"98223","Potamogeton_compressus",24.179755,66.078968
"98251","Potamogeton_compressus",24.177649,66.078032
"98277","Potamogeton_compressus",24.829622,67.829022
"98279","Potamogeton_compressus",25.418993,67.716493
"98280","Potamogeton_compressus",25.441417,67.734645
"98355","Potamogeton_compressus",24.794382,67.824962
"98434","Potamogeton_compressus",24.802689,67.837633
