"","species","lon","lat"
"94296","Potamothrix_vejdovskyi",-76.95,43.2833
"94728","Potamothrix_vejdovskyi",-87.88193,43.00335
"94760","Potamothrix_vejdovskyi",-80.7916,41.91242
"94812","Potamothrix_vejdovskyi",-87.90327,43.02287
"94839","Potamothrix_vejdovskyi",-87.89114,43.00985
"94910","Potamothrix_vejdovskyi",-87.87693,42.99323
"94911","Potamothrix_vejdovskyi",-87.88441,43.02295
"96173","Potamothrix_vejdovskyi",-80.6664,42
"157457","Potamothrix_vejdovskyi",-82,43.4667
"413666","Potamothrix_vejdovskyi",-83.1667,44.9167
