"","species","lon","lat"
"44758","Proasellus_coxalis",7.12,50.860001
"44873","Proasellus_coxalis",6.64,50.759998
"55504","Proasellus_coxalis",6.64,50.76
"81569","Proasellus_coxalis",7.12,50.86
"94315","Proasellus_coxalis",7.36,50.77
"136795","Proasellus_coxalis",5.852968,58.865959
"162407","Proasellus_coxalis",12.034,53.459667
"162408","Proasellus_coxalis",11.585333,53.375
"169607","Proasellus_coxalis",11.72,50.75
"213277","Proasellus_coxalis",4.696927,51.068873
"295418","Proasellus_coxalis",7.293333,51.495833
"305371","Proasellus_coxalis",5.838632,58.880456
"331738","Proasellus_coxalis",5.62364,52.00535
"380852","Proasellus_coxalis",11.72,50.75
"425014","Proasellus_coxalis",8.60307,47.64231
"425015","Proasellus_coxalis",8.53468,47.55304
"425016","Proasellus_coxalis",8.60208,47.59735
"431363","Proasellus_coxalis",4.696927,51.068873
"461268","Proasellus_coxalis",7.36,50.77
"474244","Proasellus_coxalis",7.32,50.799999
"486585","Proasellus_coxalis",7.32,50.8
