"","species","lon","lat"
"19432","Prosopis_juliflora",-86.30222,12.27083
"19570","Prosopis_juliflora",-103.822222,21.856111
"19684","Prosopis_juliflora",-89.3,13.483333
"19735","Prosopis_juliflora",-80.73333,-1.51666
"27398","Prosopis_juliflora",-80.81666,-1.56666
"27440","Prosopis_juliflora",-85.753056,11.023333
"27942","Prosopis_juliflora",-36.8792,-8.575
"35044","Prosopis_juliflora",-85.658,10.776
"35157","Prosopis_juliflora",-73.170833,6.883333
"35171","Prosopis_juliflora",-90.00416,14.91194
"35210","Prosopis_juliflora",-86.206111,12.855556
"35267","Prosopis_juliflora",-85.725206,12.416639
"36991","Prosopis_juliflora",-74.785214,4.733022
"37038","Prosopis_juliflora",-74.912222,9.63
"37044","Prosopis_juliflora",-72.569111,7.727472
"37100","Prosopis_juliflora",-72.785962,8.572612
"37104","Prosopis_juliflora",-73.259167,6.622028
"37105","Prosopis_juliflora",-74.796972,4.765
"39299","Prosopis_juliflora",-80.17111,-0.075
"39320","Prosopis_juliflora",-86.113389,11.492694
"39800","Prosopis_juliflora",-74.75,4.75
"39989","Prosopis_juliflora",-89.7276705,21.1231879
"40023","Prosopis_juliflora",-89.8095856,21.1705336
"40354","Prosopis_juliflora",-65.1,-21.31
"44879","Prosopis_juliflora",29.98,31.219999
"44955","Prosopis_juliflora",-40.833333,-9.666667
"44956","Prosopis_juliflora",-41.083333,-9.8925
"49500","Prosopis_juliflora",-92.972222,16.483333
"61084","Prosopis_juliflora",-85.708889,11.05
"61087","Prosopis_juliflora",-85.29891,10.328624
"61089","Prosopis_juliflora",-85.160475,10.033424
"61154","Prosopis_juliflora",-85.406945,10.354167
"61287","Prosopis_juliflora",-85.655556,10.791667
"61355","Prosopis_juliflora",-85.793306,10.908944
"61360","Prosopis_juliflora",-84.6965,9.867694
"62001","Prosopis_juliflora",-112.174517,33.4109
"64928","Prosopis_juliflora",-40.382778,-9.376944
"64966","Prosopis_juliflora",-39,-8.013056
"65086","Prosopis_juliflora",-40.333333,-9.333333
"65142","Prosopis_juliflora",-37.556667,-5.559167
"65194","Prosopis_juliflora",-41.917778,-9.922222
"65197","Prosopis_juliflora",-39.683333,-15.699444
"65395","Prosopis_juliflora",-38.909444,-8.909167
"65396","Prosopis_juliflora",-38.958333,-8.961389
"65464","Prosopis_juliflora",-40.483333,-12.483333
"65499","Prosopis_juliflora",-40.283333,-12.283333
"65547","Prosopis_juliflora",-38.938333,-8.946389
"65570","Prosopis_juliflora",-39.6,-10.6
"65606","Prosopis_juliflora",-41.516389,-9.505
"65608","Prosopis_juliflora",-37.694722,-8.686944
"65633","Prosopis_juliflora",-38.231111,-8.219444
"65654","Prosopis_juliflora",-39.395833,-7.395
"67366","Prosopis_juliflora",-35.203611,-5.8725
"67439","Prosopis_juliflora",-37.183333,-4.923333
"67483","Prosopis_juliflora",-35.64,-6.299722
"67486","Prosopis_juliflora",-35.938056,-5.564167
"67521","Prosopis_juliflora",-36.514722,-6.263056
"70434","Prosopis_juliflora",-104.97,19.38
"70770","Prosopis_juliflora",-72.520556,7.788056
"72674","Prosopis_juliflora",-110.841667,31.781667
"73916","Prosopis_juliflora",39.777258,-1.141538
"76774","Prosopis_juliflora",-112.1584909,33.3752249
"76809","Prosopis_juliflora",-111.2878,34.0303
"76881","Prosopis_juliflora",-112.0544899,33.5521206
"76965","Prosopis_juliflora",-112.203,34.1965
"76985","Prosopis_juliflora",-112.4645014,33.7407128
"76998","Prosopis_juliflora",-112.12994,33.51158
"77077","Prosopis_juliflora",-110.812,33.3288
"77177","Prosopis_juliflora",-110.58863,31.83314
"77291","Prosopis_juliflora",-112.1,33.4093
"77302","Prosopis_juliflora",-111.9194877,33.6741179
"77324","Prosopis_juliflora",-111.644,33.5467
"77476","Prosopis_juliflora",-110.589,31.795462
"77488","Prosopis_juliflora",-115.403573,34.680411
"77502","Prosopis_juliflora",-111.917,33.7661
"77518","Prosopis_juliflora",-112.1714914,33.3951243
"77533","Prosopis_juliflora",-109.537,32.096
"77590","Prosopis_juliflora",-112.10578,33.29122
"77615","Prosopis_juliflora",-111.9,33.75
"77725","Prosopis_juliflora",-110.6372,31.788345
"77866","Prosopis_juliflora",-111.9194847,33.316728
"78084","Prosopis_juliflora",-112.0044871,33.3612263
"78382","Prosopis_juliflora",51.054361,28.842083
"81540","Prosopis_juliflora",72.6239,23.1122
"83891","Prosopis_juliflora",-102.5503238,18.0482776
"83902","Prosopis_juliflora",-108.1143076,30.3379578
"83916","Prosopis_juliflora",-101.232525,27.3091706
"83937","Prosopis_juliflora",-95.0186148,16.3610602
"83938","Prosopis_juliflora",-94.817507,16.568892
"83960","Prosopis_juliflora",-104.968889,19.368889
"84010","Prosopis_juliflora",-105.016667,19.383333
"84011","Prosopis_juliflora",-104.966667,19.383333
"84056","Prosopis_juliflora",-95.1574995,16.176067
"84065","Prosopis_juliflora",-89.2113684,21.2913535
"84393","Prosopis_juliflora",-75.4,10.3
"89378","Prosopis_juliflora",-111.43333,33.53333
"89487","Prosopis_juliflora",-115.23282,33.25847
"93941","Prosopis_juliflora",-63.583333,-21.333333
"95638","Prosopis_juliflora",-105.450278,20.389444
"95658","Prosopis_juliflora",-96.044083,15.79
"95665","Prosopis_juliflora",-93.834167,15.946667
"95692","Prosopis_juliflora",-95.967222,15.822778
"132988","Prosopis_juliflora",-114.3247,32.76505
"133160","Prosopis_juliflora",-113.6420996,35.8676699
"133621","Prosopis_juliflora",-111.706671,34.539103
"134142","Prosopis_juliflora",-111.75008,34.54553
"134145","Prosopis_juliflora",-71.104964,18.406757
"134790","Prosopis_juliflora",14.201667,12.316944
"134964","Prosopis_juliflora",-74.2221,11.16603
"135043","Prosopis_juliflora",-73.001056,6.828142
"135056","Prosopis_juliflora",-72.215278,11.855556
"136525","Prosopis_juliflora",-71.317639,12.167056
"136532","Prosopis_juliflora",-75.13223,3.25114
"136536","Prosopis_juliflora",-75.022778,10.658333
"136551","Prosopis_juliflora",-73.36103,10.56206
"136566","Prosopis_juliflora",-74.216072,11.077797
"136589","Prosopis_juliflora",-74.35,9.25
"136593","Prosopis_juliflora",-74.85088,10.59253
"136622","Prosopis_juliflora",-72.927569,6.752313
"136650","Prosopis_juliflora",-73.25,6.866667
"136721","Prosopis_juliflora",-72.765556,10.955556
"136726","Prosopis_juliflora",-75.507111,10.334806
"137341","Prosopis_juliflora",-39.168333,-9.594722
"137366","Prosopis_juliflora",-42.650833,-14.765278
"137367","Prosopis_juliflora",-42,-11.633333
"137368","Prosopis_juliflora",-40.921667,-9.168889
"137369","Prosopis_juliflora",-37.556667,-5.7925
"137543","Prosopis_juliflora",-85.660004,10.78
"137726","Prosopis_juliflora",-37.048056,-10.869444
"137755","Prosopis_juliflora",-37.684167,-9.805278
"137784","Prosopis_juliflora",-37.459444,-6.4875
"137856","Prosopis_juliflora",-37.789167,-9.66
"137912","Prosopis_juliflora",-37.278056,-9.917222
"137991","Prosopis_juliflora",-37.215669,-11.103358
"143194","Prosopis_juliflora",-157.89,21.3161
"149177","Prosopis_juliflora",-72.993806,6.822972
"149187","Prosopis_juliflora",-73.822831,9.119769
"149201","Prosopis_juliflora",-72.454406,8.033444
"149202","Prosopis_juliflora",-73.006283,6.819639
"149204","Prosopis_juliflora",-73.0357,6.89134
"150448","Prosopis_juliflora",-16.466667,13.8
"153996","Prosopis_juliflora",-72.679389,6.481444
"154006","Prosopis_juliflora",-72.646639,6.329778
"154042","Prosopis_juliflora",72.777069,24.649925
"154930","Prosopis_juliflora",-74.825278,4.683056
"154931","Prosopis_juliflora",-75.1625,10.765278
"155428","Prosopis_juliflora",-114.3247,32.76505
"158370","Prosopis_juliflora",46.4,-24.98333
"158429","Prosopis_juliflora",-157.89,21.3162
"158476","Prosopis_juliflora",-157.983,21.3
"158506","Prosopis_juliflora",-157.933,21.3167
"158985","Prosopis_juliflora",-96.158722,15.734611
"158993","Prosopis_juliflora",-96.2335,15.741
"159147","Prosopis_juliflora",-107.698333,27.070278
"161365","Prosopis_juliflora",-79.96666,-2.16666
"161589","Prosopis_juliflora",-85.4,10.35
"161831","Prosopis_juliflora",-78.51083,-5.71361
"161916","Prosopis_juliflora",-85.655556,10.791667
"166278","Prosopis_juliflora",-39.533333,-4.963333
"166389","Prosopis_juliflora",-40.14,-5.4
"166390","Prosopis_juliflora",-43.74,-13.679722
"168472","Prosopis_juliflora",-104.96667,19.38333
"171999","Prosopis_juliflora",1.2666,10.6166
"172324","Prosopis_juliflora",-42.075278,-9.616111
"173707","Prosopis_juliflora",-92.967778,16.485833
"176728","Prosopis_juliflora",-80.20888,-3.56166
"176780","Prosopis_juliflora",-65.13305,-20.10416
"177303","Prosopis_juliflora",-80.63333,-1.25
"177343","Prosopis_juliflora",-85.616667,10.833333
"177492","Prosopis_juliflora",-73.25,6.866667
"178016","Prosopis_juliflora",-56.51,-30.2
"178057","Prosopis_juliflora",-40.87,-11.53
