"","species","lon","lat"
"12264","Psidium_guajava",-75.566667,20.066667
"13253","Psidium_guajava",-97.5464,20.0281
"13281","Psidium_guajava",-54.446111,-25.621667
"13306","Psidium_guajava",-54.316667,-24.85
"13311","Psidium_guajava",-53.420556,-24.937222
"13365","Psidium_guajava",-91.25667,17.03583
"13367","Psidium_guajava",-86.267,13.267
"13407","Psidium_guajava",-93.58194,16.20417
"13432","Psidium_guajava",-97.54667,20.16222
"13540","Psidium_guajava",-90.4439,19.80317
"13595","Psidium_guajava",-96.86889,19.77639
"13603","Psidium_guajava",-100.39167,19.41778
"13607","Psidium_guajava",-94.43469,18.02161
"13689","Psidium_guajava",-94.03417,16.41389
"13711","Psidium_guajava",-93.9725,16.32861
"13793","Psidium_guajava",-92.245,18.63194
"13799","Psidium_guajava",-95.01333,16.68778
"13814","Psidium_guajava",-89.45333,18.22778
"13837","Psidium_guajava",-96.9038,17.92647
"13853","Psidium_guajava",-95.091667,18.608333
"14126","Psidium_guajava",-6.92674,4.80217
"19514","Psidium_guajava",-60.13333,7.5
"19599","Psidium_guajava",-90.118056,19.484722
"19620","Psidium_guajava",-86.36666,12.98333
"19649","Psidium_guajava",-86.45,13.11666
"19720","Psidium_guajava",-76.46666,-0.2
"19745","Psidium_guajava",-63.66666,-17.38333
"19748","Psidium_guajava",-78.9025,-5.01194
"19847","Psidium_guajava",-64.2975,-18.522778
"19856","Psidium_guajava",-56.36666,-25.71666
"19905","Psidium_guajava",-84.818278,12.666389
"20243","Psidium_guajava",114.05,22.54
"20806","Psidium_guajava",126.340278,-8.7125
"20954","Psidium_guajava",-54.133333,5.4
"27385","Psidium_guajava",-63.11666,-17.48333
"27451","Psidium_guajava",-104.956111,21.388333
"27456","Psidium_guajava",-9.22829,8.31325
"27459","Psidium_guajava",-66.5,-14.75
"27507","Psidium_guajava",-85.430278,14.1
"27529","Psidium_guajava",-96.300278,16.301667
"27551","Psidium_guajava",-78.01666,0.43333
"27583","Psidium_guajava",-57.5,-25.11666
"27584","Psidium_guajava",-57.466667,-25.333333
"27588","Psidium_guajava",-76.076944,-0.494722
"27624","Psidium_guajava",-86.9,12.43333
"27640","Psidium_guajava",-93.62194,16.27527
"27653","Psidium_guajava",49.00861,-14.24277
"27680","Psidium_guajava",-57.46666,-25.33333
"27734","Psidium_guajava",-88.7,18.18
"27785","Psidium_guajava",-89.93333,13.81666
"34889","Psidium_guajava",2.116667,6.95
"34907","Psidium_guajava",-84.583333,9.75
"34946","Psidium_guajava",11.078333,-1.040833
"34953","Psidium_guajava",47.55,-18.933333
"35011","Psidium_guajava",-82.951,9.00694
"35059","Psidium_guajava",-85.463,10.915
"35098","Psidium_guajava",-78.412223,-0.216667
"35099","Psidium_guajava",-78.133334,0.566667
"35100","Psidium_guajava",-77.883333,-0.45
"35101","Psidium_guajava",-78.716666,1.083333
"35102","Psidium_guajava",-77.816666,-0.4
"35103","Psidium_guajava",-77.84,-0.683333
"35104","Psidium_guajava",-77.889722,-0.464167
"35107","Psidium_guajava",-78.387778,-0.161111
"35108","Psidium_guajava",-77.216666,0.028056
"35109","Psidium_guajava",-78.413889,-0.233333
"35110","Psidium_guajava",-78.386111,-0.195
"35112","Psidium_guajava",-78.333333,-0.166667
"35113","Psidium_guajava",-78.6525,0.034167
"35114","Psidium_guajava",-77.83,-0.683333
"35115","Psidium_guajava",-78.416667,0.116667
"35116","Psidium_guajava",-78.396389,-0.212778
"35117","Psidium_guajava",-78.384167,-1.401944
"35118","Psidium_guajava",-78.35,-0.173056
"35122","Psidium_guajava",-88.071667,13.939722
"35143","Psidium_guajava",-75.574167,-10.198889
"35167","Psidium_guajava",-85.48333,10.95
"35205","Psidium_guajava",-57.4,-25.61666
"35206","Psidium_guajava",-57.46666,-25.63333
