"","species","lon","lat"
"21490","Reseda_alba",23.36944,38.18167
"21492","Reseda_alba",23.33361,38.26611
"21493","Reseda_alba",23.31167,38.31
"21494","Reseda_alba",23.29056,38.21944
"21495","Reseda_alba",23.2425,38.33361
"21496","Reseda_alba",23.21333,38.48028
"21497","Reseda_alba",22.96278,38.47639
"21499","Reseda_alba",23.06667,38.48861
"22705","Reseda_alba",22.95889,38.87444
"22706","Reseda_alba",22.92278,38.4475
"22707","Reseda_alba",23.17472,38.26417
"22708","Reseda_alba",23.21417,38.38611
"22709","Reseda_alba",23.26139,38.31278
"22710","Reseda_alba",23.08361,38.54528
"22711","Reseda_alba",23.3775,38.29167
"22712","Reseda_alba",23.21056,38.44944
"22713","Reseda_alba",23.47889,38.22917
"22714","Reseda_alba",23.3575,38.22917
"22715","Reseda_alba",23.41806,38.16944
"22716","Reseda_alba",23.36389,38.18528
"22717","Reseda_alba",23.47389,38.48917
"22718","Reseda_alba",23.41139,38.3125
"22719","Reseda_alba",23.52333,38.31194
"22720","Reseda_alba",23.51556,38.30028
"23289","Reseda_alba",23.02806,40.54611
"23290","Reseda_alba",22.9475,40.5075
"23291","Reseda_alba",23.12417,40.50111
"23298","Reseda_alba",23.01583,40.43528
"23441","Reseda_alba",26.26194,35.26444
"23479","Reseda_alba",25.52639,35.30833
"24545","Reseda_alba",21.84361,38.38861
"24638","Reseda_alba",20.72528,38.84389
"24639","Reseda_alba",20.68194,38.83889
"24640","Reseda_alba",20.70056,38.84861
"34717","Reseda_alba",5.971557,51.582957
"36685","Reseda_alba",12.82472,37.58583
"37560","Reseda_alba",5.976281,50.827819
"42192","Reseda_alba",144.910556,-37.868889
"56753","Reseda_alba",-0.1185,38.6132
"57498","Reseda_alba",-1.9087,37.9407
"57738","Reseda_alba",-4.1849,42.6605
"57755","Reseda_alba",-3.03,33.98
"57906","Reseda_alba",1.25,42.12
"58091","Reseda_alba",-0.91,39.09
"58175","Reseda_alba",-0.72,40.37
"58194","Reseda_alba",3.6,43.42
"58289","Reseda_alba",3.03,42.81
"58459","Reseda_alba",1.7,42.24
"58671","Reseda_alba",-0.03,38.83
"58782","Reseda_alba",-0.3,38.68
"62641","Reseda_alba",14.01797,37.98654
"62677","Reseda_alba",12.668438,38.106939
"62709","Reseda_alba",13.117054,37.772988
"62775","Reseda_alba",13.548628,37.979723
"62959","Reseda_alba",14.723063,36.923768
"62969","Reseda_alba",13.210392,38.025393
"63098","Reseda_alba",12.82522,37.58337
"63110","Reseda_alba",15.286961,37.852186
"63142","Reseda_alba",12.811348,38.079067
"63197","Reseda_alba",15,37.13
"63259","Reseda_alba",13.663755,37.930493
"63315","Reseda_alba",15.043777,38.140413
"67552","Reseda_alba",10.601667,35.875
"67985","Reseda_alba",4.290515,51.491106
"68959","Reseda_alba",-4.258888,34.330555
"69618","Reseda_alba",15.02039,56.49962
"70238","Reseda_alba",-119.2672,34.2476
"71069","Reseda_alba",175.045572,-39.932933
"71107","Reseda_alba",175.263239,-41.604135
"71195","Reseda_alba",174.826669,-41.184302
"71342","Reseda_alba",175.229171,-40.302433
"71421","Reseda_alba",173.087325,-41.383512
"73493","Reseda_alba",144.910556,-37.868889
"85440","Reseda_alba",144.91,-37.8694
"85877","Reseda_alba",-0.51,39.47
"86339","Reseda_alba",-0.18,38.68
"86654","Reseda_alba",-0.52,38.87
"87550","Reseda_alba",-0.07,38.68
"87789","Reseda_alba",-2.9,34.97
"88485","Reseda_alba",-0.4,39.05
"137085","Reseda_alba",11.54226,57.94656
"145994","Reseda_alba",25.08,35.34
"149516","Reseda_alba",-4.08,36.87
"149593","Reseda_alba",-2.77,37.83
"150554","Reseda_alba",15.61099,56.23987
"150739","Reseda_alba",12.96221,56.27422
"151029","Reseda_alba",14.12414,55.62444
"151174","Reseda_alba",13.03229,55.63875
"151185","Reseda_alba",16.17188,56.69916
"151229","Reseda_alba",21.46939,65.31924
