"","species","lon","lat"
"36884","Rhithropanopeus_harrisii",23.20336,59.922728
"44831","Rhithropanopeus_harrisii",18.802999,54.348
"44839","Rhithropanopeus_harrisii",18.641001,54.484001
"55500","Rhithropanopeus_harrisii",18.641,54.484
"62427","Rhithropanopeus_harrisii",-75.7791,9.39364
"70852","Rhithropanopeus_harrisii",19.621,54.377998
"70883","Rhithropanopeus_harrisii",10.26,43.869999
"74109","Rhithropanopeus_harrisii",22.880641,60.039892
"74152","Rhithropanopeus_harrisii",22.59819,60.154663
"81494","Rhithropanopeus_harrisii",19.621,54.378
"81531","Rhithropanopeus_harrisii",18.803,54.348
"84123","Rhithropanopeus_harrisii",23.190218,59.947189
"84243","Rhithropanopeus_harrisii",22.822984,59.978926
"84244","Rhithropanopeus_harrisii",22.663456,60.241651
"94736","Rhithropanopeus_harrisii",-81.52834,30.38317
"94762","Rhithropanopeus_harrisii",-80.0035,32.834833
"94787","Rhithropanopeus_harrisii",-76.18437,39.09189
"94806","Rhithropanopeus_harrisii",-80.30635,27.17834
"94813","Rhithropanopeus_harrisii",-81.25768,29.66557
"94821","Rhithropanopeus_harrisii",-80.685166,28.2935
"94824","Rhithropanopeus_harrisii",-76.52139,38.87814
"94845","Rhithropanopeus_harrisii",-76.203,39.314
"94855","Rhithropanopeus_harrisii",-80.25708,27.20893
"94860","Rhithropanopeus_harrisii",-80.681166,28.367833
"94863","Rhithropanopeus_harrisii",-75.5641,39.4664
"94864","Rhithropanopeus_harrisii",-81.56133,30.38317
"94866","Rhithropanopeus_harrisii",-76.31315,36.9814
"94876","Rhithropanopeus_harrisii",-81.699,30.1495
"94885","Rhithropanopeus_harrisii",-80.26015,27.17273
"94933","Rhithropanopeus_harrisii",-76.081,39.373
"99676","Rhithropanopeus_harrisii",-122.63822,38.2355
"101199","Rhithropanopeus_harrisii",-122.39,38.06
"102617","Rhithropanopeus_harrisii",-98.535056,32.862622
"104078","Rhithropanopeus_harrisii",-122.349243,37.775057
"105890","Rhithropanopeus_harrisii",-121.81,38.05
"108721","Rhithropanopeus_harrisii",-122.4741,37.83255
"111394","Rhithropanopeus_harrisii",-97.62925,27.8919
"112396","Rhithropanopeus_harrisii",-97.380066,31.873476
"112408","Rhithropanopeus_harrisii",-122.50258,38.11562
"113564","Rhithropanopeus_harrisii",-122.05811,38.07134
"114328","Rhithropanopeus_harrisii",-96.69342,33.908035
"119501","Rhithropanopeus_harrisii",-122.62609,38.229361
"149068","Rhithropanopeus_harrisii",-52.2428,-31.8681
"149292","Rhithropanopeus_harrisii",-122.61385,38.23131
"149295","Rhithropanopeus_harrisii",-122.6131,38.22938
"149296","Rhithropanopeus_harrisii",-122.31176,38.21983
"149309","Rhithropanopeus_harrisii",-122.61313,38.22939
"149321","Rhithropanopeus_harrisii",-122.638217,38.2355
"149322","Rhithropanopeus_harrisii",-122.503283,38.116217
"149336","Rhithropanopeus_harrisii",-122.31165,38.21988
"149340","Rhithropanopeus_harrisii",-122.31431,38.22139
"149345","Rhithropanopeus_harrisii",-122.3116,38.21985
"149349","Rhithropanopeus_harrisii",-122.61468,38.23112
"149351","Rhithropanopeus_harrisii",-122.61311,38.22939
"149355","Rhithropanopeus_harrisii",-122.61405,38.2313
"153507","Rhithropanopeus_harrisii",-6.13,36.349998
"165220","Rhithropanopeus_harrisii",-6.2295,36.5901
"165221","Rhithropanopeus_harrisii",5.1229,43.4217
"166174","Rhithropanopeus_harrisii",4.836045,52.407361
"204857","Rhithropanopeus_harrisii",24.46254,58.20904
"206999","Rhithropanopeus_harrisii",-97.616667,27.883333
"207000","Rhithropanopeus_harrisii",-94.683333,29.765
"207001","Rhithropanopeus_harrisii",-93.748333,30.05
"216228","Rhithropanopeus_harrisii",-92.584907,18.378471
"216229","Rhithropanopeus_harrisii",-91.507774,18.386963
"216230","Rhithropanopeus_harrisii",-91.458969,18.787613
"216231","Rhithropanopeus_harrisii",-92.690285,18.480848
"216232","Rhithropanopeus_harrisii",-92.575829,18.350107
"216233","Rhithropanopeus_harrisii",-92.56926,18.378445
"216234","Rhithropanopeus_harrisii",-92.492485,18.40114
"216235","Rhithropanopeus_harrisii",-91.578056,18.728586
"216236","Rhithropanopeus_harrisii",-92.090347,18.619265
"216396","Rhithropanopeus_harrisii",22.953,59.987
"216397","Rhithropanopeus_harrisii",22.170333,60.443
"216742","Rhithropanopeus_harrisii",2.759167,51.130556
"251773","Rhithropanopeus_harrisii",10.2586,43.8676
"287232","Rhithropanopeus_harrisii",-81.5778,29.2017
"315886","Rhithropanopeus_harrisii",-98.45194,32.93584
"316995","Rhithropanopeus_harrisii",-122.31189,38.21977
"318961","Rhithropanopeus_harrisii",-97.687804,32.373752
"322718","Rhithropanopeus_harrisii",-122.31277,38.21997
"324087","Rhithropanopeus_harrisii",-122.16454,37.54567
"324480","Rhithropanopeus_harrisii",-122.15011,38.04052
"324639","Rhithropanopeus_harrisii",-97.760306,32.288475
"325439","Rhithropanopeus_harrisii",-122.63535,38.23443
"327045","Rhithropanopeus_harrisii",135.48659,34.71967
"327046","Rhithropanopeus_harrisii",135.50682,34.72607
"327047","Rhithropanopeus_harrisii",135.48999,34.72141
"328251","Rhithropanopeus_harrisii",22.201324,60.430322
"328457","Rhithropanopeus_harrisii",23.192969,59.947769
"331708","Rhithropanopeus_harrisii",-80.6086,25.174166
"331711","Rhithropanopeus_harrisii",-80.95,29.066667
"331713","Rhithropanopeus_harrisii",-80.681167,28.367833
"331721","Rhithropanopeus_harrisii",-80.685167,28.2935
"331722","Rhithropanopeus_harrisii",-81.0845,29.3215
"331725","Rhithropanopeus_harrisii",-82.562,27.950167
"331726","Rhithropanopeus_harrisii",-82.502833,27.524
"331728","Rhithropanopeus_harrisii",-82.7265,27.7375
"331736","Rhithropanopeus_harrisii",-82.593,27.972333
"351066","Rhithropanopeus_harrisii",12.39,55.39
"351069","Rhithropanopeus_harrisii",24.44,58.38
"351505","Rhithropanopeus_harrisii",22.413483,60.403926
"392979","Rhithropanopeus_harrisii",-79.58,8.98
"423221","Rhithropanopeus_harrisii",-89.109722,21.353139
"423222","Rhithropanopeus_harrisii",-89.095222,21.362889
"423223","Rhithropanopeus_harrisii",-89.112444,21.365083
"423224","Rhithropanopeus_harrisii",-89.111444,21.360667
"423225","Rhithropanopeus_harrisii",-89.096194,21.367306
"423226","Rhithropanopeus_harrisii",-89.100278,21.354611
"423227","Rhithropanopeus_harrisii",-89.088556,21.369528
"423228","Rhithropanopeus_harrisii",-89.103028,21.366639
"423229","Rhithropanopeus_harrisii",-89.087556,21.365139
"423230","Rhithropanopeus_harrisii",-89.094,21.357417
"423231","Rhithropanopeus_harrisii",-89.102028,21.36225
"431361","Rhithropanopeus_harrisii",2.759167,51.130556
"462992","Rhithropanopeus_harrisii",-72.759306,41.241381
"462995","Rhithropanopeus_harrisii",-72.757389,41.245639
"473940","Rhithropanopeus_harrisii",-92.57,17.87
"473941","Rhithropanopeus_harrisii",-94.06,17.98
"473942","Rhithropanopeus_harrisii",-91.33,18.54
