"","species","lon","lat"
"19462","Rosa_setigera",-94.03472,39.98166
"19464","Rosa_setigera",-91.643333,39.066389
"19525","Rosa_setigera",-91.1382,38.585794
"19821","Rosa_setigera",-90.541183,38.982917
"19829","Rosa_setigera",-90.19339,37.21544
"27525","Rosa_setigera",-91.871667,36.618889
"35230","Rosa_setigera",-91.708056,40.580556
"37216","Rosa_setigera",-80.133361,42.146778
"39151","Rosa_setigera",-90.499055,36.499056
"39504","Rosa_setigera",-90.133333,37.425
"39534","Rosa_setigera",-91.5375,37.6586
"39638","Rosa_setigera",-91.520233,36.489867
"39761","Rosa_setigera",-92.318056,40.206667
"39879","Rosa_setigera",-94.76995,37.030901
"39915","Rosa_setigera",-91.086217,37.552484
"40160","Rosa_setigera",-90.214739,36.421068
"50087","Rosa_setigera",-93.291,36.6589
"50315","Rosa_setigera",-90.513889,37.988889
"78976","Rosa_setigera",-93.646134,33.130097
"92253","Rosa_setigera",-88.058394,41.640586
"92254","Rosa_setigera",-88.4333,41.95
"92265","Rosa_setigera",-87.925866,40.957417
"92266","Rosa_setigera",-87.923965,42.440222
"92269","Rosa_setigera",-88.107013,41.86614
"92674","Rosa_setigera",-95.12942,38.76703
"92697","Rosa_setigera",-95.164124,37.316568
"92705","Rosa_setigera",-94.891948,38.687435
"92732","Rosa_setigera",-95.450737,38.905934
"92777","Rosa_setigera",-94.920278,38.458056
"92813","Rosa_setigera",-95.233698,37.605267
"92893","Rosa_setigera",-94.954928,38.716433
"92955","Rosa_setigera",-96.46669,37.53318
"93048","Rosa_setigera",-95.22378,38.92257
"93079","Rosa_setigera",-95.191136,38.807847
"94659","Rosa_setigera",-85.626,42.989883
"132732","Rosa_setigera",-86.341194,39.176393
"136286","Rosa_setigera",-90.101689,36.709766
"136338","Rosa_setigera",-94.369444,36.794167
"140944","Rosa_setigera",-83.15831,42.5835
"140955","Rosa_setigera",-83.42331,41.90693
"141084","Rosa_setigera",-86.501717,44.035017
"143154","Rosa_setigera",-89.6619,39.1839
"152109","Rosa_setigera",-87.793977,42.032872
"152127","Rosa_setigera",-88.17934,41.4039
"155539","Rosa_setigera",-88.857782,38.749208
"155563","Rosa_setigera",-88.608878,38.990151
"155580","Rosa_setigera",-88.202289,39.380682
"155581","Rosa_setigera",-87.55841,41.10582
"155582","Rosa_setigera",-90.1129,40.2154
"155648","Rosa_setigera",-89.645927,38.424045
"155661","Rosa_setigera",-88.081111,38.6875
"161255","Rosa_setigera",-90.101689,36.709766
"161460","Rosa_setigera",-90.640617,36.592683
"163290","Rosa_setigera",-90.161389,38.636111
"163451","Rosa_setigera",-94.583333,38.75
"169867","Rosa_setigera",-112.08488,33.61665
"176642","Rosa_setigera",-92.3918,36.057983
"176754","Rosa_setigera",-91.3931,38.7789
"177150","Rosa_setigera",-90.259167,37.519167
"177365","Rosa_setigera",-93.6123,40.4356
"177469","Rosa_setigera",-91.5525,37.664722
"177843","Rosa_setigera",-83.768183,33.196167
"177857","Rosa_setigera",-83.683883,33.250417
"177860","Rosa_setigera",-83.768367,33.196517
"179739","Rosa_setigera",-88.455117,37.696123
"179804","Rosa_setigera",-88.433808,41.342623
"179816","Rosa_setigera",-89.59037,38.361451
"179821","Rosa_setigera",-90.4,39.866667
"204312","Rosa_setigera",-85.52497,36.05525
"238196","Rosa_setigera",-87.992941,41.806284
"247361","Rosa_setigera",-94.9781,40.0711
"247413","Rosa_setigera",-92.283683,36.587067
"247533","Rosa_setigera",-92.285883,37.0577
"247580","Rosa_setigera",-69.598633,44.600117
"247662","Rosa_setigera",-90.935555,37.9125
"254889","Rosa_setigera",-91.066667,37.133333
"254956","Rosa_setigera",-90.522917,36.561867
"255122","Rosa_setigera",-94.6425,38.81055
"255159","Rosa_setigera",-95.700833,34.148056
"255354","Rosa_setigera",-95.033333,33.35
"256997","Rosa_setigera",-91.016667,38.75
"257143","Rosa_setigera",-90.328611,38.619722
"257194","Rosa_setigera",-90.633528,37.733528
"264551","Rosa_setigera",-80.220372,40.192628
"287299","Rosa_setigera",-82.233333,35.008333
"289005","Rosa_setigera",-96.655374,32.331264
"289159","Rosa_setigera",-97.5703,33.3375
"289161","Rosa_setigera",-97.5691,33.3354
"289188","Rosa_setigera",-97.565,33.3377
"289219","Rosa_setigera",-94.9305,33.7963
"293107","Rosa_setigera",-97.57033,33.33754
"293205","Rosa_setigera",-94.7,35.18556
"294471","Rosa_setigera",-95.70061,33.63686
"303787","Rosa_setigera",-94.405278,38.571945
"312371","Rosa_setigera",-95.02337,37.04451
"312693","Rosa_setigera",-94.637368,38.82939
"312707","Rosa_setigera",-94.908328,38.723756
"312741","Rosa_setigera",-83.019413,38.191572
"312790","Rosa_setigera",-94.908941,38.947231
"312866","Rosa_setigera",-94.829167,37.36
"312903","Rosa_setigera",-95.267117,38.17973
"313202","Rosa_setigera",-94.933063,39.352509
"313257","Rosa_setigera",-95.24331,37.60436
"313265","Rosa_setigera",-96.557222,38.434444
"313443","Rosa_setigera",-94.98081,38.952904
"313450","Rosa_setigera",-95.449246,38.903887
"326904","Rosa_setigera",-84.23542,41.75984
"326915","Rosa_setigera",-83.5085,42.25167
"328560","Rosa_setigera",-89.5042,37.0944
"328611","Rosa_setigera",-94.009444,37.228611
"333674","Rosa_setigera",-87.096167,41.64589
"333688","Rosa_setigera",-87.269581,41.600195
"333697","Rosa_setigera",-87.85154,41.047965
"334890","Rosa_setigera",-92.854308,35.262521
"334891","Rosa_setigera",-91.649791,34.351088
"334910","Rosa_setigera",-93.96895,36.31835
"334911","Rosa_setigera",-92.30294,34.69505
"334914","Rosa_setigera",-93.81345,33.78892
"334915","Rosa_setigera",-93.91553,33.75783
"346152","Rosa_setigera",-112.084907,33.616736
"349806","Rosa_setigera",-90.27833,36.89416
"350093","Rosa_setigera",-85.205744,34.996514
"350213","Rosa_setigera",-92.084167,36.600215
"350260","Rosa_setigera",-93.22222,39.75555
"350321","Rosa_setigera",-91.4317,36.525117
"350851","Rosa_setigera",-95.03333,33.35
"353588","Rosa_setigera",-75.265705,40.175763
"353589","Rosa_setigera",-75.077115,40.148911
"353590","Rosa_setigera",-75.221565,40.154554
"353591","Rosa_setigera",-74.74905,40.175943
"353592","Rosa_setigera",-75.707117,41.559695
"366241","Rosa_setigera",-92.938167,40.386083
"366759","Rosa_setigera",-91.57305,38.90111
"366847","Rosa_setigera",-92.128056,40.310833
"369368","Rosa_setigera",-88.17618,34.93451
"369657","Rosa_setigera",-89.0143,33.9425
"372343","Rosa_setigera",-96.4,33.41666
"372390","Rosa_setigera",-91.21595,36.49345
"372503","Rosa_setigera",-92.299722,39.069445
"372547","Rosa_setigera",-91.78111,39.48111
