"","species","lon","lat"
"50617","Rosa_wichuraiana",140.49,38.1
"305537","Rosa_wichuraiana",117.17,26.9
"352171","Rosa_wichuraiana",135.33299,34.799999
"352181","Rosa_wichuraiana",134.867,34.8167
"352215","Rosa_wichuraiana",134.91701,35.200001
"352219","Rosa_wichuraiana",134.418,34.766701
"352244","Rosa_wichuraiana",134.91701,34.8167
"352264","Rosa_wichuraiana",134.733,34.966702
"352290","Rosa_wichuraiana",135.283,34.849998
"352360","Rosa_wichuraiana",134.733,35.016701
"352373","Rosa_wichuraiana",134.533,34.666698
"352376","Rosa_wichuraiana",135.317,34.8167
"352435","Rosa_wichuraiana",134.783,34.883301
"352489","Rosa_wichuraiana",134.45,35.616699
"352514","Rosa_wichuraiana",135.3,34.849998
"352575","Rosa_wichuraiana",135.117,34.783298
"352576","Rosa_wichuraiana",135.067,35.016701
"352580","Rosa_wichuraiana",134.733,34.766701
"436612","Rosa_wichuraiana",138.725,-35.208333
