"","species","lon","lat"
"12416","Rotala_ramosior",-80.2847,33.425
"12468","Rotala_ramosior",-81.025528,33.944167
"12511","Rotala_ramosior",-80.593,33.0587
"12556","Rotala_ramosior",-80.7892,33.9266
"12565","Rotala_ramosior",-81.587,33.824
"12642","Rotala_ramosior",-79.2565,33.7827
"12668","Rotala_ramosior",-80.5167,33.0606
"12671","Rotala_ramosior",-81.0827,34.0072
"12725","Rotala_ramosior",-80.6926,34.3296
"12968","Rotala_ramosior",-79.723502,34.326008
"12985","Rotala_ramosior",-84.3615,30.5878
"12992","Rotala_ramosior",-84.410534,31.337605
"13018","Rotala_ramosior",-81.3932,32.8262
"13052","Rotala_ramosior",-80.3006,33.4341
"13093","Rotala_ramosior",-80.201,33.7008
"19477","Rotala_ramosior",-91.602028,38.337111
"19496","Rotala_ramosior",-85.527222,12.799722
"19544","Rotala_ramosior",-85.209722,12.35
"21031","Rotala_ramosior",-109.00694,28.45417
"27352","Rotala_ramosior",-81.84,33.336389
"27479","Rotala_ramosior",-85.232222,12.376667
"27698","Rotala_ramosior",-90.08333,37.04722
"27849","Rotala_ramosior",-75.55861,38.45872
"27997","Rotala_ramosior",-97.0978,30.3653
"35326","Rotala_ramosior",-83.26944,8.80833
"35364","Rotala_ramosior",-92.115,38.3981
"35495","Rotala_ramosior",-82.69,9.62
"36985","Rotala_ramosior",-73.736167,7.357783
"37130","Rotala_ramosior",-92.64679,34.888239
"37131","Rotala_ramosior",-92.367623,34.937098
"37132","Rotala_ramosior",-92.284951,34.833972
"38535","Rotala_ramosior",121.606944,23.97
"39069","Rotala_ramosior",-60.708611,-17.672778
"39184","Rotala_ramosior",-91.94361,36.70805
"39280","Rotala_ramosior",-90.14141,37.48026
"39555","Rotala_ramosior",-85.298055,12.128889
"39595","Rotala_ramosior",-89.914167,37.72
"39608","Rotala_ramosior",-83.75,9.16
"39648","Rotala_ramosior",-90.765,38.4486
"39790","Rotala_ramosior",-85.356778,11.977056
"39870","Rotala_ramosior",-90.06666,13.8
"40107","Rotala_ramosior",-78.301521,37.709802
"40128","Rotala_ramosior",-77.114708,38.926958
"40135","Rotala_ramosior",-77.542419,38.315799
"40182","Rotala_ramosior",-92.281516,34.828411
"40183","Rotala_ramosior",-91.786497,33.928126
"40184","Rotala_ramosior",-92.64679,34.888239
"40185","Rotala_ramosior",-91.689871,33.798238
"40186","Rotala_ramosior",-91.543925,34.0712
"40187","Rotala_ramosior",-91.311567,35.130217
"44599","Rotala_ramosior",-75.735128,38.757964
"44689","Rotala_ramosior",-91.290804,33.33322
"44884","Rotala_ramosior",-119.400002,49
"50187","Rotala_ramosior",-85.209722,12.35
"50281","Rotala_ramosior",-85.426111,11.921389
"53327","Rotala_ramosior",-98.2973,32.596
"54109","Rotala_ramosior",-121.731694,39.458889
"54572","Rotala_ramosior",-81.84,33.336389
"54775","Rotala_ramosior",-80.582778,32.478611
"54776","Rotala_ramosior",-82.866667,34.704722
"54777","Rotala_ramosior",-82.854583,34.621933
"54778","Rotala_ramosior",-82.8625,34.613972
"61083","Rotala_ramosior",-85.236189,10.063961
"61159","Rotala_ramosior",-83.75,9.166667
"61206","Rotala_ramosior",-85.076111,9.641667
"61302","Rotala_ramosior",-83.197778,8.686667
"61308","Rotala_ramosior",-82.91872,9.623254
"61314","Rotala_ramosior",-83.051657,9.785728
"61339","Rotala_ramosior",-83.308333,8.75
"61374","Rotala_ramosior",-85.351377,10.332395
"61394","Rotala_ramosior",-84.675636,9.835197
"61414","Rotala_ramosior",-83.386,8.53749
"61826","Rotala_ramosior",-85.714167,31.4075
"61846","Rotala_ramosior",-85.479444,32.18
"61995","Rotala_ramosior",-86.521667,31.578333
"62002","Rotala_ramosior",-121.990943,39.619887
"62061","Rotala_ramosior",-121.554963,39.167821
"62283","Rotala_ramosior",-84.410534,31.3376
"63327","Rotala_ramosior",-99.041667,18.436944
"63462","Rotala_ramosior",-77.1342,38.8014
"64253","Rotala_ramosior",-85.535553,31.410833
"64254","Rotala_ramosior",-85.714165,31.407499
"64255","Rotala_ramosior",-85.479446,32.18
"64256","Rotala_ramosior",-87.978889,32.443056
"64257","Rotala_ramosior",-86.703378,31.188025
"64258","Rotala_ramosior",-86.466944,33.764167
"64259","Rotala_ramosior",-88.096389,32.698889
"64260","Rotala_ramosior",-86.127777,32.100555
"65552","Rotala_ramosior",-38.873611,-11.881111
"67334","Rotala_ramosior",-35.364444,-5.884444
"67338","Rotala_ramosior",-37.251111,-6.611111
"70192","Rotala_ramosior",-118.959,34.184
"71729","Rotala_ramosior",-97.9171,29.47559
"71788","Rotala_ramosior",-97.98342,29.41565
"78004","Rotala_ramosior",-108.931,27.025
"79177","Rotala_ramosior",-93.666814,31.632508
"79182","Rotala_ramosior",-75.31861,38.71389
"92562","Rotala_ramosior",-102.41472,40.59384
"92691","Rotala_ramosior",-94.69065,38.195013
"92757","Rotala_ramosior",-97.8574,38.1176
"92805","Rotala_ramosior",-95.950451,37.187061
"92845","Rotala_ramosior",-98.590601,41.434143
"93085","Rotala_ramosior",-97.631176,38.119747
"93960","Rotala_ramosior",1.716667,8.966667
"94676","Rotala_ramosior",-83.663508,41.914565
"94694","Rotala_ramosior",-83.45484,42.09156
"96142","Rotala_ramosior",-119.403,49.004
"98950","Rotala_ramosior",-70.08,18.52
"134022","Rotala_ramosior",-81.4661,27.82142
"134127","Rotala_ramosior",-82.17785,27.234867
"134294","Rotala_ramosior",-82.0362,29.21795
"134295","Rotala_ramosior",-82.265,27.116111
"134481","Rotala_ramosior",-82.262778,27.120278
"136282","Rotala_ramosior",-85.29025,12.229861
"136452","Rotala_ramosior",-86.355833,13.240556
"136479","Rotala_ramosior",-60.708611,-17.672778
"138778","Rotala_ramosior",-109.610278,29.658333
"138902","Rotala_ramosior",-93.356944,17.601944
"139541","Rotala_ramosior",-88.16665,41.25574
"139648","Rotala_ramosior",-119.668889,39.270528
