"","species","lon","lat"
"19936","Rubus_fruticosus",-0.271231,51.548322
"25920","Rubus_fruticosus",1.01631,48.6594
"34845","Rubus_fruticosus",5.913833,52.011
"35962","Rubus_fruticosus",15.42766,47.09667
"58270","Rubus_fruticosus",2.35,42.31
"69636","Rubus_fruticosus",-49.3825,-26.276389
"71115","Rubus_fruticosus",173.867323,-35.959387
"71149","Rubus_fruticosus",175.343916,-41.421666
"71193","Rubus_fruticosus",173.508099,-35.409326
"71318","Rubus_fruticosus",174.611943,-36.966974
"71345","Rubus_fruticosus",175.777217,-40.827481
"71374","Rubus_fruticosus",172.52749,-43.148431
"71449","Rubus_fruticosus",172.695956,-40.727257
"71453","Rubus_fruticosus",173.006968,-41.070379
"83102","Rubus_fruticosus",9.006815,56.540987
"85155","Rubus_fruticosus",4.90051,46.5671
"85160","Rubus_fruticosus",2.75126,48.5316
"95450","Rubus_fruticosus",-2.333333,51.4
"96164","Rubus_fruticosus",-3.13859,51.579
"135086","Rubus_fruticosus",2.56466,48.3163
"138176","Rubus_fruticosus",6.6535,58.238
"138270","Rubus_fruticosus",7.7900909,58.5936781
"138301","Rubus_fruticosus",6.8805766,58.2396553
"138302","Rubus_fruticosus",6.8672764,58.2339549
"138334","Rubus_fruticosus",6.9594,58.3443
"138507","Rubus_fruticosus",8.1539128,58.307871
"159894","Rubus_fruticosus",11.06177,49.033978
"159935","Rubus_fruticosus",14.763346,51.515701
"159968","Rubus_fruticosus",12.579844,51.620152
"159975","Rubus_fruticosus",14.899451,51.176575
"159983","Rubus_fruticosus",14.412778,51.171112
"159985","Rubus_fruticosus",11.069171,52.188126
"160003","Rubus_fruticosus",11.061771,49.033976
"160010","Rubus_fruticosus",12.580755,51.625584
"160022","Rubus_fruticosus",14.618095,51.168861
"160032","Rubus_fruticosus",6.984775,49.401276
"160045","Rubus_fruticosus",14.820291,51.298225
"160059","Rubus_fruticosus",11.796827,51.145691
"160107","Rubus_fruticosus",9.172705,51.059036
"160113","Rubus_fruticosus",8.641111,50.09111
"160120","Rubus_fruticosus",14.728639,51.26545
