"","species","lon","lat"
"1346","Rumex_thyrsiflorus",26.969637,60.478342
"7556","Rumex_thyrsiflorus",25.485909,65.037881
"10567","Rumex_thyrsiflorus",25.055641,60.2487
"12116","Rumex_thyrsiflorus",26.692966,60.890832
"16286","Rumex_thyrsiflorus",25.218562,60.24201
"20963","Rumex_thyrsiflorus",5.714045,51.889567
"22912","Rumex_thyrsiflorus",21.405,40.81694
"22913","Rumex_thyrsiflorus",21.37722,40.52111
"22935","Rumex_thyrsiflorus",21.32,40.8575
"22936","Rumex_thyrsiflorus",21.39417,40.83917
"22937","Rumex_thyrsiflorus",21.38583,40.71861
"23306","Rumex_thyrsiflorus",25.42944,41.0725
"23307","Rumex_thyrsiflorus",25.27028,41.07139
"23308","Rumex_thyrsiflorus",25.40944,41.07167
"24213","Rumex_thyrsiflorus",12.23333,51.7875
"24214","Rumex_thyrsiflorus",12.26083,51.88667
"24215","Rumex_thyrsiflorus",12.3475,51.96222
"24216","Rumex_thyrsiflorus",12.27778,51.90333
"25073","Rumex_thyrsiflorus",21.54,40.22389
"25074","Rumex_thyrsiflorus",21.61528,40.17028
"25075","Rumex_thyrsiflorus",21.79917,40.60194
"25076","Rumex_thyrsiflorus",21.59306,40.24528
"25077","Rumex_thyrsiflorus",21.57,40.23806
"25832","Rumex_thyrsiflorus",21.98611,38.50167
"28813","Rumex_thyrsiflorus",26.610167,60.938012
"32537","Rumex_thyrsiflorus",25.01901,60.257137
"33483","Rumex_thyrsiflorus",26.610429,60.937735
"34798","Rumex_thyrsiflorus",6.154405,52.15717
"34869","Rumex_thyrsiflorus",5.79469,50.834357
"35972","Rumex_thyrsiflorus",15.39722,47.11139
"36483","Rumex_thyrsiflorus",15.41528,47.10167
"36486","Rumex_thyrsiflorus",15.46083,47.02583
"36542","Rumex_thyrsiflorus",15.98667,46.81
"36639","Rumex_thyrsiflorus",17.45269,46.91797
"37232","Rumex_thyrsiflorus",-70.423867,47.37515
"37571","Rumex_thyrsiflorus",6.0185,52.519
"38971","Rumex_thyrsiflorus",5.96833,49.16528
"50610","Rumex_thyrsiflorus",19.52,50.03
"55091","Rumex_thyrsiflorus",10.21,50.07
"55393","Rumex_thyrsiflorus",9.6,49.84
"55475","Rumex_thyrsiflorus",24.189,60.18
"55549","Rumex_thyrsiflorus",8.50961,47.436695
"60620","Rumex_thyrsiflorus",10.02,49.71
"60695","Rumex_thyrsiflorus",9.56,49.84
"60817","Rumex_thyrsiflorus",9.62,49.87
"65686","Rumex_thyrsiflorus",30.887589,48.352441
"65731","Rumex_thyrsiflorus",30.887125,48.352814
"69283","Rumex_thyrsiflorus",10.12,50.07
"74885","Rumex_thyrsiflorus",89.258,55.9501
"74886","Rumex_thyrsiflorus",86.190903,55.365717
"74887","Rumex_thyrsiflorus",87.819435,55.755212
"74923","Rumex_thyrsiflorus",87.735944,56.130322
"74924","Rumex_thyrsiflorus",87.76073,56.291575
"74925","Rumex_thyrsiflorus",86.136908,55.402999
"78188","Rumex_thyrsiflorus",40.989998,54.70766
"78333","Rumex_thyrsiflorus",33.116572,66.547668
"78393","Rumex_thyrsiflorus",91.04124,69.04996
"78499","Rumex_thyrsiflorus",33.039839,66.550437
"78802","Rumex_thyrsiflorus",31.922314,55.492678
"80249","Rumex_thyrsiflorus",14.338889,48.263332
"80370","Rumex_thyrsiflorus",14.910277,48.233334
