"","species","lon","lat"
"20885","Rumex_vesicarius",-7.166667,31.016667
"50681","Rumex_vesicarius",137.54148,-29.61569
"50703","Rumex_vesicarius",138.08587,-29.97703
"51471","Rumex_vesicarius",35.02,29.84
"51639","Rumex_vesicarius",34.93,30.48
"51703","Rumex_vesicarius",129.975833,-25.9625
"51710","Rumex_vesicarius",130.787349,-25.783087
"51741","Rumex_vesicarius",128.303333,-25.042778
"51790","Rumex_vesicarius",132.4033,-26.0708
"51897","Rumex_vesicarius",134.17,-24.8711
"51925","Rumex_vesicarius",133.3875,-27.3175
"51928","Rumex_vesicarius",132.4953,-22.0494
"51994","Rumex_vesicarius",129.9161,-25.4633
"52026","Rumex_vesicarius",134.573912,-23.899138
"52081","Rumex_vesicarius",126.58,-26.1389
"52238","Rumex_vesicarius",130.24,-25.623056
"52275","Rumex_vesicarius",135.1789,-20.8708
"52354","Rumex_vesicarius",134.922225,-23.046905
"52377","Rumex_vesicarius",131.916944,-24.120833
"52433","Rumex_vesicarius",136.5336,-23.4411
"52796","Rumex_vesicarius",134.3844,-22.84
"52841","Rumex_vesicarius",128.699444,-25.972778
"52885","Rumex_vesicarius",129.702778,-25.995833
"52893","Rumex_vesicarius",133.8689,-23.5617
"52906","Rumex_vesicarius",133.7375,-21.637222
"52984","Rumex_vesicarius",133.053333,-24.168333
"53068","Rumex_vesicarius",130.4383,-25.5892
"53106","Rumex_vesicarius",132.356389,-24.321389
"53147","Rumex_vesicarius",132.5272,-25.3572
"53175","Rumex_vesicarius",133.211111,-25.274722
"53184","Rumex_vesicarius",131.727222,-23.845556
"53220","Rumex_vesicarius",130.0347,-25.5242
"56177","Rumex_vesicarius",130.35965,-26.20427
"56201","Rumex_vesicarius",137.13529,-32.75478
"57253","Rumex_vesicarius",8.3392,34.3342
"57707","Rumex_vesicarius",10.1628,33.4453
"66157","Rumex_vesicarius",150.501133,-30.88176
"73482","Rumex_vesicarius",142.333333,-31.316667
"73575","Rumex_vesicarius",134.416667,-22.833333
"73694","Rumex_vesicarius",142.283333,-32.483333
"73754","Rumex_vesicarius",150.5,-30.883333
"84427","Rumex_vesicarius",121.5839,-32.5758
"85436","Rumex_vesicarius",133.211111,-25.274722
"85709","Rumex_vesicarius",-0.27,39.7
"86241","Rumex_vesicarius",8.33,34.33
"87388","Rumex_vesicarius",8.28,34.03
"88424","Rumex_vesicarius",10.16,33.44
"88440","Rumex_vesicarius",-0.26,39.7
"95021","Rumex_vesicarius",44,13.1
"134645","Rumex_vesicarius",138.08269,-32.06204
"139851","Rumex_vesicarius",53.716667,16.866667
"148195","Rumex_vesicarius",113.704722,-25.796667
