"","species","lon","lat"
"12414","Sagittaria_lancifolia",-79.084413,33.516274
"12865","Sagittaria_lancifolia",-80.616457,33.195783
"13393","Sagittaria_lancifolia",-92.60761,18.26794
"13445","Sagittaria_lancifolia",-92.31422,18.20843
"13739","Sagittaria_lancifolia",-92.64514,18.34286
"13803","Sagittaria_lancifolia",-92.673,18.31
"13805","Sagittaria_lancifolia",-94.07935,18.06282
"19756","Sagittaria_lancifolia",-92.95527,18.35277
"20357","Sagittaria_lancifolia",-88.6986,17.58
"21016","Sagittaria_lancifolia",-92.68111,18.37306
"27392","Sagittaria_lancifolia",-92.61027,18.39
"27590","Sagittaria_lancifolia",-83.679444,12.336667
"27600","Sagittaria_lancifolia",-93.00055,18.41638
"27746","Sagittaria_lancifolia",-92.83666,18.22388
"27781","Sagittaria_lancifolia",-79.69416,9.13111
"35420","Sagittaria_lancifolia",-38.976667,-13.365833
"35511","Sagittaria_lancifolia",-94.11555,18.16777
"39129","Sagittaria_lancifolia",-83.286111,8.405556
"39142","Sagittaria_lancifolia",-104.91666,21.23333
"39269","Sagittaria_lancifolia",-92.64666,18.40611
"39690","Sagittaria_lancifolia",-92.59027,18.34388
"39986","Sagittaria_lancifolia",-88.5167928,18.4656943
"40007","Sagittaria_lancifolia",-89.041667,16.191667
"40032","Sagittaria_lancifolia",-88.8770801,17.9415485
"50129","Sagittaria_lancifolia",-53.830833,5.648333
"50136","Sagittaria_lancifolia",-83.286111,8.405556
"50450","Sagittaria_lancifolia",-40.006667,-19.003889
"54679","Sagittaria_lancifolia",-80.754444,32.6675
"54680","Sagittaria_lancifolia",-80.574167,32.476667
"61323","Sagittaria_lancifolia",-85.360215,10.323066
"61402","Sagittaria_lancifolia",-84.930556,10.588889
"62025","Sagittaria_lancifolia",-66.779367,18.39135
"62070","Sagittaria_lancifolia",-88.291667,16.866667
"64006","Sagittaria_lancifolia",-86.756389,31.447778
"65559","Sagittaria_lancifolia",-45.693333,-14.695833
"67345","Sagittaria_lancifolia",-35.368056,-5.355833
"72013","Sagittaria_lancifolia",-51.021389,-30.071111
"74290","Sagittaria_lancifolia",-51.021389,-30.071111
"95659","Sagittaria_lancifolia",-97.418294,21.336944
"95801","Sagittaria_lancifolia",-84.71,29.869722
"133890","Sagittaria_lancifolia",-80.528,27.792056
"133960","Sagittaria_lancifolia",-82.01548,29.67763
"133991","Sagittaria_lancifolia",-82.343833,29.703
"134060","Sagittaria_lancifolia",-81.50125,27.80819
"134264","Sagittaria_lancifolia",-82.41042,29.61194
"134288","Sagittaria_lancifolia",-82.253567,28.9441
"134361","Sagittaria_lancifolia",-81.889167,29.219167
"134369","Sagittaria_lancifolia",-92.910367,30.005233
"134474","Sagittaria_lancifolia",-83.728667,30.118167
"136194","Sagittaria_lancifolia",-83.679444,12.336667
"137770","Sagittaria_lancifolia",-37.206389,-11.014722
"137837","Sagittaria_lancifolia",-37.438056,-11.268611
"138079","Sagittaria_lancifolia",-36.94,-10.593333
"138807","Sagittaria_lancifolia",-93.829167,17.391667
"138815","Sagittaria_lancifolia",-92.343889,18.590278
"138820","Sagittaria_lancifolia",-92.936457,18.166374
"138869","Sagittaria_lancifolia",-92.299756,17.987453
"138908","Sagittaria_lancifolia",-93,18.375556
"138917","Sagittaria_lancifolia",-92.371944,18.612222
"139902","Sagittaria_lancifolia",-88.698611,17.585278
"140104","Sagittaria_lancifolia",-75.7952,35.919
"141857","Sagittaria_lancifolia",-91.050556,18.105278
"141918","Sagittaria_lancifolia",-90.283333,18.648611
"141956","Sagittaria_lancifolia",-91.828611,17.772778
"141983","Sagittaria_lancifolia",-91.841667,17.768056
"142017","Sagittaria_lancifolia",-90.859722,17.906944
"143356","Sagittaria_lancifolia",-83.666667,10.866667
"143528","Sagittaria_lancifolia",-84.908333,10.581389
"143548","Sagittaria_lancifolia",-85.05,11.033333
"157478","Sagittaria_lancifolia",-82.015,29.678
"158780","Sagittaria_lancifolia",-97.890778,22.253556
"159072","Sagittaria_lancifolia",-92.6749527,18.3256911
"159076","Sagittaria_lancifolia",-92.843056,18.387222
"159078","Sagittaria_lancifolia",-92.6221456,18.3775498
"159091","Sagittaria_lancifolia",-92.6468963,18.4065204
"159096","Sagittaria_lancifolia",-92.6749533,18.5090154
"159105","Sagittaria_lancifolia",-92.4416133,18.0090398
"159106","Sagittaria_lancifolia",-92.6438365,18.4948502
"159108","Sagittaria_lancifolia",-92.841667,18.108333
"159111","Sagittaria_lancifolia",-92.8375,18.258333
"159120","Sagittaria_lancifolia",-92.424946,18.0257061
"159845","Sagittaria_lancifolia",-42.896,-22.965333
"159846","Sagittaria_lancifolia",-41.247861,-22.036833
"161194","Sagittaria_lancifolia",-85.05,11.033333
"161204","Sagittaria_lancifolia",-92.6,18.4
"161292","Sagittaria_lancifolia",-83.75,12.25
"161667","Sagittaria_lancifolia",-94.06222,17.98638
"161668","Sagittaria_lancifolia",-92.61583,18.35444
"161896","Sagittaria_lancifolia",-85.360215,10.323066
"161952","Sagittaria_lancifolia",-53.830833,5.648333
"162240","Sagittaria_lancifolia",-49.1,-14.366667
"163071","Sagittaria_lancifolia",-93.94972,17.77055
"163307","Sagittaria_lancifolia",-83.75,10.966667
"163308","Sagittaria_lancifolia",-100.870278,19.827222
"163472","Sagittaria_lancifolia",-92.97805,18.33972
"164944","Sagittaria_lancifolia",-39.216667,-17.483333
"165782","Sagittaria_lancifolia",-92.59883,18.31925
"165815","Sagittaria_lancifolia",-101.72917,19.45278
"165844","Sagittaria_lancifolia",-92.5761,18.42583
"165857","Sagittaria_lancifolia",-92.57687,18.44745
"165868","Sagittaria_lancifolia",-94.11556,18.16778
"168449","Sagittaria_lancifolia",-87.18333,21.2
"168626","Sagittaria_lancifolia",-87.194,21.2085
"173605","Sagittaria_lancifolia",-91.130278,16.760555
"176776","Sagittaria_lancifolia",-92.31,18.2
"177336","Sagittaria_lancifolia",-83.666667,10.866667
"177714","Sagittaria_lancifolia",-81.31698,32.02354
"177721","Sagittaria_lancifolia",-81.645,30.56
"179273","Sagittaria_lancifolia",-81.64333,22.41028
"180365","Sagittaria_lancifolia",-100.05722,16.96944
"180396","Sagittaria_lancifolia",-94.06232,17.9841
"180404","Sagittaria_lancifolia",-92.8368,18.22415
"180451","Sagittaria_lancifolia",-92.56028,18.55028
"180558","Sagittaria_lancifolia",-92.61714,18.27956
"180616","Sagittaria_lancifolia",-92.3946,18.09675
"180722","Sagittaria_lancifolia",-92.84306,18.38722
"180762","Sagittaria_lancifolia",-91.2839,18.24639
"183076","Sagittaria_lancifolia",-91.16992,30.36981
"183093","Sagittaria_lancifolia",-86.9256,30.374
"183120","Sagittaria_lancifolia",-87.1218,30.3658
"183219","Sagittaria_lancifolia",-90.1681,29.7986
"183224","Sagittaria_lancifolia",-90.1709,29.8496
"183256","Sagittaria_lancifolia",-90.1298,29.8385
"183304","Sagittaria_lancifolia",-93.456,29.866
"183321","Sagittaria_lancifolia",-93.606358,30.119965
"183338","Sagittaria_lancifolia",-90.159,30.383
"183375","Sagittaria_lancifolia",-90.159917,29.836861
"183380","Sagittaria_lancifolia",-92.8945,29.9824
"183436","Sagittaria_lancifolia",-87.2816,30.321
"183443","Sagittaria_lancifolia",-92.560278,29.887222
"183862","Sagittaria_lancifolia",-37.6,-11.8
"184440","Sagittaria_lancifolia",-91.133333,16.75
"203358","Sagittaria_lancifolia",-90.1162,29.7832
"203420","Sagittaria_lancifolia",-90.15,29.7446
"203630","Sagittaria_lancifolia",-92.95528,18.35282
"203682","Sagittaria_lancifolia",-88.9,18.7
"203696","Sagittaria_lancifolia",-105.233,21.517
"203716","Sagittaria_lancifolia",-92.62947,18.34094
"203773","Sagittaria_lancifolia",-92.64032,18.49127
"203777","Sagittaria_lancifolia",-92.415,18.017
"203895","Sagittaria_lancifolia",-92.6625,18.33944
"203959","Sagittaria_lancifolia",-92.57833,18.34472
"204063","Sagittaria_lancifolia",-80.144,26.335
"204073","Sagittaria_lancifolia",-92.5686,18.37098
"204102","Sagittaria_lancifolia",-93.94974,17.77063
"204106","Sagittaria_lancifolia",-92.68131,18.37319
"213151","Sagittaria_lancifolia",-89.486839,30.286917
"214257","Sagittaria_lancifolia",-91.690278,18.333056
"214261","Sagittaria_lancifolia",-91.468333,18.441944
"214278","Sagittaria_lancifolia",-91.82975,18.435028
"214279","Sagittaria_lancifolia",-91.8,18.404167
"214285","Sagittaria_lancifolia",-91.863056,18.361389
"214305","Sagittaria_lancifolia",-91.683056,18.33375
"214328","Sagittaria_lancifolia",-91.744444,18.389167
"214332","Sagittaria_lancifolia",-91.823056,18.305633
"214334","Sagittaria_lancifolia",-91.854917,18.348139
"214360","Sagittaria_lancifolia",-91.583056,18.431944
"214368","Sagittaria_lancifolia",-91.7985,18.474444
"214376","Sagittaria_lancifolia",-91.860611,18.3355
"214394","Sagittaria_lancifolia",-91.758611,18.410278
"214454","Sagittaria_lancifolia",-91.756111,18.371667
"214473","Sagittaria_lancifolia",-91.464722,18.458056
"214567","Sagittaria_lancifolia",-85.075,10.92
"216423","Sagittaria_lancifolia",-75.87987,38.39997
"247291","Sagittaria_lancifolia",-92.57833,18.34472
"247459","Sagittaria_lancifolia",-92.39444,18.08416
"250396","Sagittaria_lancifolia",-80.3577,27.1236
"252526","Sagittaria_lancifolia",-39.843055,-19.571389
"252531","Sagittaria_lancifolia",-39.828056,-19.585833
"252552","Sagittaria_lancifolia",-39.71,-19.181389
"252633","Sagittaria_lancifolia",-39.710278,-19.181111
"254898","Sagittaria_lancifolia",-92.41055,18.08583
"254920","Sagittaria_lancifolia",-94.09,18.08
"255125","Sagittaria_lancifolia",-84.93275,30.139444
"255217","Sagittaria_lancifolia",-84.908333,10.581389
"257020","Sagittaria_lancifolia",-84.788847,10.893812
"282352","Sagittaria_lancifolia",-91.083333,16.733333
"284126","Sagittaria_lancifolia",-88.49472,17.40194
"286441","Sagittaria_lancifolia",-50.258333,-29.017778
"288305","Sagittaria_lancifolia",-92.525,18.11611
"288310","Sagittaria_lancifolia",-100.87017,19.82719
"288365","Sagittaria_lancifolia",-91.133,16.75
"288372","Sagittaria_lancifolia",-92.65689,18.25242
"288379","Sagittaria_lancifolia",-94.06222,17.98639
"288429","Sagittaria_lancifolia",-91.6,16.983
"288434","Sagittaria_lancifolia",-92.64313,18.42083
"288980","Sagittaria_lancifolia",-96.501476,32.611966
"289588","Sagittaria_lancifolia",-36.94,-10.593333
"289610","Sagittaria_lancifolia",-37.438056,-11.268611
"289612","Sagittaria_lancifolia",-37.206389,-11.014722
"293226","Sagittaria_lancifolia",-94.23289,29.6981
"295467","Sagittaria_lancifolia",-82.6651,28.0342
"295640","Sagittaria_lancifolia",-82.1167,28.9667
"295724","Sagittaria_lancifolia",-81.35,27.3667
"295730","Sagittaria_lancifolia",-82.3278,27.1175
"295755","Sagittaria_lancifolia",-82.1333,27.75
"295762","Sagittaria_lancifolia",-81.4833,26.1333
"295766","Sagittaria_lancifolia",-81.4892,25.8684
"295786","Sagittaria_lancifolia",-81.4128,28.6183
"295793","Sagittaria_lancifolia",-81.5372,27.6983
"303129","Sagittaria_lancifolia",-122.761588,38.348058
"303261","Sagittaria_lancifolia",-122.252648,40.588149
"303997","Sagittaria_lancifolia",-52.63333,5.1
"304046","Sagittaria_lancifolia",-92.33,18.1
"304050","Sagittaria_lancifolia",-92.84833,18.2475
"304080","Sagittaria_lancifolia",-84.908333,10.581667
"304142","Sagittaria_lancifolia",-81.25,25.43333
"305865","Sagittaria_lancifolia",-84.78885,10.893812
"312745","Sagittaria_lancifolia",-73.84657,18.30769
"328711","Sagittaria_lancifolia",-84.908333,10.581667
"328756","Sagittaria_lancifolia",-85.36022,10.323066
"330015","Sagittaria_lancifolia",-91.833333,17.752778
"330084","Sagittaria_lancifolia",-82.366667,29.7225
"330109","Sagittaria_lancifolia",-82.721944,29.374167
"330157","Sagittaria_lancifolia",-91.118056,16.755556
"330203","Sagittaria_lancifolia",-90.272222,18.630556
"330278","Sagittaria_lancifolia",-91.009444,18.133333
"330310","Sagittaria_lancifolia",-90.859722,17.906944
"330354","Sagittaria_lancifolia",-91.050556,18.105278
"331024","Sagittaria_lancifolia",-94.09508,18.08398
"331041","Sagittaria_lancifolia",-90.275,18.65111
"331069","Sagittaria_lancifolia",-92.5705,18.37425
"331087","Sagittaria_lancifolia",-92.59028,18.34389
"331154","Sagittaria_lancifolia",-93.00056,18.41639
"331190","Sagittaria_lancifolia",-92.61583,18.35445
"331400","Sagittaria_lancifolia",-92.6137,18.37273
