"","species","lon","lat"
"20943","Salicornia_europaea",6.236468,53.387856
"26006","Salicornia_europaea",-3.4312462,42.6888691
"26573","Salicornia_europaea",-9.1013561,42.8288086
"27007","Salicornia_europaea",-4.6,37.7
"42144","Salicornia_europaea",51.55779,25.68752
"42673","Salicornia_europaea",-4.6,37.69
"51376","Salicornia_europaea",34.93,32.7
"51464","Salicornia_europaea",34.94,32.7
"51513","Salicornia_europaea",35.08,32.9
"55505","Salicornia_europaea",-0.301,50.824
"56886","Salicornia_europaea",-2.4541,41.026
"56903","Salicornia_europaea",-1.5938,40.0819
"56985","Salicornia_europaea",-9.1237,42.8105
"57218","Salicornia_europaea",-1.631,39.9832
"58200","Salicornia_europaea",0.46,40.49
"58574","Salicornia_europaea",-4.6,37.69
"58619","Salicornia_europaea",-2.7,39.88
"58826","Salicornia_europaea",2.03,41.29
"62496","Salicornia_europaea",11.47273,58.31709
"74926","Salicornia_europaea",85.152133,54.826567
"74927","Salicornia_europaea",85.479426,54.748225
"74931","Salicornia_europaea",85.603,54.6675
"74932","Salicornia_europaea",85.3788,54.6035
"74933","Salicornia_europaea",84.990533,54.800935
"78191","Salicornia_europaea",33,66.5
"78279","Salicornia_europaea",46.822363,48.193235
"78635","Salicornia_europaea",49.961667,40.493056
"78805","Salicornia_europaea",33.172424,66.539961
"78937","Salicornia_europaea",-112.109167,41.506944
"82075","Salicornia_europaea",8.278677,55.487632
"82076","Salicornia_europaea",8.473709,55.102226
"82077","Salicornia_europaea",8.660631,55.237683
"82078","Salicornia_europaea",9.917227,55.854742
"82079","Salicornia_europaea",11.088235,55.346121
"82080","Salicornia_europaea",12.001646,55.875614
"82081","Salicornia_europaea",12.581126,55.555808
"82082","Salicornia_europaea",8.405811,55.452372
"82083","Salicornia_europaea",8.692775,55.147907
"82084","Salicornia_europaea",9.761745,55.253752
"82085","Salicornia_europaea",11.970876,55.966116
"82257","Salicornia_europaea",8.504162,55.174244
"82258","Salicornia_europaea",8.533465,56.683857
"82259","Salicornia_europaea",8.67643,55.228739
"82260","Salicornia_europaea",9.319652,56.998752
"82261","Salicornia_europaea",10.664851,56.152433
"82262","Salicornia_europaea",12.031512,55.903307
"82263","Salicornia_europaea",12.672975,55.611516
"82412","Salicornia_europaea",8.230505,55.523283
"82413","Salicornia_europaea",8.519754,55.183292
"82414","Salicornia_europaea",8.675551,55.336569
"82415","Salicornia_europaea",10.405082,56.533048
"82416","Salicornia_europaea",11.104946,55.36381
"82417","Salicornia_europaea",11.967441,55.921252
"82418","Salicornia_europaea",8.632162,54.914093
"82419","Salicornia_europaea",12.108754,55.725358
"82591","Salicornia_europaea",8.581438,55.291353
"82592","Salicornia_europaea",9.088395,56.657748
"82593","Salicornia_europaea",10.191799,56.472381
"82594","Salicornia_europaea",12.10809,55.734332
"82595","Salicornia_europaea",8.325841,55.505873
"82778","Salicornia_europaea",8.262013,55.532462
"82779","Salicornia_europaea",8.536709,55.075523
"82780","Salicornia_europaea",8.973968,57.00814
"82781","Salicornia_europaea",9.59097,55.40746
"82782","Salicornia_europaea",10.346144,56.246171
"82783","Salicornia_europaea",11.160073,55.506656
"82784","Salicornia_europaea",12.076282,55.733578
"82785","Salicornia_europaea",9.267571,56.621557
"82786","Salicornia_europaea",10.166512,56.706225
"82787","Salicornia_europaea",11.872884,55.941473
"82940","Salicornia_europaea",8.500462,56.710681
"82941","Salicornia_europaea",8.659632,55.354498
"82942","Salicornia_europaea",9.484489,57.01619
"82943","Salicornia_europaea",10.143127,57.01191
