"","species","lon","lat"
"12326","Salix_eleagnos",13.67772,56.21313
"12837","Salix_eleagnos",20.316667,49.516667
"20651","Salix_eleagnos",9.129467,44.558674
"20686","Salix_eleagnos",9.681783,44.159686
"20906","Salix_eleagnos",10.2463,44.0963
"21234","Salix_eleagnos",23.00417,38.495
"22267","Salix_eleagnos",24.47139,41.35083
"22268","Salix_eleagnos",24.46389,41.42639
"23040","Salix_eleagnos",12.30611,51.88639
"23088","Salix_eleagnos",12.25194,51.81778
"23243","Salix_eleagnos",23.10167,38.3825
"23447","Salix_eleagnos",22.155,37.62778
"23448","Salix_eleagnos",22.06139,37.62722
"23449","Salix_eleagnos",22.07611,38.02639
"23452","Salix_eleagnos",22.2275,38.14611
"23453","Salix_eleagnos",22.18806,38.12444
"23455","Salix_eleagnos",22.80778,38.53167
"23456","Salix_eleagnos",23.03917,38.61694
"24447","Salix_eleagnos",20.8575,40.05194
"24448","Salix_eleagnos",21.02611,40.04083
"24449","Salix_eleagnos",21.3175,39.98944
"24450","Salix_eleagnos",21.26778,40.02472
"24451","Salix_eleagnos",21.31528,40.07833
"24452","Salix_eleagnos",21.2675,40.57139
"24453","Salix_eleagnos",20.96611,39.68278
"24454","Salix_eleagnos",20.76972,40.05694
"24455","Salix_eleagnos",20.79361,40.06194
"24456","Salix_eleagnos",20.83444,40.05972
"24457","Salix_eleagnos",20.61306,40.08028
"24458","Salix_eleagnos",20.79417,40.13944
"24459","Salix_eleagnos",20.80278,40.17167
"24460","Salix_eleagnos",20.79972,40.2275
"25247","Salix_eleagnos",21.25167,39.35083
"25507","Salix_eleagnos",21.08944,39.77222
"25508","Salix_eleagnos",21.31278,40.07944
"25509","Salix_eleagnos",21.51444,40.44333
"25515","Salix_eleagnos",21.59361,40.06556
"25757","Salix_eleagnos",21.33472,38.71667
"25758","Salix_eleagnos",21.84667,38.68667
"25759","Salix_eleagnos",21.505,38.99194
"25760","Salix_eleagnos",21.78833,38.82361
"25977","Salix_eleagnos",12.34356,58.55737
"26045","Salix_eleagnos",-1.5212017,42.3688823
"26142","Salix_eleagnos",-2.2312236,42.7588836
"26156","Salix_eleagnos",-2.9712315,42.4088677
"26252","Salix_eleagnos",-1.9512198,42.8488887
"26280","Salix_eleagnos",-3.0912412,42.7788748
"26314","Salix_eleagnos",-1.8612178,42.8388894
"26342","Salix_eleagnos",-1.3112029,42.6488909
"26364","Salix_eleagnos",-2.9912308,42.3488662
"26559","Salix_eleagnos",-3.2612442,42.7588725
"26700","Salix_eleagnos",-1.7312157,42.8688915
"26721","Salix_eleagnos",-1.9412176,42.7488865
"26883","Salix_eleagnos",-2.0012212,42.8688886
"27068","Salix_eleagnos",-1.5112128,42.9488957
"36015","Salix_eleagnos",21.42972,42.13306
"36016","Salix_eleagnos",14.75639,47.17833
"36112","Salix_eleagnos",13.93278,47.51889
"36130","Salix_eleagnos",13.95722,47.49167
"36159","Salix_eleagnos",14.17,45.31917
"36251","Salix_eleagnos",15.42,47.09271
"36294","Salix_eleagnos",15.38931,47.05056
"36554","Salix_eleagnos",14.34583,47.13639
"36614","Salix_eleagnos",15.54583,47.67972
"39935","Salix_eleagnos",14.13079,56.0629
"42843","Salix_eleagnos",-4.58,43.240002
"42848","Salix_eleagnos",-4.9,43.220001
"55223","Salix_eleagnos",12.96,47.52
"57105","Salix_eleagnos",0.0825,42.6655
"57143","Salix_eleagnos",-2.3118,42.1152
"57446","Salix_eleagnos",-1.9842,40.6445
"57506","Salix_eleagnos",-3.9443,42.8878
"57566","Salix_eleagnos",-5.3335,43.3542
"57588","Salix_eleagnos",-3.8625,43.1676
"57671","Salix_eleagnos",-3.545,42.0349
"57734","Salix_eleagnos",-2.2914,40.6648
"57752","Salix_eleagnos",0.46,40.49
"57932","Salix_eleagnos",2.09,42.24
"57968","Salix_eleagnos",1.95,42.35
"58148","Salix_eleagnos",1.43,42.18
"58196","Salix_eleagnos",1.08,41.35
"58431","Salix_eleagnos",2.98,42.43
"58538","Salix_eleagnos",0.33,40.76
"58557","Salix_eleagnos",2.6,41.72
"58613","Salix_eleagnos",2.6,41.75
"58790","Salix_eleagnos",2.57,41.72
"60558","Salix_eleagnos",10.88,48.66
"60751","Salix_eleagnos",9.87,47.57
"60773","Salix_eleagnos",12.84,48.17
"60804","Salix_eleagnos",10.36,48.51
"62471","Salix_eleagnos",13.48282,55.67596
"66041","Salix_eleagnos",12.98172,55.43631
"68437","Salix_eleagnos",10.67,48.71
"69087","Salix_eleagnos",10.2,50.26
"69150","Salix_eleagnos",10.49,48.07
"69212","Salix_eleagnos",12.54,48.22
"71039","Salix_eleagnos",173.451,-42.5414
"71089","Salix_eleagnos",173.506583,-42.513622
"71208","Salix_eleagnos",175.660449,-40.36348
"71212","Salix_eleagnos",173.625443,-42.414871
"71215","Salix_eleagnos",175.035359,-39.912276
"71368","Salix_eleagnos",172.156308,-43.437639
"71385","Salix_eleagnos",170.402059,-43.286343
"71439","Salix_eleagnos",170.23591,-44.30968
"71468","Salix_eleagnos",173.987443,-41.880188
"73883","Salix_eleagnos",12.61,48.14
"74099","Salix_eleagnos",13.47229,55.66588
"78117","Salix_eleagnos",6.95196,46.29786
"79392","Salix_eleagnos",12.852222,48.1975
"79411","Salix_eleagnos",12.9975,48.234444
"79552","Salix_eleagnos",13.205833,48.294724
"79577","Salix_eleagnos",13.0525,48.24389
"79686","Salix_eleagnos",12.819167,48.15222
"79800","Salix_eleagnos",13.009722,48.245834
"79926","Salix_eleagnos",14.1,47.7
"80008","Salix_eleagnos",13.609167,48.1775
"80347","Salix_eleagnos",13.610556,48.56139
"80358","Salix_eleagnos",12.783889,48.123055
"80380","Salix_eleagnos",12.953611,48.206944
"80496","Salix_eleagnos",12.961111,48.11778
"80613","Salix_eleagnos",12.840278,48.16639
"80666","Salix_eleagnos",13.217778,48.013054
"80797","Salix_eleagnos",13.050278,48.246944
"80799","Salix_eleagnos",12.928333,48.10472
"80819","Salix_eleagnos",13.510278,48.588333
"80920","Salix_eleagnos",12.943334,48.21361
"80970","Salix_eleagnos",13.1725,48.26611
"81042","Salix_eleagnos",12.956944,48.208057
"81451","Salix_eleagnos",13.043612,48.231945
"81894","Salix_eleagnos",2.7525,42.47944
"82788","Salix_eleagnos",9.975062,56.249651
"82948","Salix_eleagnos",8.634616,56.351779
"83113","Salix_eleagnos",9.638282,56.37763
"85710","Salix_eleagnos",24.33,41.64
"85801","Salix_eleagnos",-3.01,41
"85893","Salix_eleagnos",-1.61,39.7
"85955","Salix_eleagnos",22.46,37.98
"85976","Salix_eleagnos",-0.34,40.03
"86045","Salix_eleagnos",-0.26,38.79
"86317","Salix_eleagnos",-0.65,39.34
"86407","Salix_eleagnos",13.71,42.47
"86462","Salix_eleagnos",-0.36,40.04
"86472","Salix_eleagnos",-0.7,40.48
"86601","Salix_eleagnos",-1.33,40.15
"86638","Salix_eleagnos",0.12,40.3
"86733","Salix_eleagnos",-1.89,41.47
"86737","Salix_eleagnos",-0.99,40.81
"86765","Salix_eleagnos",-2.33,42.14
"87016","Salix_eleagnos",-0.34,40.45
"87077","Salix_eleagnos",-0.07,38.77
"87157","Salix_eleagnos",0.34,40.58
"87169","Salix_eleagnos",-1.19,39.78
"87259","Salix_eleagnos",-0.35,40.03
"87292","Salix_eleagnos",-0.96,39.6
"87354","Salix_eleagnos",-0.23,40.53
"87534","Salix_eleagnos",0.1,40.7
"87612","Salix_eleagnos",-2.47,39.88
"87698","Salix_eleagnos",-0.46,40.58
"87703","Salix_eleagnos",0.46,40.49
"87739","Salix_eleagnos",-0.74,39.6
"87810","Salix_eleagnos",-0.59,40.13
"87943","Salix_eleagnos",-2.24,39.97
"87984","Salix_eleagnos",-0.22,38.69
"88032","Salix_eleagnos",-0.48,40.04
"88059","Salix_eleagnos",-0.44,39.49
"88131","Salix_eleagnos",0.23,40.48
"88194","Salix_eleagnos",-0.8,39.34
"88222","Salix_eleagnos",-0.84,39.87
"88257","Salix_eleagnos",-0.9,42.78
