"","species","lon","lat"
"12271","Salvia_verticillata",19.85,50.016667
"12516","Salvia_verticillata",16.75,48.65
"12963","Salvia_verticillata",-71.556111,41.411667
"13037","Salvia_verticillata",-81.4813,33.5505
"21504","Salvia_verticillata",21.93806,40.69333
"22006","Salvia_verticillata",21.01361,40.025
"22007","Salvia_verticillata",20.81111,40.21167
"22008","Salvia_verticillata",21.94556,40.79056
"22009","Salvia_verticillata",21.91278,40.8325
"22010","Salvia_verticillata",21.965,40.85278
"22011","Salvia_verticillata",21.68722,40.78167
"22012","Salvia_verticillata",20.83917,40.18778
"22014","Salvia_verticillata",22.04639,40.59222
"22015","Salvia_verticillata",22.04,40.58278
"22016","Salvia_verticillata",20.90028,40.14333
"22017","Salvia_verticillata",20.81417,40.12556
"22018","Salvia_verticillata",20.72194,40.16083
"23454","Salvia_verticillata",21.435,38.68361
"23457","Salvia_verticillata",21.19694,38.69222
"23458","Salvia_verticillata",21.21444,38.62389
"23460","Salvia_verticillata",21.51972,38.61972
"23461","Salvia_verticillata",21.48444,38.66972
"23462","Salvia_verticillata",21.695,38.45028
"23463","Salvia_verticillata",21.22889,38.59944
"23464","Salvia_verticillata",21.33306,38.80833
"23465","Salvia_verticillata",21.44722,38.66028
"23531","Salvia_verticillata",21.605,38.90972
"23806","Salvia_verticillata",24.02444,41.37139
"25628","Salvia_verticillata",21.98444,37.69028
"25629","Salvia_verticillata",21.87917,37.705
"25630","Salvia_verticillata",22.04306,37.84306
"25631","Salvia_verticillata",22.15306,37.80389
"25632","Salvia_verticillata",22.11583,37.82556
"25633","Salvia_verticillata",22.04639,38.02833
"25634","Salvia_verticillata",22.14611,37.8725
"36357","Salvia_verticillata",22.6425,42.21917
"36375","Salvia_verticillata",14.05917,47.54194
"36426","Salvia_verticillata",16.44472,47.72444
"36609","Salvia_verticillata",15.25059,47.22501
"36619","Salvia_verticillata",15.29982,47.09129
"36699","Salvia_verticillata",15.49167,47.1225
"36704","Salvia_verticillata",14.33285,45.4871
"37595","Salvia_verticillata",6.086849,52.508114
"38959","Salvia_verticillata",6.12861,48.68972
"50551","Salvia_verticillata",13.22,42
"54764","Salvia_verticillata",20.283333,49.416667
"55120","Salvia_verticillata",10.12,48.17
"55158","Salvia_verticillata",10.05,49.97
"55264","Salvia_verticillata",10.21,50.12
"55558","Salvia_verticillata",8.544379,47.41844
"57149","Salvia_verticillata",32.683333,41.266667
"57462","Salvia_verticillata",13.3686,42.4878
"57662","Salvia_verticillata",24.5656,41.6536
"57703","Salvia_verticillata",25.9461,45.4636
"60697","Salvia_verticillata",9.91,49.96
"60699","Salvia_verticillata",11.69,49.99
"60722","Salvia_verticillata",10.07,49.97
"60769","Salvia_verticillata",9.84,49.92
"60820","Salvia_verticillata",10.71,48.77
"60972","Salvia_verticillata",10.87,48.12
"60981","Salvia_verticillata",10.28,50.47
"61005","Salvia_verticillata",12.02,50.09
"65718","Salvia_verticillata",30.797756,48.13891
"65821","Salvia_verticillata",31.022843,48.333953
"65891","Salvia_verticillata",30.879072,48.461917
"65910","Salvia_verticillata",31.292443,48.304538
"66197","Salvia_verticillata",38.145925,53.056244
