"","species","lon","lat"
"45043","Saurida_undosquamis",120.43911,22.46675
"63914","Saurida_undosquamis",43.212738,13.920534
"63915","Saurida_undosquamis",35.788219,36.763733
"63917","Saurida_undosquamis",43.207245,13.909871
"149234","Saurida_undosquamis",58.31511,23.61082
"158182","Saurida_undosquamis",151.383,-33.583
"165106","Saurida_undosquamis",100.275,13.545
"165108","Saurida_undosquamis",51.477,25.246
"165115","Saurida_undosquamis",123.573,-10.163
"173910","Saurida_undosquamis",150.74766,-22.5655
"173917","Saurida_undosquamis",150.74433,-22.57066
"176505","Saurida_undosquamis",108.129611,10.93575
"176512","Saurida_undosquamis",108.112389,10.934306
"176514","Saurida_undosquamis",120.138278,23.453056
"176544","Saurida_undosquamis",106.376972,10.343667
"176566","Saurida_undosquamis",109.201944,12.201472
"179853","Saurida_undosquamis",150.74608,-22.56982
"288784","Saurida_undosquamis",121.88,24.94
"299977","Saurida_undosquamis",40.486733,-12.958062
"328958","Saurida_undosquamis",149.75,-37.57
"360783","Saurida_undosquamis",151.45,-33.54667
"402567","Saurida_undosquamis",114.14167,-22
"412180","Saurida_undosquamis",31.516667,-29.233333
"423312","Saurida_undosquamis",131.101111,31.305556
"423316","Saurida_undosquamis",130.208889,31.418333
"468291","Saurida_undosquamis",109.45,18.266667
"471909","Saurida_undosquamis",150.74716,-22.56866
"471918","Saurida_undosquamis",150.25625,-22.33366
