"","species","lon","lat"
"19945","Saxifraga_rosacea",14.99345,58.04144
"54857","Saxifraga_rosacea",11.53,49.63
"55138","Saxifraga_rosacea",11.56,49.63
"55243","Saxifraga_rosacea",11.54,49.63
"55266","Saxifraga_rosacea",11.55,49.63
"55455","Saxifraga_rosacea",-8.152,52.372
"55652","Saxifraga_rosacea",8.61433,47.231932
"55657","Saxifraga_rosacea",8.542634,47.283826
"60839","Saxifraga_rosacea",11.52,49.61
"134515","Saxifraga_rosacea",6.62792,50.1954
"134516","Saxifraga_rosacea",11.4601,49.7273
"134517","Saxifraga_rosacea",5.81299,46.8791
"134522","Saxifraga_rosacea",7.16583,47.86
"134524","Saxifraga_rosacea",5.06953,49.7969
"140400","Saxifraga_rosacea",11.54,49.62
"148730","Saxifraga_rosacea",15.39032,50.60482
"148732","Saxifraga_rosacea",13.99179,50.51424
"151626","Saxifraga_rosacea",14.70651,58.01234
"166796","Saxifraga_rosacea",11.49,49.52
"169338","Saxifraga_rosacea",11.5,49.51
"181346","Saxifraga_rosacea",12.8502,66.0536
"202679","Saxifraga_rosacea",14.12056,49.95028
"207115","Saxifraga_rosacea",17.8,59.1
"213649","Saxifraga_rosacea",11.51,49.61
"256189","Saxifraga_rosacea",6.198,49.935
"256190","Saxifraga_rosacea",14.1972,49.9179
"256191","Saxifraga_rosacea",-23.446,65.812
"257848","Saxifraga_rosacea",15.08008,56.86252
"297685","Saxifraga_rosacea",13.9514,50.5318
"297686","Saxifraga_rosacea",6.19839,49.9347
"297689","Saxifraga_rosacea",11.5464,49.6906
"310126","Saxifraga_rosacea",5.6771,58.7021
"310626","Saxifraga_rosacea",5.6868,58.9729
"311107","Saxifraga_rosacea",11.2709261,60.5811899
"362388","Saxifraga_rosacea",-19.3974,65.37991
"362389","Saxifraga_rosacea",-19.03662,66.12657
"362390","Saxifraga_rosacea",-20.61188,65.09406
"414473","Saxifraga_rosacea",15.15364,57.76495
"423645","Saxifraga_rosacea",13.88528,46.91861
"424717","Saxifraga_rosacea",15.10506,57.37223
"424727","Saxifraga_rosacea",15.3375,57.48913
"432433","Saxifraga_rosacea",14.531,56.84864
"433945","Saxifraga_rosacea",14.99194,57.80614
"436806","Saxifraga_rosacea",5.056356,49.792588
"438084","Saxifraga_rosacea",-9.002,53.008
"465130","Saxifraga_rosacea",-19.95,63.723
"470508","Saxifraga_rosacea",10.96667,51.73333
"479238","Saxifraga_rosacea",6.22472,49.92778
"480195","Saxifraga_rosacea",10.97833,51.71972
"482335","Saxifraga_rosacea",11.54667,49.69611
"485534","Saxifraga_rosacea",14.99202,57.80618
