"","species","lon","lat"
"26919","Saxifraga_umbrosa",-0.0111777,42.7289063
"55622","Saxifraga_umbrosa",8.52423,47.408331
"55630","Saxifraga_umbrosa",8.561304,47.291561
"57393","Saxifraga_umbrosa",0.1946,42.6143
"57557","Saxifraga_umbrosa",21.5372,40.4033
"58103","Saxifraga_umbrosa",0.7,42.68
"58340","Saxifraga_umbrosa",0.69,42.58
"58620","Saxifraga_umbrosa",0.74,42.66
"58666","Saxifraga_umbrosa",0.91,42.54
"58681","Saxifraga_umbrosa",0.72,42.72
"58756","Saxifraga_umbrosa",1,42.57
"71206","Saxifraga_umbrosa",171.795798,-41.736758
"86614","Saxifraga_umbrosa",0.31,42.56
"88481","Saxifraga_umbrosa",0.72,42.72
"88878","Saxifraga_umbrosa",0.38,42.56
"88951","Saxifraga_umbrosa",1.11,42.73
"131501","Saxifraga_umbrosa",25.023876,60.176406
"138139","Saxifraga_umbrosa",6.6362,58.2453
"138274","Saxifraga_umbrosa",6.7117,58.6694
"138452","Saxifraga_umbrosa",6.7234,58.5847
"151725","Saxifraga_umbrosa",15.40227,57.75699
"152097","Saxifraga_umbrosa",0.27083,42.84639
"156247","Saxifraga_umbrosa",-4.76,43.04
"156760","Saxifraga_umbrosa",19.0581,69.6797
"163980","Saxifraga_umbrosa",0.895581,42.701465
"164398","Saxifraga_umbrosa",0.786069,42.6708
"164402","Saxifraga_umbrosa",1.01381,42.57583
"164420","Saxifraga_umbrosa",0.87,42.57
"173132","Saxifraga_umbrosa",26.43895,55.87555
"181320","Saxifraga_umbrosa",10.676,63.3814
"181347","Saxifraga_umbrosa",10.5097,63.3875
"181411","Saxifraga_umbrosa",10.1352,63.5063
"181572","Saxifraga_umbrosa",7.4437,62.9157
"181610","Saxifraga_umbrosa",10.1636,63.4381
"181784","Saxifraga_umbrosa",11.6073,64.8641
"182322","Saxifraga_umbrosa",12.4623,65.7119
"182644","Saxifraga_umbrosa",24.00014,58.33507
"225820","Saxifraga_umbrosa",25.059359,60.185909
"246709","Saxifraga_umbrosa",1.01,42.57
"300595","Saxifraga_umbrosa",0.722,42.723
"310223","Saxifraga_umbrosa",5.6868,58.9729
"311232","Saxifraga_umbrosa",6.9603,62.8974
"311278","Saxifraga_umbrosa",5.8336191,61.209959
"311743","Saxifraga_umbrosa",11.3266,62.5849
"311838","Saxifraga_umbrosa",6.0752267,61.2153619
"348935","Saxifraga_umbrosa",0.21,42.64
"389197","Saxifraga_umbrosa",0.5,42.65
"403663","Saxifraga_umbrosa",0.71,42.68
"421490","Saxifraga_umbrosa",5.1426,61.9174
"421742","Saxifraga_umbrosa",6.4363709,62.6059217
"422178","Saxifraga_umbrosa",11.7552,62.5861
"422227","Saxifraga_umbrosa",10.4208,59.7466
"422831","Saxifraga_umbrosa",1.80583,42.55389
"429140","Saxifraga_umbrosa",0.72,42.72
"429289","Saxifraga_umbrosa",0.56,42.65
"432336","Saxifraga_umbrosa",1.04765,42.04371
"449374","Saxifraga_umbrosa",-0.32,42.79
"449566","Saxifraga_umbrosa",-0.86,42.95
"449626","Saxifraga_umbrosa",-0.7,42.93
"449836","Saxifraga_umbrosa",-0.01,42.73
"459301","Saxifraga_umbrosa",5.3521,60.4717
"465277","Saxifraga_umbrosa",21.2275,39.7922
"465327","Saxifraga_umbrosa",-8.74214,40.39639
"466391","Saxifraga_umbrosa",2.16,42.37
"466677","Saxifraga_umbrosa",-6.11,43.15
"471107","Saxifraga_umbrosa",0.62083,42.68361
"474893","Saxifraga_umbrosa",8.667525,56.288981
"486283","Saxifraga_umbrosa",19.063804,69.680771
