"","species","lon","lat"
"13155","Schkuhria_pinnata",150.348352,-30.365927
"13168","Schkuhria_pinnata",-99.4258,17.8047
"13341","Schkuhria_pinnata",-100.149,20.00167
"13374","Schkuhria_pinnata",-91.7753,15.46139
"13378","Schkuhria_pinnata",-86.2617,13.38528
"13457","Schkuhria_pinnata",-97.0886,16.79833
"13598","Schkuhria_pinnata",-99.5869,18.6975
"13625","Schkuhria_pinnata",-101.44,19.85833
"13630","Schkuhria_pinnata",-99.6508,18.6625
"13633","Schkuhria_pinnata",-103.246,21.34944
"13634","Schkuhria_pinnata",-103.217,21.33806
"13637","Schkuhria_pinnata",-103.22,21.35667
"13639","Schkuhria_pinnata",-101.301,18.27083
"13652","Schkuhria_pinnata",-107.997,27.41917
"13687","Schkuhria_pinnata",-101.188,18.20339
"13710","Schkuhria_pinnata",-102.821,21.80306
"13795","Schkuhria_pinnata",-97.483,18.2
"19576","Schkuhria_pinnata",34.81972,-2.43638
"19724","Schkuhria_pinnata",-79.966667,-1.9
"19754","Schkuhria_pinnata",-97,17.41666
"19771","Schkuhria_pinnata",-79.016667,-8.116667
"19917","Schkuhria_pinnata",-78.58333,-1.15
"27418","Schkuhria_pinnata",-64.462222,-19.627222
"27422","Schkuhria_pinnata",-77.852767,-7.007833
"27659","Schkuhria_pinnata",-77.92,-6.05
"34476","Schkuhria_pinnata",-64.99,-31.9
"35124","Schkuhria_pinnata",-77.98333,0.43333
"35296","Schkuhria_pinnata",-78.61666,-1.1
"35469","Schkuhria_pinnata",-71.7125,-13.58166
"39303","Schkuhria_pinnata",-91.469167,15.336111
"39368","Schkuhria_pinnata",-64.085555,-18.518056
"39433","Schkuhria_pinnata",-78.7,-2.66666
"39554","Schkuhria_pinnata",-64.411111,-18.215
"39902","Schkuhria_pinnata",-64.253889,-18.694444
"42301","Schkuhria_pinnata",152.1339,-28.3781
"42729","Schkuhria_pinnata",-5.41,40.08
"42819","Schkuhria_pinnata",-5.41,40.09
"44037","Schkuhria_pinnata",151.591584,-26.87902
"49890","Schkuhria_pinnata",-90.3225,15.089167
"49969","Schkuhria_pinnata",-86.261667,13.385278
"52548","Schkuhria_pinnata",152.135769,-28.375062
"53672","Schkuhria_pinnata",-110.7007,31.534533
"57232","Schkuhria_pinnata",-5.4174,40.0832
"57709","Schkuhria_pinnata",-64.5239,-18.0989
"58214","Schkuhria_pinnata",-5.39,40.1
"62055","Schkuhria_pinnata",-64.523889,-18.098889
"62328","Schkuhria_pinnata",-108.50063,31.900924
"63346","Schkuhria_pinnata",-99.116944,18.753367
"63352","Schkuhria_pinnata",-99.288671,18.456386
"63355","Schkuhria_pinnata",-98.913611,18.541667
"63587","Schkuhria_pinnata",146.06858,-35.284455
"63899","Schkuhria_pinnata",149.489347,-32.337402
"66135","Schkuhria_pinnata",149.778203,-31.228167
"66156","Schkuhria_pinnata",150.139597,-32.079238
"67770","Schkuhria_pinnata",38.25,3.916667
"70780","Schkuhria_pinnata",-67.856666,-34.906666
"70830","Schkuhria_pinnata",-97.239998,18.82
"73414","Schkuhria_pinnata",150.116667,-31.183333
"73453","Schkuhria_pinnata",149.756389,-31.206389
"73500","Schkuhria_pinnata",150.929735,-30.931049
"73560","Schkuhria_pinnata",152.033333,-30.8425
"73733","Schkuhria_pinnata",151.65,-30.716667
"73771","Schkuhria_pinnata",149.780278,-31.205
"73829","Schkuhria_pinnata",151.116667,-29.816667
"77127","Schkuhria_pinnata",-98.999188,19.325279
"77141","Schkuhria_pinnata",-110.89162,31.56307
"77371","Schkuhria_pinnata",-110.54596,31.3329
"77437","Schkuhria_pinnata",-110.34,31.47
"77490","Schkuhria_pinnata",-110.15,32.8842
"78075","Schkuhria_pinnata",-110.264,31.3439
"83832","Schkuhria_pinnata",-108.9259382,28.371316
"83833","Schkuhria_pinnata",-107.8012066,29.3506368
"83845","Schkuhria_pinnata",-104.916667,24
"83885","Schkuhria_pinnata",-105.330556,23.829167
"83929","Schkuhria_pinnata",-105.333333,23.833333
"83930","Schkuhria_pinnata",-102.5,20
"83969","Schkuhria_pinnata",-104.116667,29.15
"84004","Schkuhria_pinnata",-97,17.416667
"84063","Schkuhria_pinnata",-98.095556,19.445
"85269","Schkuhria_pinnata",150.4814,-23.3894
"85325","Schkuhria_pinnata",152.5631,-28.2322
"85336","Schkuhria_pinnata",151.324167,-25.5825
"85409","Schkuhria_pinnata",147.678333,-25.360278
"86856","Schkuhria_pinnata",-5.41,40.09
"89861","Schkuhria_pinnata",-110.74325,31.74622
"92064","Schkuhria_pinnata",-110.81528,31.49592
"93772","Schkuhria_pinnata",36.8952,0.29375
"93928","Schkuhria_pinnata",3.139999,50.942222
"94562","Schkuhria_pinnata",-98.491389,17.602778
"95047","Schkuhria_pinnata",36.78,-3.38
"132931","Schkuhria_pinnata",-109.953472,31.473472
"132994","Schkuhria_pinnata",-109.590533,32.00765
"133179","Schkuhria_pinnata",-110.002294,31.854808
"133396","Schkuhria_pinnata",-109.473254,32.025038
"136223","Schkuhria_pinnata",-72.51666,-13.23333
"136451","Schkuhria_pinnata",-79.966667,-1.9
"138733","Schkuhria_pinnata",-110.366667,31.325556
