"","species","lon","lat"
"569","Sedum_album",26.676741,60.946885
"3199","Sedum_album",25.19904,60.268679
"4372","Sedum_album",24.878675,60.192118
"5093","Sedum_album",24.858912,60.218736
"5280","Sedum_album",26.896816,60.505231
"6052","Sedum_album",28.469779,61.475551
"7683","Sedum_album",26.589733,61.682964
"9063","Sedum_album",24.853752,60.318269
"10219","Sedum_album",24.843829,60.173598
"10611","Sedum_album",25.584114,60.973489
"11223","Sedum_album",25.023876,60.176406
"14894","Sedum_album",28.198149,61.036531
"20575","Sedum_album",7.681693,43.995344
"20576","Sedum_album",7.581197,43.900945
"20603","Sedum_album",9.73815,44.099732
"20740","Sedum_album",9.79901,44.066411
"22329","Sedum_album",21.63167,39.72
"22840","Sedum_album",12.35556,51.80833
"23068","Sedum_album",12.215,51.71056
"24800","Sedum_album",12.20361,51.83278
"25936","Sedum_album",13.48376,59.36999
"26035","Sedum_album",-1.7712093,42.4988826
"26082","Sedum_album",-2.2712254,42.8088843
"26239","Sedum_album",-3.0812507,43.258886
"26290","Sedum_album",-2.1812244,42.8488862
"26344","Sedum_album",-1.7912045,42.2288763
"26382","Sedum_album",-2.9612401,42.8488778
"26404","Sedum_album",-2.3912314,42.9888872
"26417","Sedum_album",-2.0612192,42.7088843
"26440","Sedum_album",-2.2112234,42.768884
"26487","Sedum_album",-2.7612313,42.6088745
"26502","Sedum_album",-2.8712381,42.8388786
"26630","Sedum_album",-1.9512182,42.7688868
"26631","Sedum_album",-2.0412196,42.7488854
"26717","Sedum_album",-2.8712383,42.8488788
"26869","Sedum_album",-2.2812256,42.8088842
"26929","Sedum_album",-7.7213239,42.488817
"26932","Sedum_album",-2.3912348,43.1588911
"26949","Sedum_album",-3.0812457,43.0088802
"26990","Sedum_album",-2.301226,42.808884
"27501","Sedum_album",-122.35,47.566667
"28086","Sedum_album",24.842063,60.200506
"28393","Sedum_album",25.813612,62.241115
"31964","Sedum_album",24.707959,61.40804
"32004","Sedum_album",23.148399,60.180051
"33202","Sedum_album",25.022796,60.194346
"33624","Sedum_album",24.791025,60.154771
"35961","Sedum_album",15.42719,47.09828
"36165","Sedum_album",20.81531,39.97761
"36244","Sedum_album",13.94194,47.64917
"36315","Sedum_album",14.30736,47.14033
"36538","Sedum_album",13.96083,47.49972
"36620","Sedum_album",15.39048,47.33499
"36655","Sedum_album",14.03861,47.52
"36693","Sedum_album",21.205,48.77444
"36749","Sedum_album",23.593762,60.097263
"36759","Sedum_album",24.686684,61.277176
"42896","Sedum_album",-4.77,43.07
"42920","Sedum_album",-4.69,43.23
"50504","Sedum_album",45.16,39.75
"53642","Sedum_album",-118.179089,34.157352
"53985","Sedum_album",-123.2,44.7
"55042","Sedum_album",10.21,50.12
"55127","Sedum_album",12.29,48.97
"55145","Sedum_album",11.12,47.57
"55345","Sedum_album",9.87,47.62
"55508","Sedum_album",7.979163,46.142494
"55536","Sedum_album",7.07,46.120833
"55537","Sedum_album",8.024722,46.343055
"55584","Sedum_album",7.965753,46.128821
"55610","Sedum_album",8.353611,46.540277
"56777","Sedum_album",0.4147,42.0071
"56781","Sedum_album",0.748642,42.326656
"56899","Sedum_album",22.1778,38.0178
"56952","Sedum_album",-4.7463,41.7887
"56974","Sedum_album",-8.7733,41.4761
"57135","Sedum_album",-5.9631,41.8178
"57137","Sedum_album",-5.7682,43.4165
"57140","Sedum_album",-7.7855,42.4439
"57167","Sedum_album",-2.3732,40.7734
"57210","Sedum_album",-4.208,41.3183
"57376","Sedum_album",-8.375,31.033333
"57507","Sedum_album",-3.9443,42.8878
"57658","Sedum_album",-4.6744,43.1676
"58002","Sedum_album",2.34,42.31
"58024","Sedum_album",1.83,42.03
"58062","Sedum_album",1.95,42.35
"58165","Sedum_album",1.96,42.36
"58337","Sedum_album",2.42,41.8
"58360","Sedum_album",1.95,42.34
"58430","Sedum_album",0.33,40.76
"58460","Sedum_album",1.89,41.57
"58762","Sedum_album",-5.5,42.65
"60586","Sedum_album",11.61,48.13
"60643","Sedum_album",10.29,47.47
"60791","Sedum_album",11.52,50.01
"60826","Sedum_album",10.04,47.57
"60865","Sedum_album",11.6,50.11
"60893","Sedum_album",11.6,50.09
"60922","Sedum_album",11.69,49.99
"61782","Sedum_album",7.871874,62.559334
"62621","Sedum_album",13.210146,38.025756
"62669","Sedum_album",15.285971,37.852293
"62777","Sedum_album",13.548628,37.979723
"63054","Sedum_album",13.735765,37.470825
"63122","Sedum_album",12.824231,37.581896
"63177","Sedum_album",15.052664,38.137156
"63260","Sedum_album",13.663755,37.930493
"63276","Sedum_album",13.597726,37.615847
"63701","Sedum_album",148.42033,-36.8867
"66158","Sedum_album",148.380397,-35.937063
"67606","Sedum_album",5.923321,51.160695
"67945","Sedum_album",0.4,42.783333
"69078","Sedum_album",11.6,49.89
