"","species","lon","lat"
"10660","Seseli_libanotis",22.022416,60.583101
"12213","Seseli_libanotis",4.278611,51.2525
"12337","Seseli_libanotis",16.42808,58.66008
"16171","Seseli_libanotis",21.585154,60.683001
"20384","Seseli_libanotis",7.920457,44.10788
"22724","Seseli_libanotis",11.11528,51.49639
"23961","Seseli_libanotis",21.57,40.23806
"26034","Seseli_libanotis",-2.331229,42.9288864
"26127","Seseli_libanotis",-2.7812405,43.0488843
"26131","Seseli_libanotis",-2.7312409,43.1188865
"26235","Seseli_libanotis",-3.171241,42.6888719
"26245","Seseli_libanotis",-3.3312444,42.6988704
"26467","Seseli_libanotis",-3.2512426,42.688871
"26488","Seseli_libanotis",-0.8411973,42.8589007
"26718","Seseli_libanotis",-1.2012092,43.0889022
"26741","Seseli_libanotis",-3.0112433,42.9588798
"26985","Seseli_libanotis",-3.0612453,43.0088804
"35969","Seseli_libanotis",15.4275,47.09194
"36069","Seseli_libanotis",15.39386,47.08438
"36152","Seseli_libanotis",15.3981,47.11238
"36413","Seseli_libanotis",15.39334,47.02052
"36537","Seseli_libanotis",13.96083,47.49972
"36716","Seseli_libanotis",15.39614,47.1122
"36855","Seseli_libanotis",22.206345,60.426763
"37368","Seseli_libanotis",-5.472742,43.094565
"42763","Seseli_libanotis",0.08,42.69
"42860","Seseli_libanotis",-4.83,43.150002
"42861","Seseli_libanotis",-4.81,43.150002
"42862","Seseli_libanotis",-4.69,43.16
"42863","Seseli_libanotis",-4.79,43.099998
"42864","Seseli_libanotis",-4.66,43.25
"42881","Seseli_libanotis",-4.69,43.220001
"42885","Seseli_libanotis",-4.75,43.110001
"54853","Seseli_libanotis",10.87,47.82
"57201","Seseli_libanotis",1.5381,42.6081
"57792","Seseli_libanotis",-0.37,42.8
"57853","Seseli_libanotis",1.95,42.35
"58161","Seseli_libanotis",1.11,42.57
"60717","Seseli_libanotis",11.49,49.6
"60856","Seseli_libanotis",10.87,48.07
"60887","Seseli_libanotis",11.96,48.97
"60897","Seseli_libanotis",12.54,47.77
"65658","Seseli_libanotis",30.782285,48.143611
"66209","Seseli_libanotis",38.669877,53.671377
"69116","Seseli_libanotis",10.54,47.82
"70752","Seseli_libanotis",7.27339,47.28827
"72366","Seseli_libanotis",25.264293,50.036684
"72367","Seseli_libanotis",24.998661,49.768971
"72368","Seseli_libanotis",25.029876,49.787867
"75093","Seseli_libanotis",88.091395,54.164474
"75094","Seseli_libanotis",86.893865,54.477196
"75095","Seseli_libanotis",86.136369,55.402996
"75097","Seseli_libanotis",86.182381,54.314619
"75098","Seseli_libanotis",86.294985,54.167284
"75099","Seseli_libanotis",87.049104,54.288566
"75100","Seseli_libanotis",86.111442,54.373101
"75101","Seseli_libanotis",86.128283,55.163727
"75102","Seseli_libanotis",86.316377,54.852868
"75103","Seseli_libanotis",85.614692,55.664109
"75104","Seseli_libanotis",85.573528,54.402426
"75105","Seseli_libanotis",86.893813,54.387119
"75106","Seseli_libanotis",89.119853,55.864302
"75107","Seseli_libanotis",87.819435,55.755212
"78155","Seseli_libanotis",46.916667,42.416667
"78216","Seseli_libanotis",40.364285,55.736848
"78256","Seseli_libanotis",44.148495,58.901154
"78347","Seseli_libanotis",85.936083,51.967767
"78567","Seseli_libanotis",40.361111,55.484722
"78568","Seseli_libanotis",37.488912,55.732829
"78660","Seseli_libanotis",91.376633,55.017133
"78671","Seseli_libanotis",39.976667,44.016667
"78740","Seseli_libanotis",40.618056,55.405556
"78813","Seseli_libanotis",41.645909,43.290685
"79242","Seseli_libanotis",14.239166,47.911945
"82607","Seseli_libanotis",11.17441,55.479438
"83469","Seseli_libanotis",11.189722,55.470177
"85641","Seseli_libanotis",-4.59,42.91
"86464","Seseli_libanotis",-1.2,43.09
"87116","Seseli_libanotis",-2.94,42.25
"87591","Seseli_libanotis",-2.47,42.3
"89032","Seseli_libanotis",-2.32,42.92
"93918","Seseli_libanotis",4.877777,50.326944
"94363","Seseli_libanotis",13.912062,45.599718
"95978","Seseli_libanotis",13.3383,46.7117
"123641","Seseli_libanotis",22.498741,60.422727
"139784","Seseli_libanotis",22.264099,60.43
"139826","Seseli_libanotis",0.283333,42.616667
"139870","Seseli_libanotis",0.433333,42.416667
"140534","Seseli_libanotis",12.52,47.74
"140547","Seseli_libanotis",10.07,50.16
"140584","Seseli_libanotis",9.82,49.98
"140732","Seseli_libanotis",11.82,48.9
"140752","Seseli_libanotis",10.71,48.12
"144360","Seseli_libanotis",13.74,47.14
"144382","Seseli_libanotis",13.46,46.98
"144657","Seseli_libanotis",13.54,47.09
"144666","Seseli_libanotis",13.2,47.02
"144739","Seseli_libanotis",13.5,47.16
"144754","Seseli_libanotis",13.61,47.1
"144839","Seseli_libanotis",13.75,47.12
"144978","Seseli_libanotis",13.6,47.1
"145233","Seseli_libanotis",12.92,47.05
"145450","Seseli_libanotis",13.33,46.87
"145557","Seseli_libanotis",17.08,47.89
"145805","Seseli_libanotis",12.39,47.04
"145962","Seseli_libanotis",14.46,48.08
"146433","Seseli_libanotis",13.49,47.1
"146546","Seseli_libanotis",13.54,47.14
