"","species","lon","lat"
"141","Spergula_morisonii",24.93159,60.210911
"169","Spergula_morisonii",27.573028,60.665594
"211","Spergula_morisonii",22.772324,60.438203
"319","Spergula_morisonii",24.874034,60.263872
"337","Spergula_morisonii",25.191308,60.285945
"355","Spergula_morisonii",25.180981,60.268433
"443","Spergula_morisonii",23.730424,60.312477
"493","Spergula_morisonii",25.055641,60.2487
"664","Spergula_morisonii",24.212461,60.179777
"812","Spergula_morisonii",23.704225,60.392674
"1150","Spergula_morisonii",23.998954,60.34576
"1173","Spergula_morisonii",23.878445,60.468732
"1234","Spergula_morisonii",27.626674,60.602529
"1257","Spergula_morisonii",24.43597,60.31899
"1288","Spergula_morisonii",21.650593,60.730613
"1756","Spergula_morisonii",27.093614,60.66675
"1787","Spergula_morisonii",23.813406,60.018073
"1906","Spergula_morisonii",25.04188,60.176673
"2028","Spergula_morisonii",22.850779,60.108143
"2513","Spergula_morisonii",27.258772,60.656984
"2537","Spergula_morisonii",22.680875,60.030791
"2606","Spergula_morisonii",27.868049,60.75376
"2618","Spergula_morisonii",23.874942,60.315956
"2642","Spergula_morisonii",24.881569,60.147272
"2647","Spergula_morisonii",24.895543,60.210344
"2669","Spergula_morisonii",26.209562,61.813212
"2679","Spergula_morisonii",27.644748,60.593467
"2732","Spergula_morisonii",26.98772,60.74759
"2949","Spergula_morisonii",27.152322,60.657757
"3213","Spergula_morisonii",25.425631,60.44212
"3298","Spergula_morisonii",28.013614,60.716837
"3329","Spergula_morisonii",28.359211,61.090761
"3413","Spergula_morisonii",23.016533,60.077298
"3544","Spergula_morisonii",24.658812,60.294972
"3677","Spergula_morisonii",24.932153,60.201942
"3685","Spergula_morisonii",25.128856,60.231797
"3745","Spergula_morisonii",22.958022,59.967678
"3748","Spergula_morisonii",21.66884,60.731341
"3798","Spergula_morisonii",22.557866,60.808746
"4001","Spergula_morisonii",27.115687,60.639844
"4326","Spergula_morisonii",24.146845,60.519652
"4373","Spergula_morisonii",25.058297,60.203849
"4409","Spergula_morisonii",27.828829,60.655281
"4463","Spergula_morisonii",23.328216,60.185161
"4666","Spergula_morisonii",22.310647,60.863258
"4782","Spergula_morisonii",27.592636,60.737308
"4783","Spergula_morisonii",27.7557,60.655712
"4825","Spergula_morisonii",23.956933,60.407677
"4925","Spergula_morisonii",24.501238,60.150446
"5130","Spergula_morisonii",27.683519,60.700976
"5143","Spergula_morisonii",23.268235,59.971983
"5183","Spergula_morisonii",22.701091,60.013475
"5542","Spergula_morisonii",24.189503,60.03742
"5616","Spergula_morisonii",22.698762,60.031376
"5692","Spergula_morisonii",24.912996,60.219599
"5739","Spergula_morisonii",27.703396,60.772673
"5779","Spergula_morisonii",23.250948,59.913438
"5893","Spergula_morisonii",24.571844,60.19583
"6033","Spergula_morisonii",23.498539,60.279612
"6037","Spergula_morisonii",23.907065,60.550235
"6051","Spergula_morisonii",27.904977,60.762491
"6152","Spergula_morisonii",22.626267,60.712123
"6392","Spergula_morisonii",27.431888,61.052031
"6394","Spergula_morisonii",27.13426,60.711625
"6415","Spergula_morisonii",24.615457,60.34029
"6525","Spergula_morisonii",23.148399,60.180051
"6540","Spergula_morisonii",24.610638,60.344245
"6758","Spergula_morisonii",25.164932,60.232301
"7034","Spergula_morisonii",24.084584,60.401553
"7081","Spergula_morisonii",25.129368,60.222826
