"","species","lon","lat"
"12358","Stenotaphrum_secundatum",-79.1262,33.5874
"12424","Stenotaphrum_secundatum",-79.092778,33.515
"12822","Stenotaphrum_secundatum",-80.680001,32.383995
"13088","Stenotaphrum_secundatum",-80.4349,33.0522
"14065","Stenotaphrum_secundatum",150.857697,-34.621889
"14084","Stenotaphrum_secundatum",150.069507,-36.422348
"14091","Stenotaphrum_secundatum",150.908937,-34.407359
"14103","Stenotaphrum_secundatum",150.402451,-35.44909
"14104","Stenotaphrum_secundatum",150.832035,-34.72782
"20865","Stenotaphrum_secundatum",36.683333,-8.133333
"35231","Stenotaphrum_secundatum",-82.44687,29.65914
"37458","Stenotaphrum_secundatum",9.866667,-2.466667
"37823","Stenotaphrum_secundatum",120.349722,22.868889
"42239","Stenotaphrum_secundatum",148.5186,-37.8006
"42255","Stenotaphrum_secundatum",146.4064,-38.3561
"49864","Stenotaphrum_secundatum",9.344925,0.04882
"50438","Stenotaphrum_secundatum",-39.931389,-19.698611
"50442","Stenotaphrum_secundatum",-39.748611,-18.796667
"50447","Stenotaphrum_secundatum",-39.747222,-18.738056
"50612","Stenotaphrum_secundatum",133.23,33.24
"53017","Stenotaphrum_secundatum",130.983333,-25.25
"53618","Stenotaphrum_secundatum",-117.86278,33.59667
"53685","Stenotaphrum_secundatum",-117.60431,33.40358
"53717","Stenotaphrum_secundatum",-117.65,33.491667
"54131","Stenotaphrum_secundatum",-122.2967,37.8146
"54211","Stenotaphrum_secundatum",-118.341845,34.267
"56384","Stenotaphrum_secundatum",98.5,18.583
"56385","Stenotaphrum_secundatum",-77.033,-12.133
"56389","Stenotaphrum_secundatum",-80,0.583
"56401","Stenotaphrum_secundatum",-17.433,14.666
"56977","Stenotaphrum_secundatum",-9.2342,39.4242
"58746","Stenotaphrum_secundatum",0.46,40.49
"62206","Stenotaphrum_secundatum",-95.267905,29.543192
"62218","Stenotaphrum_secundatum",-85.715323,32.148008
"65141","Stenotaphrum_secundatum",-39.236111,-17.233333
"68489","Stenotaphrum_secundatum",-95.747222,18.772222
"68579","Stenotaphrum_secundatum",-96.133333,19.025
"68594","Stenotaphrum_secundatum",-96.358333,18.459722
"71071","Stenotaphrum_secundatum",174.706,-41.219
"71388","Stenotaphrum_secundatum",174.982409,-39.942041
"71569","Stenotaphrum_secundatum",-97.9343,29.58866
"71655","Stenotaphrum_secundatum",-97.98807,29.41343
"71721","Stenotaphrum_secundatum",-98.148611,29.632222
"71797","Stenotaphrum_secundatum",-97.93494,29.5884
"72710","Stenotaphrum_secundatum",-117.719722,33.871111
"72825","Stenotaphrum_secundatum",-116.97425,34.182111
"73622","Stenotaphrum_secundatum",150.648611,-31.511111
"73747","Stenotaphrum_secundatum",150.310278,-33.709444
"77666","Stenotaphrum_secundatum",-110.491,24.1511
"79119","Stenotaphrum_secundatum",-43.534722,-23.066389
"79899","Stenotaphrum_secundatum",13.029722,48.24861
"85395","Stenotaphrum_secundatum",145.033333,-37.995833
"85437","Stenotaphrum_secundatum",150.3103,-33.7094
"85765","Stenotaphrum_secundatum",-0.27,39.28
"86724","Stenotaphrum_secundatum",-9.29,39.38
"87838","Stenotaphrum_secundatum",-8.2,43.4
"89437","Stenotaphrum_secundatum",-117.89167,33.62833
"89612","Stenotaphrum_secundatum",-117.132,32.9364
"90967","Stenotaphrum_secundatum",-116.96312,32.52221
"91050","Stenotaphrum_secundatum",-117.19167,32.76167
"91820","Stenotaphrum_secundatum",-117.37304,33.22983
"95846","Stenotaphrum_secundatum",-118.34,34.27
"96683","Stenotaphrum_secundatum",-117.891667,33.628333
"134098","Stenotaphrum_secundatum",-81.48361,27.80977
"134100","Stenotaphrum_secundatum",-82.40717,29.61328
"134411","Stenotaphrum_secundatum",-81.97951,29.69598
"134840","Stenotaphrum_secundatum",9.353889,0.347222
"136370","Stenotaphrum_secundatum",-67.266667,10.383333
"138911","Stenotaphrum_secundatum",-92.990556,17.928056
"139996","Stenotaphrum_secundatum",-100.058333,25.625
"140006","Stenotaphrum_secundatum",-99.191667,23.058333
"148193","Stenotaphrum_secundatum",115.8,-32.966667
"148225","Stenotaphrum_secundatum",117.945,-34.998333
"148335","Stenotaphrum_secundatum",115.314533,-33.661217
"148382","Stenotaphrum_secundatum",115.766667,-31.966667
"148497","Stenotaphrum_secundatum",115.760833,-32.589722
"148505","Stenotaphrum_secundatum",115.697575,-33.315815
"148574","Stenotaphrum_secundatum",-48.3906,-25.5502
"148620","Stenotaphrum_secundatum",-48.537036,-25.834599
"151100","Stenotaphrum_secundatum",-106.062,23.2986
"152072","Stenotaphrum_secundatum",166.94806,-15.16694
"152374","Stenotaphrum_secundatum",146.79963,-41.066667
"157631","Stenotaphrum_secundatum",150.3103,-33.7094
"157642","Stenotaphrum_secundatum",148.5186,-37.8006
"157902","Stenotaphrum_secundatum",150.8044,-33.7331
"161711","Stenotaphrum_secundatum",-82.825,9.738889
"163269","Stenotaphrum_secundatum",9.344925,0.04882
"164460","Stenotaphrum_secundatum",2.039,41.273
"164560","Stenotaphrum_secundatum",1.75,41.23
"164908","Stenotaphrum_secundatum",-45.9595,-23.654806
"165351","Stenotaphrum_secundatum",115.233333,-33.65
"166262","Stenotaphrum_secundatum",-43.416389,-23.015833
"166263","Stenotaphrum_secundatum",-44.298611,-23.176389
"166314","Stenotaphrum_secundatum",-43.622222,-23.049167
"166359","Stenotaphrum_secundatum",-48.633056,-26.8475
"168138","Stenotaphrum_secundatum",-117.19167,32.76167
"168363","Stenotaphrum_secundatum",-117.88556,33.625
"169706","Stenotaphrum_secundatum",-120.86575,35.39665
"169909","Stenotaphrum_secundatum",-120.688113,35.262479
"171289","Stenotaphrum_secundatum",-39.883611,-19.672778
"171969","Stenotaphrum_secundatum",2.4666,6.7
"171970","Stenotaphrum_secundatum",2.4333,6.35
"173532","Stenotaphrum_secundatum",-46.116667,-23.75
"177638","Stenotaphrum_secundatum",-92.345345,34.787389
"177757","Stenotaphrum_secundatum",-81.242,29.715
"177827","Stenotaphrum_secundatum",-81.311,29.898
"177846","Stenotaphrum_secundatum",-81.494,30.386
"183072","Stenotaphrum_secundatum",-87.2982,30.3291
"183110","Stenotaphrum_secundatum",-91.926217,30.546567
"183151","Stenotaphrum_secundatum",-87.156,30.3624
"183172","Stenotaphrum_secundatum",-90.07635,29.193367
"183223","Stenotaphrum_secundatum",-90.126,29.7925
"183588","Stenotaphrum_secundatum",-37.89,-12.329167
"183722","Stenotaphrum_secundatum",-38.5,-12.95
"183824","Stenotaphrum_secundatum",-38.983333,-14.266667
"183872","Stenotaphrum_secundatum",-38.5,-12.966667
"198541","Stenotaphrum_secundatum",152.6,-31.95
"201878","Stenotaphrum_secundatum",-5.95306,37.38028
"203424","Stenotaphrum_secundatum",-93.602085,30.118876
"203967","Stenotaphrum_secundatum",-96.1333,19.025
"204117","Stenotaphrum_secundatum",-96.3583,18.45972
"206951","Stenotaphrum_secundatum",10,-2.783333
"207133","Stenotaphrum_secundatum",-82.83,9.74
"212077","Stenotaphrum_secundatum",136.908056,35.181667
"212477","Stenotaphrum_secundatum",150.310278,-33.709444
"212526","Stenotaphrum_secundatum",115.220833,-33.695278
"212612","Stenotaphrum_secundatum",115.799167,-32.002778
"212685","Stenotaphrum_secundatum",150.666667,-35.166667
"212744","Stenotaphrum_secundatum",152.933333,-31.466667
"212786","Stenotaphrum_secundatum",115.8,-32.966667
"212905","Stenotaphrum_secundatum",141.983333,-36.416667
"215327","Stenotaphrum_secundatum",-121.82317,38.4414
"215942","Stenotaphrum_secundatum",-117.891667,33.628333
"216612","Stenotaphrum_secundatum",-117.5156,33.5881
"216616","Stenotaphrum_secundatum",-117.705836,33.463447
"232612","Stenotaphrum_secundatum",-49.363611,-28.934444
"232861","Stenotaphrum_secundatum",-48.594444,-26.798889
"232862","Stenotaphrum_secundatum",-48.633056,-26.8475
"237710","Stenotaphrum_secundatum",-116.96312,32.52221
"237895","Stenotaphrum_secundatum",-116.963,32.5222
"238162","Stenotaphrum_secundatum",-110.491,24.1511
"247328","Stenotaphrum_secundatum",102.478139,17.232139
"247547","Stenotaphrum_secundatum",-72.783333,-12.916667
"248513","Stenotaphrum_secundatum",153.115581,-26.613201
"249038","Stenotaphrum_secundatum",153.070091,-27.012844
"249205","Stenotaphrum_secundatum",152.36851,-24.833457
"249224","Stenotaphrum_secundatum",148.078009,-42.123769
"250832","Stenotaphrum_secundatum",-100.558333,25.625
"250834","Stenotaphrum_secundatum",-101.008333,25.008333
"250873","Stenotaphrum_secundatum",-99.191667,23.058333
"250998","Stenotaphrum_secundatum",-94.596111,18.186389
"251435","Stenotaphrum_secundatum",116.033333,-31.916667
"252536","Stenotaphrum_secundatum",-39.748889,-18.7975
"252539","Stenotaphrum_secundatum",-39.883611,-19.673056
"252574","Stenotaphrum_secundatum",-39.884167,-19.672778
"252575","Stenotaphrum_secundatum",-39.930278,-19.696111
"252596","Stenotaphrum_secundatum",-40.100278,-19.919167
"252606","Stenotaphrum_secundatum",-39.882778,-19.6725
"252613","Stenotaphrum_secundatum",-39.700556,-18.417222
"252617","Stenotaphrum_secundatum",-39.737778,-18.96
"252618","Stenotaphrum_secundatum",-40.107222,-19.923056
"252621","Stenotaphrum_secundatum",-39.737778,-18.956944
"252625","Stenotaphrum_secundatum",-39.930278,-19.698333
"252627","Stenotaphrum_secundatum",-39.737778,-18.958056
"256038","Stenotaphrum_secundatum",32.069444,-28.789722
"256929","Stenotaphrum_secundatum",-90.80111,14.52444
"257091","Stenotaphrum_secundatum",-67.266667,10.383333
"257362","Stenotaphrum_secundatum",-9.12363,42.75651
"257374","Stenotaphrum_secundatum",-8.90399,42.5404
"258832","Stenotaphrum_secundatum",151.01,-34.05
"259662","Stenotaphrum_secundatum",139.37383,35.57101
"260351","Stenotaphrum_secundatum",150.209722,-35.748889
"260403","Stenotaphrum_secundatum",150.190373,-35.69816
"262410","Stenotaphrum_secundatum",153.126057,-26.856736
"262461","Stenotaphrum_secundatum",153.142724,-26.806736
"262637","Stenotaphrum_secundatum",153.059394,-27.140069
"262950","Stenotaphrum_secundatum",116.034817,-31.915474
"262992","Stenotaphrum_secundatum",152.949407,-27.540627
"263417","Stenotaphrum_secundatum",148.519869,-37.799016
"263714","Stenotaphrum_secundatum",9.8381,2.1869
