"","species","lon","lat"
"9383","Tagetes_erecta",23.648247,63.534841
"12240","Tagetes_erecta",5.694166,50.903611
"12253","Tagetes_erecta",5.166667,51.170833
"12286","Tagetes_erecta",3.144166,50.968611
"12289","Tagetes_erecta",18.8,-5.033333
"13376","Tagetes_erecta",-99.3424,18.46753
"13377","Tagetes_erecta",-99.5302,17.56331
"13383","Tagetes_erecta",-95.1403,16.81806
"13386","Tagetes_erecta",-99.5178,17.92167
"13434","Tagetes_erecta",-99.4797,17.33444
"13448","Tagetes_erecta",-99.3319,18.51298
"13549","Tagetes_erecta",-99.4797,17.38306
"13570","Tagetes_erecta",-96.3,16.27639
"13602","Tagetes_erecta",-97.25142,16.69392
"13632","Tagetes_erecta",-96.5483,17.565
"13702","Tagetes_erecta",-96.4433,17.31278
"13719","Tagetes_erecta",-100.35889,19.4
"13774","Tagetes_erecta",-105.81,23.39833
"13807","Tagetes_erecta",-99.8733,17.89972
"13812","Tagetes_erecta",-101.032,21.15056
"19511","Tagetes_erecta",-104.72638,38.7225
"19573","Tagetes_erecta",-89.71666,15.35
"19682","Tagetes_erecta",-92.37,16.89
"19758","Tagetes_erecta",-98.000556,17.460833
"19865","Tagetes_erecta",-89.3,19.23
"20085","Tagetes_erecta",117.47,26.72
"25974","Tagetes_erecta",12.76223,56.06727
"27434","Tagetes_erecta",-99.758611,18.222195
"27604","Tagetes_erecta",-90.79083,14.53916
"27766","Tagetes_erecta",-76.43333,-0.21666
"34565","Tagetes_erecta",5.913833,52.011
"34706","Tagetes_erecta",18.8,-5.033333
"35189","Tagetes_erecta",-69.28333,-12.83333
"35190","Tagetes_erecta",-91.74777,15.80416
"37065","Tagetes_erecta",-75.618333,4.775
"37080","Tagetes_erecta",-75.616389,4.77
"37084","Tagetes_erecta",-75.666667,5.416667
"37192","Tagetes_erecta",-68.33,-10.75
"37578","Tagetes_erecta",1.9,7.2
"39093","Tagetes_erecta",-96.300278,16.301667
"39258","Tagetes_erecta",-101.661667,18.698889
"39499","Tagetes_erecta",-101.655278,18.686111
"39832","Tagetes_erecta",-78.072222,-7.015
"39844","Tagetes_erecta",-93.473611,16.368889
"39960","Tagetes_erecta",-88.541667,18.508333
"39969","Tagetes_erecta",-99.2865061,19.6839386
"39980","Tagetes_erecta",-89.616667,20.966667
"39984","Tagetes_erecta",-88.8804201,17.8979406
"40314","Tagetes_erecta",-39.25,-14.25
"44721","Tagetes_erecta",65.099998,28.49
"44940","Tagetes_erecta",-40.870556,-9.6425
"49907","Tagetes_erecta",-96.300278,16.301667
"49945","Tagetes_erecta",-99.758611,18.222195
"50214","Tagetes_erecta",-84.00361,10.43138
"53366","Tagetes_erecta",-97.4751,20.0887
"54521","Tagetes_erecta",-46.009444,-17.009722
"57760","Tagetes_erecta",0.35,40.49
"58551","Tagetes_erecta",-76.06,-6.56
"61770","Tagetes_erecta",16.07051,58.53485
"62357","Tagetes_erecta",-99.5075,17.9675
"62403","Tagetes_erecta",-97.5225,20.0183
"63322","Tagetes_erecta",-99.287689,18.457717
"63331","Tagetes_erecta",-98.912194,18.82325
