"","species","lon","lat"
"3809","Torilis_japonica",26.971583,60.479295
"10172","Torilis_japonica",23.700679,61.52345
"12770","Torilis_japonica",19.75,50.116667
"17563","Torilis_japonica",23.68254,61.517702
"17969","Torilis_japonica",26.971729,60.479106
"19504","Torilis_japonica",140.9,42.68333
"20014","Torilis_japonica",117.47,26.72
"20031","Torilis_japonica",110.05,25.25
"20111","Torilis_japonica",104.11,35.84
"20295","Torilis_japonica",-88.364872,42.289018
"20297","Torilis_japonica",-88.36765,42.289758
"20298","Torilis_japonica",-88.36653,42.289352
"20300","Torilis_japonica",-88.359736,42.302669
"20301","Torilis_japonica",-88.36785,42.28876
"20373","Torilis_japonica",-0.181115,53.135042
"20489","Torilis_japonica",9.01835,44.59014
"20532","Torilis_japonica",9.798158,44.069019
"20629","Torilis_japonica",9.639487,44.163171
"20647","Torilis_japonica",9.692622,44.131522
"20648","Torilis_japonica",9.704869,44.13016
"20650","Torilis_japonica",9.731783,44.125273
"22851","Torilis_japonica",12.2375,51.90389
"23272","Torilis_japonica",12.29167,51.90917
"23273","Torilis_japonica",12.32528,51.93194
"23274","Torilis_japonica",12.20361,51.83278
"23286","Torilis_japonica",12.26278,51.77611
"23978","Torilis_japonica",21.58194,40.66028
"24461","Torilis_japonica",20.6425,39.54056
"24462","Torilis_japonica",20.71472,40.15778
"24463","Torilis_japonica",21.42361,40.65861
"24602","Torilis_japonica",12.30889,51.72389
"24739","Torilis_japonica",10.83444,52.81056
"24740","Torilis_japonica",20.76556,39.76278
"24741","Torilis_japonica",20.95528,39.6425
"24742","Torilis_japonica",20.90083,39.55694
"24743","Torilis_japonica",20.72806,39.82833
"24744","Torilis_japonica",20.87278,39.48583
"24745","Torilis_japonica",20.60583,39.85083
"24746","Torilis_japonica",20.78389,40.06583
"24747","Torilis_japonica",20.61028,40.06111
"24750","Torilis_japonica",20.84306,40.13806
"24752","Torilis_japonica",20.83611,40.18944
"24753","Torilis_japonica",20.85667,40.05667
"24754","Torilis_japonica",20.90028,40.14333
"24755","Torilis_japonica",22.04,40.58278
"24756","Torilis_japonica",21.22333,40.78639
"25918","Torilis_japonica",1.69849,49.1184
"26090","Torilis_japonica",-1.9012135,42.578883
"26296","Torilis_japonica",-2.63,36.91
"26349","Torilis_japonica",-2.9912298,42.2988651
"26459","Torilis_japonica",-1.5612091,42.7088896
"26536","Torilis_japonica",-2.7312379,42.968883
"26716","Torilis_japonica",-2.4212342,43.0988894
"26962","Torilis_japonica",-3.2312458,42.8688753
"33550","Torilis_japonica",26.96736,60.483323
"34687","Torilis_japonica",4.528056,52.027778
"34812","Torilis_japonica",5.990706,50.845726
"34978","Torilis_japonica",83.903667,29.072667
"35307","Torilis_japonica",-90.516111,38.536111
"35965","Torilis_japonica",15.36684,47.1044
"35995","Torilis_japonica",15.30639,47.09417
"36118","Torilis_japonica",14.82336,47.13778
"36187","Torilis_japonica",15.81694,47.26167
"36224","Torilis_japonica",15.38,47.0525
"36307","Torilis_japonica",15.51333,46.88444
"36473","Torilis_japonica",14.34833,47.1375
"36700","Torilis_japonica",21.12444,48.75444
"37836","Torilis_japonica",121.218366,24.022968
"37948","Torilis_japonica",121.396944,24.638333
"38269","Torilis_japonica",120.438504,22.753137
"38343","Torilis_japonica",121.214444,24.111389
"38531","Torilis_japonica",121.303333,24.195556
"38786","Torilis_japonica",121.174167,24.089722
"38806","Torilis_japonica",120.969339,24.472463
"38924","Torilis_japonica",121.285556,24.141389
"38942","Torilis_japonica",121.311667,24.180556
"40099","Torilis_japonica",-78.306587,38.847755
"40102","Torilis_japonica",-78.306013,38.847867
"40123","Torilis_japonica",-77.74185,39.2874
"40222","Torilis_japonica",-92.322918,34.913863
"42154","Torilis_japonica",10.02417,51.42889
"42451","Torilis_japonica",1.66528,48.62833
"42473","Torilis_japonica",135.79846,34.40693
"42485","Torilis_japonica",135.81386,34.46595
"42524","Torilis_japonica",135.9688,34.46806
"42541","Torilis_japonica",135.84291,34.58167
"42565","Torilis_japonica",135.95116,34.49162
"42566","Torilis_japonica",135.79825,34.35528
"42596","Torilis_japonica",135.76544,34.67253
"42672","Torilis_japonica",-2.63,36.91
"49497","Torilis_japonica",103.231884,29.73797
"49499","Torilis_japonica",102.234618,29.914155
"49518","Torilis_japonica",-87.93754,44.50162
"49519","Torilis_japonica",-87.90651,44.58138
"49520","Torilis_japonica",-87.89313,44.5783
"49521","Torilis_japonica",-87.71535,44.35786
"49522","Torilis_japonica",-87.77168,44.28738
