"","species","lon","lat"
"12590","Trachelospermum_jasminoides",-80.9879,33.9923
"12833","Trachelospermum_jasminoides",-81.083021,34.007711
"12859","Trachelospermum_jasminoides",-80.190046,32.985577
"12950","Trachelospermum_jasminoides",-81.081568,34.009161
"14210","Trachelospermum_jasminoides",120.7475,23.777222
"14211","Trachelospermum_jasminoides",120.926389,24.054722
"14212","Trachelospermum_jasminoides",120.871389,24.265556
"14213","Trachelospermum_jasminoides",118.405556,24.468333
"14214","Trachelospermum_jasminoides",118.408333,24.459167
"14215","Trachelospermum_jasminoides",120.7875,24.18
"14216","Trachelospermum_jasminoides",120.776389,24.228611
"20007","Trachelospermum_jasminoides",115.99,29.61
"20055","Trachelospermum_jasminoides",117.02,30.09
"20057","Trachelospermum_jasminoides",115.78,29.59
"20086","Trachelospermum_jasminoides",117.47,26.72
"20089","Trachelospermum_jasminoides",110.85,26.43
"20117","Trachelospermum_jasminoides",110.05,25.25
"20128","Trachelospermum_jasminoides",105.6,33.32
"20189","Trachelospermum_jasminoides",110.58,25.6
"20214","Trachelospermum_jasminoides",117.08,36.2
"20237","Trachelospermum_jasminoides",111.84,33.04
"20257","Trachelospermum_jasminoides",110.35,25.17
"27351","Trachelospermum_jasminoides",-81.843333,33.3375
"37391","Trachelospermum_jasminoides",105.216667,18.416667
"37748","Trachelospermum_jasminoides",120.568889,23.400556
"37776","Trachelospermum_jasminoides",120.556944,24.145556
"37803","Trachelospermum_jasminoides",120.66331,23.567593
"37877","Trachelospermum_jasminoides",120.597151,23.88847
"37979","Trachelospermum_jasminoides",121.732778,24.326667
"38048","Trachelospermum_jasminoides",120.598056,24.206944
"38051","Trachelospermum_jasminoides",120.549746,23.649802
"38062","Trachelospermum_jasminoides",120.604167,23.759167
"38064","Trachelospermum_jasminoides",120.847995,23.800864
"38145","Trachelospermum_jasminoides",120.623056,23.891111
"38147","Trachelospermum_jasminoides",120.686714,23.58777
"38184","Trachelospermum_jasminoides",120.906667,24.233056
"38290","Trachelospermum_jasminoides",120.78,23.925278
"38295","Trachelospermum_jasminoides",120.701686,23.496262
"38308","Trachelospermum_jasminoides",120.841111,22.167222
"38315","Trachelospermum_jasminoides",121.013056,23.996389
"38373","Trachelospermum_jasminoides",120.779722,24.183889
"38488","Trachelospermum_jasminoides",120.864722,24.008611
"38493","Trachelospermum_jasminoides",120.781389,23.709167
"38537","Trachelospermum_jasminoides",120.5875,23.081736
"38549","Trachelospermum_jasminoides",121.789444,24.458611
"38573","Trachelospermum_jasminoides",120.829086,23.834862
"38698","Trachelospermum_jasminoides",120.695556,23.855
"38732","Trachelospermum_jasminoides",120.760028,23.995594
"38734","Trachelospermum_jasminoides",120.58344,24.21431
"38740","Trachelospermum_jasminoides",120.55556,24.16033
"38759","Trachelospermum_jasminoides",120.89258,23.91349
"38802","Trachelospermum_jasminoides",120.852222,23.800556
"38808","Trachelospermum_jasminoides",120.612222,23.853333
"38811","Trachelospermum_jasminoides",120.446897,23.288958
"38824","Trachelospermum_jasminoides",120.848056,23.948333
"38851","Trachelospermum_jasminoides",120.929167,24.346389
"38854","Trachelospermum_jasminoides",120.616667,24.015278
"38875","Trachelospermum_jasminoides",120.598333,24.207222
"38879","Trachelospermum_jasminoides",120.709239,23.405099
"38880","Trachelospermum_jasminoides",120.624722,23.89
"38884","Trachelospermum_jasminoides",120.882138,23.766951
"42468","Trachelospermum_jasminoides",135.84291,34.58167
"42486","Trachelospermum_jasminoides",135.93256,34.70498
"42497","Trachelospermum_jasminoides",135.81392,34.46901
"42498","Trachelospermum_jasminoides",135.83908,34.5282
"42510","Trachelospermum_jasminoides",135.84161,34.56529
"42511","Trachelospermum_jasminoides",135.86845,34.51754
"42525","Trachelospermum_jasminoides",135.92398,34.68356
"42526","Trachelospermum_jasminoides",135.81021,34.45434
"42542","Trachelospermum_jasminoides",135.88197,34.52177
"42547","Trachelospermum_jasminoides",135.84174,34.46718
"42634","Trachelospermum_jasminoides",135.78339,34.4824
