"","species","lon","lat"
"12355","Tradescantia_ohiensis",-80.5016,34.646
"12533","Tradescantia_ohiensis",-79.053,33.5157
"12626","Tradescantia_ohiensis",-80.0527,33.7087
"12647","Tradescantia_ohiensis",-82.8137,34.9411
"12666","Tradescantia_ohiensis",-79.0537,33.5172
"12773","Tradescantia_ohiensis",-80.4874,33.8448
"12798","Tradescantia_ohiensis",-80.815565,33.250799
"12928","Tradescantia_ohiensis",-80.190777,33.017221
"12935","Tradescantia_ohiensis",-80.599416,34.240142
"13099","Tradescantia_ohiensis",-80.8387,32.3437
"13229","Tradescantia_ohiensis",-91.5018,38.8595
"19508","Tradescantia_ohiensis",-94.52333,37.02972
"19644","Tradescantia_ohiensis",-90.630472,37.730472
"20293","Tradescantia_ohiensis",-88.307278,42.422269
"20294","Tradescantia_ohiensis",-88.307084,42.422427
"20350","Tradescantia_ohiensis",-88.372272,42.289579
"20351","Tradescantia_ohiensis",-88.372181,42.289686
"27356","Tradescantia_ohiensis",-81.838583,33.337389
"27469","Tradescantia_ohiensis",-90.626389,37.618889
"27527","Tradescantia_ohiensis",-91.84527,36.54166
"27581","Tradescantia_ohiensis",-90.702467,38.4076
"35145","Tradescantia_ohiensis",-90.693555,37.704694
"35489","Tradescantia_ohiensis",-94.762639,36.798278
"35770","Tradescantia_ohiensis",-89.8061,39.1349
"39697","Tradescantia_ohiensis",-93.72444,37.09305
"39874","Tradescantia_ohiensis",-93.53666,40.53888
"40055","Tradescantia_ohiensis",-78.366458,37.316083
"40219","Tradescantia_ohiensis",-96.814167,39.075556
"40220","Tradescantia_ohiensis",-93.106162,35.282616
"40221","Tradescantia_ohiensis",-92.487451,34.917105
"44647","Tradescantia_ohiensis",-94.1394,39.9733
"49852","Tradescantia_ohiensis",-90.692389,38.49457
"50191","Tradescantia_ohiensis",-91.9903,38.9486
"54629","Tradescantia_ohiensis",-81.838583,33.337389
"54738","Tradescantia_ohiensis",-80.685,32.403889
"54760","Tradescantia_ohiensis",-92.041576,43.10745
"63480","Tradescantia_ohiensis",-80.8495,33.5085
"63957","Tradescantia_ohiensis",-85.46814,32.55597
