"","species","lon","lat"
"13251","Tridax_procumbens",-66.2935,18.0139
"13299","Tridax_procumbens",-53.866111,-25.235278
"13318","Tridax_procumbens",-96.0131,15.82944
"13330","Tridax_procumbens",-105.044,19.5215
"13338","Tridax_procumbens",-89.8736,14.92194
"13368","Tridax_procumbens",-102.053,19.24676
"13515","Tridax_procumbens",-95.85,15.93389
"13531","Tridax_procumbens",-96.967,17.9
"13541","Tridax_procumbens",-90.4167,19.7125
"13554","Tridax_procumbens",-96.9364,17.72278
"13572","Tridax_procumbens",-109.642,28.91111
"13606","Tridax_procumbens",-96.7936,19.55944
"13663","Tridax_procumbens",-90.0047,14.93333
"13667","Tridax_procumbens",-96.2526,17.24358
"13806","Tridax_procumbens",-96.0233,15.81917
"13828","Tridax_procumbens",-108.917,26.75
"13830","Tridax_procumbens",-90.4439,19.80317
"13854","Tridax_procumbens",-79.83,-2.17
"19438","Tridax_procumbens",49.123056,-12.962222
"19565","Tridax_procumbens",-89.58,18.52
"19647","Tridax_procumbens",-84.833333,10.25
"19679","Tridax_procumbens",-86.9,12.43333
"19701","Tridax_procumbens",-81.699,28.546
"19775","Tridax_procumbens",-96.4733,19.2963
"19852","Tridax_procumbens",-85.593889,12.494861
"19882","Tridax_procumbens",-84.78111,9.986111
"27474","Tridax_procumbens",-91.645196,18.728458
"27631","Tridax_procumbens",45.428889,-22.539722
"27740","Tridax_procumbens",43.735556,-21.709167
"34527","Tridax_procumbens",2.433333,6.35
"34807","Tridax_procumbens",1.694167,6.590556
"34942","Tridax_procumbens",9.983333,-2.716667
"35019","Tridax_procumbens",72.528,24.3942
"35134","Tridax_procumbens",-93.91666,16.41666
"35299","Tridax_procumbens",-91.733056,15.8375
"35475","Tridax_procumbens",-88.715,13.621389
"37674","Tridax_procumbens",120.349444,23.896389
"37746","Tridax_procumbens",120.339722,23.845556
"37773","Tridax_procumbens",120.434444,23.648611
"37793","Tridax_procumbens",120.338333,23.398056
"37819","Tridax_procumbens",120.195278,23.608889
"37832","Tridax_procumbens",120.390556,23.651111
"37840","Tridax_procumbens",120.3775,23.871944
"37849","Tridax_procumbens",120.300556,23.659167
"37900","Tridax_procumbens",120.40085,23.6065
"37945","Tridax_procumbens",120.476801,24.166156
"38083","Tridax_procumbens",120.630556,22.428056
"38084","Tridax_procumbens",120.734167,22.083056
"38141","Tridax_procumbens",120.781036,24.607091
"38226","Tridax_procumbens",120.611418,23.944941
"38264","Tridax_procumbens",120.289956,23.572449
"38297","Tridax_procumbens",120.465278,22.436111
"38337","Tridax_procumbens",120.55,24.025833
"38405","Tridax_procumbens",120.595833,23.818889
"38410","Tridax_procumbens",120.470833,24.079167
"38418","Tridax_procumbens",120.546137,22.909124
"38442","Tridax_procumbens",120.495556,24.120833
"38584","Tridax_procumbens",120.389167,23.758333
"38604","Tridax_procumbens",120.480833,23.725833
"38655","Tridax_procumbens",120.297229,23.516291
"38672","Tridax_procumbens",120.372778,23.7825
"38686","Tridax_procumbens",120.560278,24.283333
"38687","Tridax_procumbens",120.645556,24.359444
"38697","Tridax_procumbens",120.233056,22.842778
"38792","Tridax_procumbens",120.695613,24.496474
"38866","Tridax_procumbens",120.39485,22.7551
"38895","Tridax_procumbens",120.598611,23.780556
"39054","Tridax_procumbens",-99.915833,16.833056
"39094","Tridax_procumbens",-63.675833,-19.078611
"39155","Tridax_procumbens",-83.46,8.64
"39348","Tridax_procumbens",-90.899055,16.806528
"39396","Tridax_procumbens",-87.58333,12.91666
"39404","Tridax_procumbens",-86.184805,11.735778
"39670","Tridax_procumbens",-85.945667,11.856028
"39746","Tridax_procumbens",-89.51666,14.05
"39780","Tridax_procumbens",-84.633333,9.716667
"39814","Tridax_procumbens",-105.038055,21.218889
"39852","Tridax_procumbens",47.148611,-24.771944
"39985","Tridax_procumbens",-89.6621058,21.1045789
"39998","Tridax_procumbens",-88.3831444,18.3839954
"40268","Tridax_procumbens",-38.35,-12.93
"40287","Tridax_procumbens",36.73,-8.85
"40365","Tridax_procumbens",46.72,-24.55
"42245","Tridax_procumbens",153.0603,-27.4044
"42265","Tridax_procumbens",132.1994,-11.2303
"44195","Tridax_procumbens",152.630774,-25.151745
"44327","Tridax_procumbens",146.241389,-20.124444
"44453","Tridax_procumbens",151.893286,-25.313694
"44588","Tridax_procumbens",-34.8206,-7.6061
"44604","Tridax_procumbens",-81.26833,28.55244
"44661","Tridax_procumbens",-69.97,18.45
"44954","Tridax_procumbens",-39.701944,-8.618611
"49851","Tridax_procumbens",-63.675833,-19.078611
"49897","Tridax_procumbens",-87.93916,13.16
"49927","Tridax_procumbens",-89.506111,13.506389
"49977","Tridax_procumbens",-86.433444,13.686639
"49984","Tridax_procumbens",47.148611,-24.771944
"50068","Tridax_procumbens",-85.945667,11.856028
"50116","Tridax_procumbens",-64.2975,-18.522778
"50150","Tridax_procumbens",-68.749722,-15.232778
"50174","Tridax_procumbens",-87.58333,12.91666
"50192","Tridax_procumbens",-86.446667,13.700583
"50305","Tridax_procumbens",-86.81666,12.91666
"50420","Tridax_procumbens",43.715,-23.003611
"51902","Tridax_procumbens",132.520207,-11.200022
"51909","Tridax_procumbens",133.143824,-14.934714
"51912","Tridax_procumbens",132.270213,-11.218907
"51921","Tridax_procumbens",132.235,-14.469722
"51960","Tridax_procumbens",129.521107,-14.235296
"52030","Tridax_procumbens",135.728223,-14.280258
"52053","Tridax_procumbens",136.772081,-12.174988
"52059","Tridax_procumbens",145.876918,-18.222091
"52074","Tridax_procumbens",129.269722,-17.466389
"52134","Tridax_procumbens",132.106042,-11.219471
"52222","Tridax_procumbens",131.1017,-13.1753
"52406","Tridax_procumbens",129.883333,-14.351667
"52443","Tridax_procumbens",132.812431,-12.865287
"52464","Tridax_procumbens",133.361852,-11.659168
"52486","Tridax_procumbens",133.42708,-17.60466
"52492","Tridax_procumbens",129.619444,-16.4275
"52621","Tridax_procumbens",136.4183,-12.5384
"52670","Tridax_procumbens",132.329646,-11.15446
"52686","Tridax_procumbens",132.959932,-12.410012
"52696","Tridax_procumbens",136.709303,-12.19443
"52756","Tridax_procumbens",132.473564,-14.57611
"52783","Tridax_procumbens",132.201592,-11.227521
"52966","Tridax_procumbens",130.440278,-16.086944
"53030","Tridax_procumbens",135.8275,-19.7058
"53145","Tridax_procumbens",133.4544,-17.2578
"53254","Tridax_procumbens",130.479714,-15.646952
"53260","Tridax_procumbens",136.985833,-16.7575
"53810","Tridax_procumbens",-99.001667,23.348611
"54520","Tridax_procumbens",-43.463056,-15.709167
"55670","Tridax_procumbens",1.549412,11.0164
"55686","Tridax_procumbens",0.982972,10.706349
"55703","Tridax_procumbens",1.832346,6.583152
"55730","Tridax_procumbens",1.446415,10.930116
"55740","Tridax_procumbens",1.236302,10.806376
"55774","Tridax_procumbens",1.271707,10.707192
"55785","Tridax_procumbens",1.229435,10.847179
"55801","Tridax_procumbens",1.970979,6.407559
"55803","Tridax_procumbens",1.904999,6.453564
"55825","Tridax_procumbens",0.97948,10.707709
"55837","Tridax_procumbens",1.866543,6.31553
"55853","Tridax_procumbens",1.690039,6.695312
"55856","Tridax_procumbens",1.968732,6.641011
"55907","Tridax_procumbens",1.809934,6.408435
"55914","Tridax_procumbens",1.93452,7.129059
"55916","Tridax_procumbens",2.072107,6.342146
"55980","Tridax_procumbens",2.199995,6.355496
"55991","Tridax_procumbens",1.929078,6.658988
"55999","Tridax_procumbens",1.91693,6.474586
"56036","Tridax_procumbens",1.422425,11.147946
"56082","Tridax_procumbens",1.037904,11.017895
"56088","Tridax_procumbens",1.83506,6.434712
"56610","Tridax_procumbens",-13.3,13.016
"56611","Tridax_procumbens",-17.166,14.883
"56612","Tridax_procumbens",-0.316,11.733
"57321","Tridax_procumbens",36.4939,-8.56
"57553","Tridax_procumbens",-85.6139,10.9369
"57691","Tridax_procumbens",36.8494,-7.8411
"61048","Tridax_procumbens",-84.372222,9.727222
"61066","Tridax_procumbens",-84.691614,9.857331
"61200","Tridax_procumbens",-84.588889,9.825
"61241","Tridax_procumbens",-84.914891,10.30501
"61257","Tridax_procumbens",-84.6,9.780556
"61274","Tridax_procumbens",-85.079722,10.364722
"61350","Tridax_procumbens",-83.983333,10.433333
"61366","Tridax_procumbens",-85.344444,10.345833
"61372","Tridax_procumbens",-85.35,10.333333
"61390","Tridax_procumbens",-84.833333,10.25
"61790","Tridax_procumbens",-64.333333,-23.166667
"62575","Tridax_procumbens",-47.645556,-21.6275
"63486","Tridax_procumbens",-97.4349,20.0845
"63494","Tridax_procumbens",-44.2656,-15.1125
"63597","Tridax_procumbens",152.35,-27.6494
"64911","Tridax_procumbens",-38.423333,-12.429722
"64938","Tridax_procumbens",-48.269444,-10.268333
"64945","Tridax_procumbens",-40.209722,-10.21
"64964","Tridax_procumbens",-38.324167,-9.326389
"64978","Tridax_procumbens",-38.599444,-7.588889
"64995","Tridax_procumbens",-43.416667,-13.416667
"65027","Tridax_procumbens",-37.168056,-8.178056
"65209","Tridax_procumbens",-38.016667,-12.016667
"65249","Tridax_procumbens",-42.144722,-12.148056
"65261","Tridax_procumbens",-40.483333,-12.483333
"65286","Tridax_procumbens",-39.076389,-12.081944
"65303","Tridax_procumbens",-37.237222,-8.248056
"65316","Tridax_procumbens",-40.230833,-10.219167
"65330","Tridax_procumbens",-41.376667,-13.373611
"65333","Tridax_procumbens",-38.966667,-12.966667
"65351","Tridax_procumbens",-38.035,-5.038056
"65352","Tridax_procumbens",-37.832778,-5.826667
"65358","Tridax_procumbens",-39.076389,-12.082222
