"","species","lon","lat"
"26244","Trifolium_isthmocarpum",-5.7311785,36.4287238
"56928","Trifolium_isthmocarpum",-5.6006,34.0156
"87230","Trifolium_isthmocarpum",-8.91,38.77
"137196","Trifolium_isthmocarpum",-8.96948,39.10458
"156549","Trifolium_isthmocarpum",-4.64,40.11
"163560","Trifolium_isthmocarpum",-5.623904,33.896716
"163562","Trifolium_isthmocarpum",-5.205,35.0233
"163565","Trifolium_isthmocarpum",-4.9867,34.105
"163644","Trifolium_isthmocarpum",-5.751448,34.359639
"163741","Trifolium_isthmocarpum",-5.95773,34.76927
"163837","Trifolium_isthmocarpum",-5.2167,35.04
"163838","Trifolium_isthmocarpum",-3,35.23
"164001","Trifolium_isthmocarpum",-5.6003,34.0093
"164123","Trifolium_isthmocarpum",-5.36,35.18
"164248","Trifolium_isthmocarpum",-5.536421,34.070847
"164308","Trifolium_isthmocarpum",-5.32,35.1
"164318","Trifolium_isthmocarpum",-5.58,33.98
"164343","Trifolium_isthmocarpum",-5.25269,34.58878
"164399","Trifolium_isthmocarpum",-5.41072,34.69749
"164580","Trifolium_isthmocarpum",-5.0367,34.15
"296626","Trifolium_isthmocarpum",-5.64,36.156
"296964","Trifolium_isthmocarpum",-4.96,36.62
"296991","Trifolium_isthmocarpum",-5.67,36.39
"297415","Trifolium_isthmocarpum",-5.908,36.186
"297552","Trifolium_isthmocarpum",-5.931,36.222
"403406","Trifolium_isthmocarpum",-6.08,36.28
"403990","Trifolium_isthmocarpum",-5,40.03
"415251","Trifolium_isthmocarpum",-5,40.03
"424776","Trifolium_isthmocarpum",9.765183,36.892383
"441633","Trifolium_isthmocarpum",-5.65,40.22
"441725","Trifolium_isthmocarpum",-7.33,33.71
"441746","Trifolium_isthmocarpum",-6.68,34.21
"449891","Trifolium_isthmocarpum",-1.38,41.85
"465716","Trifolium_isthmocarpum",-8.916389,38.777778
"466511","Trifolium_isthmocarpum",-7.2,38.7
"466723","Trifolium_isthmocarpum",-5.8,39.9
"466861","Trifolium_isthmocarpum",-5.7,39.9
"470655","Trifolium_isthmocarpum",-6.08256,36.26232
"470892","Trifolium_isthmocarpum",-5.66083,36.46333
"471202","Trifolium_isthmocarpum",-5.65056,36.46472
"471248","Trifolium_isthmocarpum",-6.87583,33.22194
