"","species","lon","lat"
"26101","Trifolium_strictum",-3.1012412,42.7688745
"26196","Trifolium_strictum",-2.8212181,41.8688574
"42858","Trifolium_strictum",-4.62,43.16
"56965","Trifolium_strictum",-3.9672,42.7886
"57184","Trifolium_strictum",24.0019,41.5733
"57429","Trifolium_strictum",14.016667,37.85
"58043","Trifolium_strictum",-5.14,42.88
"62781","Trifolium_strictum",14.714483,37.95
"62806","Trifolium_strictum",13.548628,37.979723
"70634","Trifolium_strictum",-2.412,40.987
"70674","Trifolium_strictum",-3.978,38.336
"70701","Trifolium_strictum",-6.631,37.829
"70706","Trifolium_strictum",-6.188,37.829
"70728","Trifolium_strictum",-6.251,37.965
"70739","Trifolium_strictum",-6.601,38.063
"75209","Trifolium_strictum",3.09586,45.39687
"85668","Trifolium_strictum",-1.75,40.87
"85723","Trifolium_strictum",-1.64,41.46
"85752","Trifolium_strictum",-2.58,41.24
"85875","Trifolium_strictum",-1.59,40.5
"86247","Trifolium_strictum",-1.97,40.82
"86485","Trifolium_strictum",-1.67,40.38
"86646","Trifolium_strictum",-1.11,41
"86887","Trifolium_strictum",-1.91,40.56
"87195","Trifolium_strictum",-1.73,41.54
"87243","Trifolium_strictum",-1.76,40.6
"87255","Trifolium_strictum",-1.52,40.6
"87580","Trifolium_strictum",24,41.57
"87666","Trifolium_strictum",-1.59,40.48
"87694","Trifolium_strictum",-0.33,40.22
"87926","Trifolium_strictum",-1.74,40.56
"87988","Trifolium_strictum",-2.06,40.54
"88091","Trifolium_strictum",-1.57,40.47
"88096","Trifolium_strictum",-1.76,40.42
"88105","Trifolium_strictum",-4.18,40.55
"88188","Trifolium_strictum",-1.71,40.51
"88210","Trifolium_strictum",-2.54,41.18
"88253","Trifolium_strictum",-1.99,40.78
"88333","Trifolium_strictum",14.02,37.85
"88383","Trifolium_strictum",-2.17,40.22
"88550","Trifolium_strictum",-1.61,40.36
"88626","Trifolium_strictum",-1.77,40.24
"88688","Trifolium_strictum",-1.81,40.61
"88995","Trifolium_strictum",-6.49,41.35
"135040","Trifolium_strictum",-7.860278,31.205
"156012","Trifolium_strictum",-3.95,38.76
"156313","Trifolium_strictum",-6.49,41.35
"163792","Trifolium_strictum",-5.205,35.0233
"164141","Trifolium_strictum",2.334,41.59
"164500","Trifolium_strictum",-4.86199,34.64203
"165134","Trifolium_strictum",-7.847337,42.310695
"165137","Trifolium_strictum",-7.74521,42.260091
"165159","Trifolium_strictum",-8.102217,41.876177
"165180","Trifolium_strictum",-1.974302,40.821258
"171943","Trifolium_strictum",-6.67203,38.86135
"200403","Trifolium_strictum",24.14172,43.17086
"200575","Trifolium_strictum",25.94511,43.56114
"201746","Trifolium_strictum",26.57511,42.02447
"202175","Trifolium_strictum",26.95169,42.05258
"202626","Trifolium_strictum",22.60428,43.67958
"202786","Trifolium_strictum",24.649,43.09186
"228018","Trifolium_strictum",11.495823,42.822505
"229366","Trifolium_strictum",11.367415,42.791777
"230839","Trifolium_strictum",11.602622,42.870518
"231586","Trifolium_strictum",11.55174,42.89486
"232368","Trifolium_strictum",11.55096,42.88612
"232469","Trifolium_strictum",11.695246,42.663948
"246151","Trifolium_strictum",-2.444,38.447
"253438","Trifolium_strictum",16.371453,39.920601
"257475","Trifolium_strictum",-7.08954,42.13727
"260145","Trifolium_strictum",3.41437,45.26108
"297533","Trifolium_strictum",-6.329,37.688
"300471","Trifolium_strictum",-5.084,42.771
"300594","Trifolium_strictum",-5.2062,42.5794
"300674","Trifolium_strictum",-5.149985,42.981237
"300721","Trifolium_strictum",-5.54995,42.83065
"300991","Trifolium_strictum",-5.1277,42.4206
"301123","Trifolium_strictum",-6.06,41.56
"301170","Trifolium_strictum",-5.56551,42.7612
"301532","Trifolium_strictum",-5.3761,42.3041
"301565","Trifolium_strictum",-5.149816,42.981672
"301567","Trifolium_strictum",-5.257496,42.844437
"301569","Trifolium_strictum",-5.011,42.782
"301580","Trifolium_strictum",-6.59614,42.31048
"301682","Trifolium_strictum",-5.3828,42.3192
"301922","Trifolium_strictum",-5.029,42.943
"302006","Trifolium_strictum",-5.3745,42.2933
"302139","Trifolium_strictum",-5.125276,42.936477
"302222","Trifolium_strictum",-6.096,42.789
"302417","Trifolium_strictum",-5.149,42.887
"302526","Trifolium_strictum",-6.3928,42.698
"313905","Trifolium_strictum",9.23333,42.56667
"348044","Trifolium_strictum",-8.27,42.77
"348413","Trifolium_strictum",-1.97,40.82
