"","species","lon","lat"
"23331","Tulipa_sylvestris",11.795,51.17833
"25827","Tulipa_sylvestris",23.58944,40.50611
"26237","Tulipa_sylvestris",-0.38112,39.0588247
"26911","Tulipa_sylvestris",-3.1612414,42.7188727
"42693","Tulipa_sylvestris",-4.38,37.48
"50744","Tulipa_sylvestris",35.113306,44.93185
"50745","Tulipa_sylvestris",37.83389,48.58217
"50746","Tulipa_sylvestris",37.21077,48.51847
"50747","Tulipa_sylvestris",37.66627,48.47705
"50748","Tulipa_sylvestris",37.85596,48.43031
"50749","Tulipa_sylvestris",37.7102,48.89826
"50750","Tulipa_sylvestris",38.2014,48.88293
"50751","Tulipa_sylvestris",37.99453,48.87819
"50752","Tulipa_sylvestris",37.26801,48.86979
"50753","Tulipa_sylvestris",36.90301,48.76159
"50754","Tulipa_sylvestris",37.71577,48.58834
"50755","Tulipa_sylvestris",37.91559,48.15542
"50756","Tulipa_sylvestris",37.46902,48.14768
"50757","Tulipa_sylvestris",38.68802,48.10876
"50758","Tulipa_sylvestris",36.86849,48.38393
"50759","Tulipa_sylvestris",37.75712,48.33155
"50760","Tulipa_sylvestris",38.14207,48.28223
"50761","Tulipa_sylvestris",38.28705,48.26005
"50762","Tulipa_sylvestris",38.44502,48.2241
"50763","Tulipa_sylvestris",37.43085,48.19559
"50764","Tulipa_sylvestris",38.02935,48.16854
"50765","Tulipa_sylvestris",38.11233,49.37925
"50766","Tulipa_sylvestris",38.80365,49.29698
"50767","Tulipa_sylvestris",40.01741,49.25301
"50768","Tulipa_sylvestris",39.64895,49.07144
"50769","Tulipa_sylvestris",39.29344,48.80153
"50771","Tulipa_sylvestris",37.56011,49.0614
"50772","Tulipa_sylvestris",37.56896,49.02737
"50773","Tulipa_sylvestris",37.95056,48.94737
"50774","Tulipa_sylvestris",37.62222,48.92265
"50775","Tulipa_sylvestris",37.81771,48.91435
"50776","Tulipa_sylvestris",39.38342,48.73971
"50777","Tulipa_sylvestris",39.44213,48.67959
"50778","Tulipa_sylvestris",38.65559,48.56952
"50779","Tulipa_sylvestris",38.60671,48.44825
"50780","Tulipa_sylvestris",39.86203,48.19714
"50781","Tulipa_sylvestris",38.65185,48.48989
"50782","Tulipa_sylvestris",39.85589,48.19736
"50783","Tulipa_sylvestris",39.13799,48.07945
"50784","Tulipa_sylvestris",39.47277,48.02331
"50785","Tulipa_sylvestris",39.13691,48.00943
"50786","Tulipa_sylvestris",38.12471,48.88972
"50787","Tulipa_sylvestris",37.69667,48.57366
"50788","Tulipa_sylvestris",37.70109,48.47531
"50789","Tulipa_sylvestris",37.91442,48.38931
"50790","Tulipa_sylvestris",38.32128,48.352
"50791","Tulipa_sylvestris",37.76425,48.31621
"50792","Tulipa_sylvestris",38.29265,48.25834
"50793","Tulipa_sylvestris",38.45452,48.22286
"50794","Tulipa_sylvestris",37.45031,48.16393
"50795","Tulipa_sylvestris",37.91647,48.1348
"50796","Tulipa_sylvestris",38.25531,48.08231
"50797","Tulipa_sylvestris",37.90057,48.06808
