"","species","lon","lat"
"12263","Urena_lobata",2.266667,7.056667
"12277","Urena_lobata",2.261111,7.067222
"12279","Urena_lobata",21,7.666667
"13890","Urena_lobata",-59.65,3.3
"19425","Urena_lobata",-76.886389,-1.0425
"19428","Urena_lobata",-76.766667,0
"19439","Urena_lobata",-84.763639,12.037917
"19512","Urena_lobata",-78.19805,0.97722
"19545","Urena_lobata",127.915556,0.614722
"19597","Urena_lobata",-85.271944,12.343333
"19612","Urena_lobata",46.302778,-19.744722
"19613","Urena_lobata",-66.316667,18.466667
"19667","Urena_lobata",-83.95639,10.150833
"19704","Urena_lobata",-78.1565,0.805
"19800","Urena_lobata",-84.36666,11.11666
"19828","Urena_lobata",-63.147778,-17.699722
"19921","Urena_lobata",-64.1,-17.36666
"19950","Urena_lobata",117.02,30.09
"20030","Urena_lobata",114.05,22.54
"20047","Urena_lobata",110.85,26.43
"20088","Urena_lobata",118.17,26.63
"20101","Urena_lobata",114.93,24.44
"20125","Urena_lobata",117.47,26.72
"20157","Urena_lobata",110.05,25.25
"20198","Urena_lobata",110.35,25.17
"20223","Urena_lobata",114.41,29.01
"20234","Urena_lobata",114.44,28.1
"20239","Urena_lobata",103.39,29.49
"20248","Urena_lobata",110.58,25.6
"20930","Urena_lobata",117.583333,0.733333
"20945","Urena_lobata",98.916667,18.783333
"20965","Urena_lobata",29.621667,-4.6775
"20975","Urena_lobata",98.216667,18.183333
"27539","Urena_lobata",48.29583,-18.85083
"27566","Urena_lobata",-84.30083,11.11083
"27718","Urena_lobata",-76.66666,-0.08333
"27929","Urena_lobata",-67.8714,-9.9289
"34488","Urena_lobata",98.491139,15.219334
"34490","Urena_lobata",13.366767,0.7851
"34661","Urena_lobata",13.171306,0.892306
"34676","Urena_lobata",145,-6.716667
"34699","Urena_lobata",2.183333,7.75
"34734","Urena_lobata",10.266667,-1.066667
"34827","Urena_lobata",2.553333,8.946667
"34831","Urena_lobata",99.448056,9.174444
"34914","Urena_lobata",23.132222,-15.242222
"34983","Urena_lobata",32.583333,0.366667
"34992","Urena_lobata",2.133333,6.733333
"35148","Urena_lobata",-63.243333,-17.314722
"35264","Urena_lobata",49.677222,-16.760556
"35269","Urena_lobata",32.58333,0.36666
"35291","Urena_lobata",-85.7,13.283333
"35377","Urena_lobata",-83.8,11.983333
"35500","Urena_lobata",-85.264444,12.354722
"35523","Urena_lobata",-57.36027,-22.98
"35815","Urena_lobata",-58.16,6.58
"37030","Urena_lobata",-75.773556,6.366583
"37182","Urena_lobata",-72.9575,-8.234167
"37188","Urena_lobata",-55.046389,-3.125833
"37194","Urena_lobata",-44.363056,-22.313333
"37393","Urena_lobata",105.525,19.616667
"37397","Urena_lobata",121.683333,17.65
"37399","Urena_lobata",11.583333,3.616667
"37420","Urena_lobata",-9.076,8.0035
"37428","Urena_lobata",10.139722,2.321944
"37444","Urena_lobata",-1.86,9.248333
"37469","Urena_lobata",109.929583,-1.185722
"37498","Urena_lobata",87.271833,27.56775
"37508","Urena_lobata",29.627222,-4.649722
"37536","Urena_lobata",98.888,18.831611
"37558","Urena_lobata",99.75,19.0667
"37588","Urena_lobata",116.33,2.57
"37611","Urena_lobata",99.2,18.75
