"","species","lon","lat"
"13190","Vachellia_macracantha",-58.4667,6.83333
"13322","Vachellia_macracantha",-104.971,19.46778
"13404","Vachellia_macracantha",-101.273,18.29
"13440","Vachellia_macracantha",-98.1824,17.87594
"13501","Vachellia_macracantha",-101.525,17.7
"13827","Vachellia_macracantha",-104.958,19.425
"13829","Vachellia_macracantha",-96.2453,15.72675
"19423","Vachellia_macracantha",-78.35,-0.06666
"19458","Vachellia_macracantha",-78.230833,-5.847778
"19481","Vachellia_macracantha",-78.45,0.06666
"19549","Vachellia_macracantha",-98.076972,18.239777
"19568","Vachellia_macracantha",-104.833333,21.666667
"19710","Vachellia_macracantha",-71.4371,17.82487
"19842","Vachellia_macracantha",-78.766944,-5.376111
"27457","Vachellia_macracantha",-78.31666,-0.01666
"27753","Vachellia_macracantha",-78.18333,0.4
"35338","Vachellia_macracantha",-60.61444,-22.03027
"35350","Vachellia_macracantha",-99.503528,17.908999
"35382","Vachellia_macracantha",-70.33333,10.08333
"35442","Vachellia_macracantha",-78.684722,-5.321111
"35544","Vachellia_macracantha",-78.916667,-6.5
"35794","Vachellia_macracantha",-69.8239,9.06089
"36970","Vachellia_macracantha",-75.179722,3.228333
"37037","Vachellia_macracantha",-74.912222,9.63
"37227","Vachellia_macracantha",-77.832778,-9.208056
"39110","Vachellia_macracantha",-79.55,-4.41666
"39121","Vachellia_macracantha",-79.4166,-3.98333
"39202","Vachellia_macracantha",-99.30302,18.49361
"39259","Vachellia_macracantha",-97.11694,15.95361
"39407","Vachellia_macracantha",-77.742222,-7.512222
"39505","Vachellia_macracantha",-77.98333,0.43333
"39572","Vachellia_macracantha",-55.80194,-25.39583
"39584","Vachellia_macracantha",-79.5,-3.966667
"39793","Vachellia_macracantha",-106.579083,24.755417
"50138","Vachellia_macracantha",-80.13333,-2.16666
"50385","Vachellia_macracantha",-78.338055,-5.056667
"50418","Vachellia_macracantha",-64.48333,-23.76666
"50434","Vachellia_macracantha",-79.966667,-2.166667
"56533","Vachellia_macracantha",-79.8,-4.3
"56559","Vachellia_macracantha",-78,0.433
"56564","Vachellia_macracantha",-79.351,-4.046
"57002","Vachellia_macracantha",-79.3811,-3.3297
"61861","Vachellia_macracantha",-66.802833,18.011333
"70432","Vachellia_macracantha",-96.19633,18.09544
"77223","Vachellia_macracantha",-66.8028,18.0113
"77779","Vachellia_macracantha",-96.6722,17.0556
"83946","Vachellia_macracantha",-104.958333,19.425
"84015","Vachellia_macracantha",-103.7,19.45
"91766","Vachellia_macracantha",-103.7,19.45
"94555","Vachellia_macracantha",-97.904167,20.238889
"95698","Vachellia_macracantha",-101.525,17.7
"133905","Vachellia_macracantha",-71.077214,18.397475
"136185","Vachellia_macracantha",-78.1,0.45
"136231","Vachellia_macracantha",-101.72305,17.929278
"136380","Vachellia_macracantha",-78.684722,-5.321111
"136592","Vachellia_macracantha",-74.85088,10.59253
"136728","Vachellia_macracantha",-75.507611,10.334694
"136977","Vachellia_macracantha",-77.3347,21.5306
"137000","Vachellia_macracantha",-94.9389,16.5591
"139805","Vachellia_macracantha",-77.915,-7.3575
"139864","Vachellia_macracantha",-69.836667,-18.5925
"140138","Vachellia_macracantha",-77.95,0.45
"140250","Vachellia_macracantha",-104.98,19.3792
