"","species","lon","lat"
"20725","Verbascum_chaixii",7.606803,43.949861
"20726","Verbascum_chaixii",7.6047,43.92947
"20727","Verbascum_chaixii",7.607939,43.938567
"20728","Verbascum_chaixii",7.719023,43.969749
"26204","Verbascum_chaixii",0.4988362,42.5589077
"26569","Verbascum_chaixii",-1.7912045,42.2288763
"37379","Verbascum_chaixii",-4.817887,43.237314
"42898","Verbascum_chaixii",-4.811297,43.235619
"43770","Verbascum_chaixii",-0.016721,51.801156
"50770","Verbascum_chaixii",38.89269,47.9285
"57003","Verbascum_chaixii",0.9142,42.7264
"57833","Verbascum_chaixii",0.17,40.71
"58264","Verbascum_chaixii",1.44,42.19
"58506","Verbascum_chaixii",0.38,40.8
"67893","Verbascum_chaixii",4.480438,51.832591
"79464","Verbascum_chaixii",14.2675,48.308613
"85846","Verbascum_chaixii",0.09,40.7
"86189","Verbascum_chaixii",-0.11,40.39
"86513","Verbascum_chaixii",0.22,40.66
"86748","Verbascum_chaixii",-0.92,39.61
"88418","Verbascum_chaixii",0.1,40.66
"132829","Verbascum_chaixii",-112.022168,34.773974
"150551","Verbascum_chaixii",15.79996,58.69734
"151340","Verbascum_chaixii",13.51432,55.92542
"155937","Verbascum_chaixii",1.48,42.45
"163896","Verbascum_chaixii",1.85,42.31
"164761","Verbascum_chaixii",0.995352,42.329947
"176929","Verbascum_chaixii",43.51638,41.81111
"191861","Verbascum_chaixii",5.05667,44.66444
"200768","Verbascum_chaixii",27.25369,43.83942
"200782","Verbascum_chaixii",44.3125,40.48861
"203268","Verbascum_chaixii",28.02897,43.89386
"206481","Verbascum_chaixii",43.75,53.8
"227030","Verbascum_chaixii",11.164831,44.001953
"227079","Verbascum_chaixii",11.201621,43.878069
"227323","Verbascum_chaixii",11.103552,43.942612
"227341","Verbascum_chaixii",10.429418,43.996313
"227502","Verbascum_chaixii",11.338514,43.80421
"227613","Verbascum_chaixii",11.10196,43.94595
"227631","Verbascum_chaixii",10.5249,43.94804
"227895","Verbascum_chaixii",11.64895,42.85688
"227914","Verbascum_chaixii",10.52465,44.106696
"228024","Verbascum_chaixii",11.1,43.03333
"228202","Verbascum_chaixii",11.63747,42.85641
"228228","Verbascum_chaixii",10.574681,44.035145
"228486","Verbascum_chaixii",11.66161,42.85669
"228787","Verbascum_chaixii",11.189327,43.969887
"229069","Verbascum_chaixii",11.149001,43.924799
"229353","Verbascum_chaixii",11.157338,43.96659
"229405","Verbascum_chaixii",11.23397,43.87897
"229657","Verbascum_chaixii",11.26268,43.88151
"229882","Verbascum_chaixii",11.168726,43.894235
"230159","Verbascum_chaixii",11.66121,42.86535
"230442","Verbascum_chaixii",11.60084,42.85724
"230719","Verbascum_chaixii",11.60061,42.8757
"231297","Verbascum_chaixii",11.56517,42.90414
"231568","Verbascum_chaixii",11.55096,42.88612
"231828","Verbascum_chaixii",11.57562,42.85874
"232090","Verbascum_chaixii",11.6369,42.84733
"232209","Verbascum_chaixii",10.602919,44.054868
"232349","Verbascum_chaixii",11.64921,42.86596
"253460","Verbascum_chaixii",11.000082,43.784295
"253703","Verbascum_chaixii",7.383082,44.597647
"253805","Verbascum_chaixii",8.018346,45.055839
"253993","Verbascum_chaixii",8.034905,45.027713
"254382","Verbascum_chaixii",9.123013,44.692341
"254548","Verbascum_chaixii",8.013901,45.000105
"254685","Verbascum_chaixii",8.003154,45.037202
"256631","Verbascum_chaixii",44.297917,53.44825
"258148","Verbascum_chaixii",13.51173,55.87403
"263775","Verbascum_chaixii",14.616667,46.2
"304310","Verbascum_chaixii",38.466667,50.133333
"304377","Verbascum_chaixii",49.383333,52.3
"304389","Verbascum_chaixii",36.058333,50.558333
"304452","Verbascum_chaixii",35.945556,50.615833
"304504","Verbascum_chaixii",48.589567,54.380017
"304569","Verbascum_chaixii",43.333333,49.516667
"305170","Verbascum_chaixii",42.43819,46.63981
"305171","Verbascum_chaixii",44.15,49.083333
"305220","Verbascum_chaixii",43.15,49.75
"333144","Verbascum_chaixii",42.05,46.87
"348924","Verbascum_chaixii",-0.14,42.61
"367667","Verbascum_chaixii",44.302778,53.45
"393581","Verbascum_chaixii",0.7203,42.7339
"418971","Verbascum_chaixii",13.6294,45.98445
"432132","Verbascum_chaixii",13.51431,55.92543
"437112","Verbascum_chaixii",46.200278,54.058333
"437455","Verbascum_chaixii",44.119388,49.103723
"437689","Verbascum_chaixii",46.916667,54.166667
"440888","Verbascum_chaixii",-1.856,42.830002
"442697","Verbascum_chaixii",0.88,42.7
"449382","Verbascum_chaixii",-1.8,41.82
"460244","Verbascum_chaixii",42.7201,43.062967
"466037","Verbascum_chaixii",2.539,42.1434
"469498","Verbascum_chaixii",43.87056,42.18833
"469505","Verbascum_chaixii",42.75611,42.72917
"470124","Verbascum_chaixii",44.3125,40.48861
"470364","Verbascum_chaixii",45.1075,40.43278
"470819","Verbascum_chaixii",44.49389,42.43861
"470870","Verbascum_chaixii",11.23167,43.88222
"479318","Verbascum_chaixii",21.69083,39.26139
"485479","Verbascum_chaixii",13.70112,55.86413
