"","species","lon","lat"
"12347","Verbena_urticifolia",-80.3572,33.1336
"12354","Verbena_urticifolia",-80.5297,33.2251
"12592","Verbena_urticifolia",-79.0626,33.5063
"12596","Verbena_urticifolia",-79.5274,33.1871
"12706","Verbena_urticifolia",-80.3329,33.2234
"12735","Verbena_urticifolia",-79.0669,33.5073
"12793","Verbena_urticifolia",-81.799754,34.522273
"12843","Verbena_urticifolia",-79.832111,38.419528
"12848","Verbena_urticifolia",-83.476111,33.791278
"13013","Verbena_urticifolia",-82.2665,35.1496
"13108","Verbena_urticifolia",-80.6926,34.3296
"19696","Verbena_urticifolia",-91.29666,39.425
"20305","Verbena_urticifolia",-88.364819,42.288748
"20309","Verbena_urticifolia",-88.365934,42.289434
"20339","Verbena_urticifolia",-87.831617,42.209372
"27386","Verbena_urticifolia",-81.8375,36.275
"27643","Verbena_urticifolia",-90.43416,37.0975
"35520","Verbena_urticifolia",-90.66666,38.68333
"35755","Verbena_urticifolia",-77.3281,38.4468
"37146","Verbena_urticifolia",-90.637214,34.639435
"37147","Verbena_urticifolia",-90.686341,34.697887
"37219","Verbena_urticifolia",-73.451111,45.401111
"37247","Verbena_urticifolia",-73.568598,45.595116
"37254","Verbena_urticifolia",-73.686,45.5492
"37276","Verbena_urticifolia",-75.397761,45.611403
"37323","Verbena_urticifolia",-73.915,45.544
"37324","Verbena_urticifolia",-73.698611,45.5475
"37332","Verbena_urticifolia",-75.385556,45.590278
"37436","Verbena_urticifolia",5.932913,51.969651
"39639","Verbena_urticifolia",-89.750278,38.168056
"40073","Verbena_urticifolia",-77.614407,38.961923
"40105","Verbena_urticifolia",-78.300392,38.843192
"40122","Verbena_urticifolia",-77.722267,39.293483
"40255","Verbena_urticifolia",-91.384489,33.982142
"40256","Verbena_urticifolia",-91.930826,35.069091
"40257","Verbena_urticifolia",-91.042964,34.444426
"49640","Verbena_urticifolia",-88.74599,45.30086
"49641","Verbena_urticifolia",-88.51077,45.95256
"49642","Verbena_urticifolia",-88.7911,45.5606
"49643","Verbena_urticifolia",-88.73158,45.36801
"49644","Verbena_urticifolia",-89.01105,45.90372
"49645","Verbena_urticifolia",-88.13633,44.5233
"49646","Verbena_urticifolia",-87.5547,44.45763
"49647","Verbena_urticifolia",-88.2305,43.22992
"49648","Verbena_urticifolia",-88.46567,45.956
"49649","Verbena_urticifolia",-88.71217,45.51063
"49650","Verbena_urticifolia",-88.68788,45.400376
"49651","Verbena_urticifolia",-88.46483,44.736167
"49652","Verbena_urticifolia",-88.49244,45.704577
"49653","Verbena_urticifolia",-87.77168,44.28738
"49654","Verbena_urticifolia",-88.19068,43.710507
"49655","Verbena_urticifolia",-88.89703,45.476038
"49656","Verbena_urticifolia",-88.12112,44.291801
"50389","Verbena_urticifolia",-92.12805,40.31083
"54666","Verbena_urticifolia",-82.2665,35.1496
"62269","Verbena_urticifolia",-86.869611,31.917778
"63924","Verbena_urticifolia",-86.130757,34.615954
"63925","Verbena_urticifolia",-86.91063,34.57373
"63926","Verbena_urticifolia",-86.95348,34.55454
"63927","Verbena_urticifolia",-85.723333,34.763333
"63928","Verbena_urticifolia",-86.619225,34.57638
"70422","Verbena_urticifolia",-91.467608,33.526672
"70448","Verbena_urticifolia",-78.91,39.51533
"81509","Verbena_urticifolia",-78.146,38.892
"90504","Verbena_urticifolia",-109.325,31.88
"92227","Verbena_urticifolia",-90.53333,40.11667
"92699","Verbena_urticifolia",-95.209922,37.294024
"92730","Verbena_urticifolia",-96.00577,41.49416
"92841","Verbena_urticifolia",-92.512919,39.615498
"92859","Verbena_urticifolia",-97.565279,39.675258
