"","species","lon","lat"
"12382","Vitis_cinerea",-80.504222,27.829167
"12583","Vitis_cinerea",-79.4648,33.8277
"12665","Vitis_cinerea",-81.455197,34.778681
"12691","Vitis_cinerea",-82.2631,34.156
"12731","Vitis_cinerea",-80.187,32.9537
"12765","Vitis_cinerea",-80.1488,33.4545
"12819","Vitis_cinerea",-82.81741,35.063976
"12897","Vitis_cinerea",-80.3956,33.2744
"13016","Vitis_cinerea",-80.1499,33.4564
"13055","Vitis_cinerea",-79.4883,33.8422
"13098","Vitis_cinerea",-80.9816,33.2946
"13189","Vitis_cinerea",-95.154,36.6209
"13200","Vitis_cinerea",-81.5694,30.6291
"13882","Vitis_cinerea",-92.9365,35.2782
"13886","Vitis_cinerea",-82.4539,38.4304
"19459","Vitis_cinerea",-90.297222,38.568056
"19646","Vitis_cinerea",-98.05157,30.24728
"19708","Vitis_cinerea",-99.26074,29.89346
"19776","Vitis_cinerea",-98.05295,30.24783
"19824","Vitis_cinerea",-89.907806,37.718111
"19880","Vitis_cinerea",-84.9408,30.7528
"19906","Vitis_cinerea",-90.127821,36.705279
"27614","Vitis_cinerea",-92.7558,39.0214
"27960","Vitis_cinerea",-99.7442,29.6306
"35284","Vitis_cinerea",-98.37576,30.16191
"35744","Vitis_cinerea",-106.575,25.208333
"35777","Vitis_cinerea",-87.198,33.1899
"35783","Vitis_cinerea",-93.0148,35.7235
"35797","Vitis_cinerea",-81.1772,36.0537
"35818","Vitis_cinerea",-90.9455,37.4733
"35820","Vitis_cinerea",-88.019,31.0844
"39461","Vitis_cinerea",-90.262778,38.908056
"39512","Vitis_cinerea",-90.31666,36.93333
"39518","Vitis_cinerea",-100.71083,28.86138
"39601","Vitis_cinerea",-95.703889,33.641111
"39650","Vitis_cinerea",-98.82041,30.11311
"39712","Vitis_cinerea",-82.7239,29.4012
"39715","Vitis_cinerea",-98.37506,30.16124
"39837","Vitis_cinerea",-98.82063,30.11118
"39916","Vitis_cinerea",-98.82044,30.11225
"40053","Vitis_cinerea",-78.153845,37.850196
