"","species","lon","lat"
"12224","Xanthium_spinosum",3.936388,51.075555
"12252","Xanthium_spinosum",5.030833,51.084722
"12983","Xanthium_spinosum",-120.830833,38.595556
"14081","Xanthium_spinosum",150.903122,-34.358753
"21897","Xanthium_spinosum",21.68694,40.59861
"21898","Xanthium_spinosum",21.75806,40.74389
"21899","Xanthium_spinosum",21.6875,39.69944
"21900","Xanthium_spinosum",21.50472,40.62778
"22318","Xanthium_spinosum",22.03972,37.59639
"22319","Xanthium_spinosum",21.8575,38.05278
"22320","Xanthium_spinosum",22.15611,37.8475
"22321","Xanthium_spinosum",22.13278,37.88194
"22322","Xanthium_spinosum",21.94667,37.70361
"22323","Xanthium_spinosum",22.21111,37.85472
"22324","Xanthium_spinosum",23.16556,38.49111
"22325","Xanthium_spinosum",23.06222,38.50056
"24992","Xanthium_spinosum",20.90444,39.67806
"24993","Xanthium_spinosum",20.77944,39.72056
"24994","Xanthium_spinosum",20.53806,39.49694
"24995","Xanthium_spinosum",20.87361,39.68472
"24996","Xanthium_spinosum",20.76556,39.76278
"24997","Xanthium_spinosum",21.28417,40.63472
"24998","Xanthium_spinosum",21.41278,40.79444
"24999","Xanthium_spinosum",21.39833,40.83222
"25000","Xanthium_spinosum",21.14889,40.76056
"25001","Xanthium_spinosum",21.13806,40.78889
"25002","Xanthium_spinosum",21.45139,40.68833
"25003","Xanthium_spinosum",21.60806,40.75639
"25004","Xanthium_spinosum",21.44194,40.79722
"25005","Xanthium_spinosum",21.50028,40.815
"25006","Xanthium_spinosum",21.68722,40.78167
"25007","Xanthium_spinosum",21.50361,40.24972
"25008","Xanthium_spinosum",21.50139,40.29306
"25009","Xanthium_spinosum",21.59222,40.20778
"25010","Xanthium_spinosum",21.5925,40.18
"25011","Xanthium_spinosum",21.32583,40.54944
"25012","Xanthium_spinosum",21.37444,40.5275
"25013","Xanthium_spinosum",21.51278,40.15
"25014","Xanthium_spinosum",21.32278,40.50389
"25015","Xanthium_spinosum",21.20833,40.57056
"25016","Xanthium_spinosum",21.26806,40.56833
"25023","Xanthium_spinosum",20.86139,40.27278
"25024","Xanthium_spinosum",21.20417,40.05972
"25025","Xanthium_spinosum",20.83611,40.18944
"25026","Xanthium_spinosum",21.15361,39.98
"25027","Xanthium_spinosum",21.44472,40.09889
"25028","Xanthium_spinosum",21.27583,40.05833
"25029","Xanthium_spinosum",21.3175,39.98944
