"","species","lon","lat"
"12209","Achyranthes_aspera",-3.856389,12.728611
"13350","Achyranthes_aspera",-89.58917,18.52917
"13463","Achyranthes_aspera",-93.90639,16.32083
"13522","Achyranthes_aspera",-93.76806,16.31139
"13638","Achyranthes_aspera",-89.683,14.133
"13681","Achyranthes_aspera",-92.19333,18.26233
"13862","Achyranthes_aspera",-78.2561,21.2981
"13866","Achyranthes_aspera",-79.73,0.35
"19656","Achyranthes_aspera",-85.490833,14.065
"19798","Achyranthes_aspera",-85.35,9.85
"19908","Achyranthes_aspera",37.604722,-7.110556
"19951","Achyranthes_aspera",110.05,25.25
"20084","Achyranthes_aspera",117.47,26.72
"20091","Achyranthes_aspera",110.35,25.17
"20113","Achyranthes_aspera",114.05,22.54
"20356","Achyranthes_aspera",-88.866511,13.736897
"20801","Achyranthes_aspera",121.591367,-3.736017
"20836","Achyranthes_aspera",11.753333,-0.636667
"20931","Achyranthes_aspera",120.4667,14.5331
"27378","Achyranthes_aspera",-89.681389,14.100833
"27388","Achyranthes_aspera",-93.76805,16.31138
"27523","Achyranthes_aspera",-89.585,15.025556
"27540","Achyranthes_aspera",49.38472,-14.23666
"27548","Achyranthes_aspera",44.403333,-20.291667
"34517","Achyranthes_aspera",99.757944,19.156333
"34523","Achyranthes_aspera",36.461944,-8.6675
"34526","Achyranthes_aspera",9.816667,5.033333
"34697","Achyranthes_aspera",121.72593,-4.04351
"34700","Achyranthes_aspera",100.3,13.783333
"34701","Achyranthes_aspera",3.2,11.666667
"34745","Achyranthes_aspera",2.7,8.033333
"35221","Achyranthes_aspera",36.48333,-7.75
"35345","Achyranthes_aspera",-86.330556,13.211944
"35425","Achyranthes_aspera",-68.158611,9.013889
"35448","Achyranthes_aspera",-89.87361,14.92194
"37018","Achyranthes_aspera",-70.998353,6.821872
"37019","Achyranthes_aspera",-70.99875,6.822808
"37116","Achyranthes_aspera",-75.201411,8.550658
"37120","Achyranthes_aspera",-75.097472,8.558028
"37607","Achyranthes_aspera",-74.337917,6.482778
"37654","Achyranthes_aspera",121.006667,22.700556
"37815","Achyranthes_aspera",120.66331,23.567593
"38063","Achyranthes_aspera",120.604956,23.759312
"38208","Achyranthes_aspera",120.788611,23.691667
"38212","Achyranthes_aspera",120.629739,23.800495
"38237","Achyranthes_aspera",120.679271,23.509835
"38245","Achyranthes_aspera",120.948611,24.273889
"38282","Achyranthes_aspera",120.169223,23.515633
"38289","Achyranthes_aspera",120.948611,24.273611
"38311","Achyranthes_aspera",120.683333,22.183333
"38318","Achyranthes_aspera",120.733333,22.316667
"38390","Achyranthes_aspera",120.948333,24.273056
"38417","Achyranthes_aspera",120.546137,22.909124
"38420","Achyranthes_aspera",120.793755,23.831367
"38422","Achyranthes_aspera",120.749843,24.565455
"38502","Achyranthes_aspera",121.188056,24.650278
"38511","Achyranthes_aspera",121.400143,24.902371
"38545","Achyranthes_aspera",120.993056,24.794722
"38583","Achyranthes_aspera",120.147606,23.36559
"38611","Achyranthes_aspera",120.749137,23.082015
"38615","Achyranthes_aspera",120.915521,24.300266
"38645","Achyranthes_aspera",120.923889,23.558889
"38669","Achyranthes_aspera",120.163557,23.487079
"38796","Achyranthes_aspera",120.28609,22.89064
"39011","Achyranthes_aspera",-93.1765,16.797111
"39068","Achyranthes_aspera",30.2125,-5.931667
"39233","Achyranthes_aspera",-89.198333,13.761667
"39292","Achyranthes_aspera",-88.198055,13.76
"39419","Achyranthes_aspera",36.75,-3.284444
"39693","Achyranthes_aspera",-90.06666,13.8
"39729","Achyranthes_aspera",-86.333333,13.2
"39813","Achyranthes_aspera",-89.93333,13.81666
"40266","Achyranthes_aspera",9.2,4.18
"40277","Achyranthes_aspera",37.03,-15.39
"40296","Achyranthes_aspera",10.08,5.82
"40315","Achyranthes_aspera",9.68,4.78
"40368","Achyranthes_aspera",9.12,4.15
"40377","Achyranthes_aspera",9.72,4.92
"42273","Achyranthes_aspera",130.7172,-16.2897
"42323","Achyranthes_aspera",145.5019,-20.2744
"42423","Achyranthes_aspera",104.94694,20.74667
"43784","Achyranthes_aspera",151.783572,-25.924805
"44137","Achyranthes_aspera",149.849976,-22.723704
"44421","Achyranthes_aspera",149.860531,-22.741204
"45441","Achyranthes_aspera",38.15591,-6.63438
"49838","Achyranthes_aspera",35.61861,-8.62583
"49845","Achyranthes_aspera",38.68944,-4.94527
"49923","Achyranthes_aspera",49.173889,-12.509167
"49959","Achyranthes_aspera",-84.81,10.28
"50102","Achyranthes_aspera",48.153611,-19.076389
"50122","Achyranthes_aspera",44.572222,-23.688889
"50158","Achyranthes_aspera",-86.316667,11.983333
"50215","Achyranthes_aspera",-86.261667,13.385278
"50265","Achyranthes_aspera",-88.198055,13.76
"50302","Achyranthes_aspera",31.4425,-1.14
"50304","Achyranthes_aspera",39.19416,-10.11138
"50398","Achyranthes_aspera",35.898611,-8.518333
"50502","Achyranthes_aspera",103.78,22.37
"50611","Achyranthes_aspera",106.12,15.04
"51676","Achyranthes_aspera",136.983611,-16.760833
"51682","Achyranthes_aspera",133.423842,-17.283044
"51689","Achyranthes_aspera",144.642222,-18.224444
"51698","Achyranthes_aspera",133.3081,-21.5534
"51706","Achyranthes_aspera",136.27293,-12.509709
"51738","Achyranthes_aspera",132.41338,-23.65544
"51753","Achyranthes_aspera",130.21288,-16.32638
"51777","Achyranthes_aspera",129.244188,-17.918632
"51783","Achyranthes_aspera",134.2233,-20.3322
"51786","Achyranthes_aspera",132.483145,-12.670232
"51797","Achyranthes_aspera",136.869579,-12.40221
"51911","Achyranthes_aspera",133.158056,-15.599444
"51917","Achyranthes_aspera",135.793221,-13.577768
"51946","Achyranthes_aspera",131.897222,-23.334444
"52008","Achyranthes_aspera",129.115567,-15.837247
"52013","Achyranthes_aspera",133.264167,-23.691111
"52071","Achyranthes_aspera",134.476389,-14.145
"52117","Achyranthes_aspera",139.5047,-20.585
"52126","Achyranthes_aspera",129.6006,-20.5817
"52140","Achyranthes_aspera",137.9367,-17.2145
"52173","Achyranthes_aspera",130.8356,-14.06289
"52209","Achyranthes_aspera",132.201592,-11.227521
"52234","Achyranthes_aspera",145.685,-28.118056
"52244","Achyranthes_aspera",129.018333,-17.242778
"52250","Achyranthes_aspera",132.483257,-12.667233
"52274","Achyranthes_aspera",131.422133,-16.367933
"52281","Achyranthes_aspera",137.100733,-18.960268
"52327","Achyranthes_aspera",135.33292,-14.9871
"52409","Achyranthes_aspera",145.073333,-15.478611
"52456","Achyranthes_aspera",137.2861,-18.7414
"52516","Achyranthes_aspera",132.2417,-24.3417
"52517","Achyranthes_aspera",129.64359,-15.60485
"52519","Achyranthes_aspera",134.4169,-22.8722
"52525","Achyranthes_aspera",142.598056,-18.355278
"52529","Achyranthes_aspera",130.8428,-23.7961
"52538","Achyranthes_aspera",134.375,-23.5333
"52547","Achyranthes_aspera",130.4808,-16.1903
"52570","Achyranthes_aspera",135.963333,-16.724722
"52581","Achyranthes_aspera",132.107715,-11.314741
"52626","Achyranthes_aspera",137.4547,-16.8108
"52664","Achyranthes_aspera",137.086944,-18.841944
"52682","Achyranthes_aspera",131.7518,-24.3514
"52693","Achyranthes_aspera",134.45953,-23.63438
"52710","Achyranthes_aspera",127.01344,-8.45024
"52764","Achyranthes_aspera",133.9411,-18.3181
"52804","Achyranthes_aspera",133.009722,-24.148333
"52812","Achyranthes_aspera",140.335,-20.447504
"52816","Achyranthes_aspera",133.1197,-22.6047
"52818","Achyranthes_aspera",132.063056,-24.160833
"52858","Achyranthes_aspera",138.2847,-17.8747
"52903","Achyranthes_aspera",137.7742,-17.3269
"52912","Achyranthes_aspera",145.132222,-15.092222
"52944","Achyranthes_aspera",130.398042,-15.611407
"52965","Achyranthes_aspera",133.121,-15.415
"52973","Achyranthes_aspera",130.6775,-16.415
"52998","Achyranthes_aspera",145.773616,-17.603496
"53024","Achyranthes_aspera",129.782488,-19.678949
"53034","Achyranthes_aspera",130.719448,-16.286951
"53059","Achyranthes_aspera",136.060428,-13.224703
"53088","Achyranthes_aspera",123.841751,-17.367027
"53156","Achyranthes_aspera",134.486111,-17.371389
"53161","Achyranthes_aspera",132.0531,-24.2422
"53164","Achyranthes_aspera",131.12898,-15.63497
"53272","Achyranthes_aspera",135.92567,-18.12361
"53295","Achyranthes_aspera",129.096164,-19.524485
"53331","Achyranthes_aspera",-66.3289,18.0177
"55450","Achyranthes_aspera",-85.43,10.55
"55461","Achyranthes_aspera",36.874,0.352
"56105","Achyranthes_aspera",-72.572083,4.197056
"56558","Achyranthes_aspera",101.2,14.65
"56712","Achyranthes_aspera",-0.266,14.383
"56713","Achyranthes_aspera",-0.3,14.366
"56714","Achyranthes_aspera",-0.333,11.683
"56715","Achyranthes_aspera",-12.733,13.083
"56716","Achyranthes_aspera",-13.316,13.05
"56717","Achyranthes_aspera",-13.016,13.3
"56718","Achyranthes_aspera",-13.233,13.016
"56719","Achyranthes_aspera",-13.3,13.016
"56720","Achyranthes_aspera",-13.016,13.25
"56721","Achyranthes_aspera",-13.233,13.033
"56722","Achyranthes_aspera",-17,14.75
"56735","Achyranthes_aspera",100.066,6.5
"56736","Achyranthes_aspera",100.866,19.166
"56737","Achyranthes_aspera",35.466,-3.166
"56738","Achyranthes_aspera",35.266,-3.2
"56739","Achyranthes_aspera",35.2,-3.116
"57139","Achyranthes_aspera",33.8833,-9.1667
"61073","Achyranthes_aspera",-85.371507,10.34544
"61088","Achyranthes_aspera",-85.203163,10.185274
"61123","Achyranthes_aspera",-84.064356,9.90036
