"","species","lon","lat"
"820","Alchemilla_glaucescens",23.87065,60.360765
"1394","Alchemilla_glaucescens",24.143155,60.240718
"2159","Alchemilla_glaucescens",23.672904,59.987656
"2483","Alchemilla_glaucescens",23.807189,60.24024
"3428","Alchemilla_glaucescens",25.455124,60.586091
"3872","Alchemilla_glaucescens",23.729466,60.222483
"6221","Alchemilla_glaucescens",22.716402,63.707684
"6615","Alchemilla_glaucescens",23.997629,60.172837
"6669","Alchemilla_glaucescens",24.702835,61.410242
"7590","Alchemilla_glaucescens",25.210603,60.717697
"7991","Alchemilla_glaucescens",24.106929,60.344114
"8175","Alchemilla_glaucescens",23.074929,60.492402
"8198","Alchemilla_glaucescens",23.937524,60.613808
"8541","Alchemilla_glaucescens",24.420429,64.348272
"8549","Alchemilla_glaucescens",22.759971,60.114249
"8685","Alchemilla_glaucescens",24.064186,60.25516
"9054","Alchemilla_glaucescens",23.862685,60.238565
"9376","Alchemilla_glaucescens",23.985784,60.144723
"10779","Alchemilla_glaucescens",28.144335,61.043383
"11074","Alchemilla_glaucescens",28.854146,61.238522
"11093","Alchemilla_glaucescens",26.878584,60.51419
"11521","Alchemilla_glaucescens",23.514671,60.298005
"11588","Alchemilla_glaucescens",24.650081,61.364452
"11747","Alchemilla_glaucescens",26.583044,60.845664
"12339","Alchemilla_glaucescens",11.34971,58.75525
"12345","Alchemilla_glaucescens",15.36083,58.73304
"14945","Alchemilla_glaucescens",24.64325,60.206099
"15921","Alchemilla_glaucescens",26.894354,60.50653
"17653","Alchemilla_glaucescens",23.907059,60.273146
"17654","Alchemilla_glaucescens",24.166218,60.338521
"17655","Alchemilla_glaucescens",23.979654,60.216393
"18530","Alchemilla_glaucescens",24.377321,60.147223
"18549","Alchemilla_glaucescens",22.660637,60.048105
"18550","Alchemilla_glaucescens",23.763888,60.340244
"19096","Alchemilla_glaucescens",23.496621,60.297529
"19118","Alchemilla_glaucescens",23.9667,60.497715
"20413","Alchemilla_glaucescens",9.199391,44.591383
"20539","Alchemilla_glaucescens",7.7085,44.061222
"20662","Alchemilla_glaucescens",7.758873,43.938874
"20733","Alchemilla_glaucescens",9.201657,44.59373
"25946","Alchemilla_glaucescens",11.40627,58.5926
"25947","Alchemilla_glaucescens",11.67895,58.141
"25984","Alchemilla_glaucescens",11.57075,58.79823
"28099","Alchemilla_glaucescens",23.817843,60.530173
"28320","Alchemilla_glaucescens",23.967537,60.488752
"28871","Alchemilla_glaucescens",26.599184,61.025202
"29042","Alchemilla_glaucescens",23.998061,60.552312
"30790","Alchemilla_glaucescens",22.610557,60.154314
"31550","Alchemilla_glaucescens",23.891022,60.21349
"32281","Alchemilla_glaucescens",23.911006,60.269645
"32438","Alchemilla_glaucescens",23.964451,60.327014
"32943","Alchemilla_glaucescens",23.904041,60.199872
"32979","Alchemilla_glaucescens",23.327343,61.793291
"33044","Alchemilla_glaucescens",24.384104,61.413466
"33161","Alchemilla_glaucescens",23.874085,60.324918
"33891","Alchemilla_glaucescens",24.910138,60.264445
"34029","Alchemilla_glaucescens",23.143034,60.072066
"35070","Alchemilla_glaucescens",14.927,62.054
