"","species","lon","lat"
"12467","Amsonia_tabernaemontana",-82.2799,35.1989
"12627","Amsonia_tabernaemontana",-82.393687,35.123786
"12730","Amsonia_tabernaemontana",-82.495,34.5836
"12796","Amsonia_tabernaemontana",-85.23439,35.237439
"12830","Amsonia_tabernaemontana",-82.8213,34.9531
"19578","Amsonia_tabernaemontana",-93.28416,36.66527
"19702","Amsonia_tabernaemontana",-91.663222,38.430528
"19814","Amsonia_tabernaemontana",-90.25,38.9
"19914","Amsonia_tabernaemontana",-90.183333,36.8
"27340","Amsonia_tabernaemontana",-81.866389,33.317778
"27348","Amsonia_tabernaemontana",-81.851667,33.317222
"27967","Amsonia_tabernaemontana",-91.167222,37.163461
"35455","Amsonia_tabernaemontana",-92.6686,36.6744
"35460","Amsonia_tabernaemontana",-90.0786,37.0467
"37136","Amsonia_tabernaemontana",-92.135187,34.92193
"37139","Amsonia_tabernaemontana",-92.241811,34.865141
"39506","Amsonia_tabernaemontana",-90.19444,38.875
"39820","Amsonia_tabernaemontana",-90.078056,37.046944
"40231","Amsonia_tabernaemontana",-94.63764,37.042986
"40232","Amsonia_tabernaemontana",-91.768472,33.9319
"40233","Amsonia_tabernaemontana",-91.786497,33.928126
"40234","Amsonia_tabernaemontana",-92.241811,34.865141
"40235","Amsonia_tabernaemontana",-90.52965,36.400417
"40236","Amsonia_tabernaemontana",-90.731767,36.069133
"40237","Amsonia_tabernaemontana",-90.948859,34.405152
"40238","Amsonia_tabernaemontana",-90.919733,36.018433
"40239","Amsonia_tabernaemontana",-90.305083,33.441717
"44683","Amsonia_tabernaemontana",-93.6511,35.1719
"54576","Amsonia_tabernaemontana",-81.851667,33.317222
"54590","Amsonia_tabernaemontana",-82.541111,35
"54591","Amsonia_tabernaemontana",-82.844333,34.979417
"54592","Amsonia_tabernaemontana",-82.828472,34.650833
"54597","Amsonia_tabernaemontana",-80.017194,33.163833
"61787","Amsonia_tabernaemontana",-96.19982,30.569107
"63981","Amsonia_tabernaemontana",-87.595833,32.365
"63982","Amsonia_tabernaemontana",-86.771849,34.553066
"63983","Amsonia_tabernaemontana",-86.91969,34.5709
"63984","Amsonia_tabernaemontana",-86.953902,34.544986
"63985","Amsonia_tabernaemontana",-87.061389,34.090833
"63986","Amsonia_tabernaemontana",-85.497139,32.534943
"63987","Amsonia_tabernaemontana",-85.749167,32.648333
"63988","Amsonia_tabernaemontana",-85.72804,34.02252
"63992","Amsonia_tabernaemontana",-85.45793,32.56302
"70402","Amsonia_tabernaemontana",-90.948799,34.405487
"71255","Amsonia_tabernaemontana",173.047,-41.411
"79017","Amsonia_tabernaemontana",-90.43603,40.012769
"79121","Amsonia_tabernaemontana",-90.5936,39.83919
"92982","Amsonia_tabernaemontana",-91.203215,38.024369
"95842","Amsonia_tabernaemontana",-84.66,36.07
"133872","Amsonia_tabernaemontana",-82.953583,29.959467
"133902","Amsonia_tabernaemontana",-87.42953,32.95488
"136283","Amsonia_tabernaemontana",-83.1385,30.1043
"138087","Amsonia_tabernaemontana",-92.0583,35.1599
"140135","Amsonia_tabernaemontana",-96.5,30.63
"155495","Amsonia_tabernaemontana",-88.177222,38.907222
"161336","Amsonia_tabernaemontana",-93.36805,37.83111
"161583","Amsonia_tabernaemontana",-92.66861,36.67444
"163411","Amsonia_tabernaemontana",-90.704733,38.50395
"167001","Amsonia_tabernaemontana",25.949201,56.684423
"176619","Amsonia_tabernaemontana",-90.091451,37.056436
"176699","Amsonia_tabernaemontana",-90.376944,38.623611
"176720","Amsonia_tabernaemontana",-90.6293,38.4798
"177008","Amsonia_tabernaemontana",-91.2,37.83333
"177086","Amsonia_tabernaemontana",-93.75,38.205556
"177359","Amsonia_tabernaemontana",-90.805278,38.469722
"177387","Amsonia_tabernaemontana",-91.80888,36.52666
"177663","Amsonia_tabernaemontana",-83.685333,33.254333
"177809","Amsonia_tabernaemontana",-83.7646,33.206517
"177870","Amsonia_tabernaemontana",-83.471253,32.513333
"179724","Amsonia_tabernaemontana",-94.32596,34.669903
"179756","Amsonia_tabernaemontana",-89.279494,37.136634
"179757","Amsonia_tabernaemontana",-90.59361,39.83919
"179795","Amsonia_tabernaemontana",-90.5919,39.2065
"180312","Amsonia_tabernaemontana",-92.103333,32.491667
"183073","Amsonia_tabernaemontana",-91.16992,30.36981
"183303","Amsonia_tabernaemontana",-91.923889,30.213889
"183308","Amsonia_tabernaemontana",-93.114167,31.979722
"183357","Amsonia_tabernaemontana",-93.52559,30.32545
"183368","Amsonia_tabernaemontana",-93.852858,32.370434
"183437","Amsonia_tabernaemontana",-91.16566,30.38007
"183544","Amsonia_tabernaemontana",-93.602207,30.124232
"183564","Amsonia_tabernaemontana",-92.925,32.117222
"183566","Amsonia_tabernaemontana",-90.927167,30.181
"203943","Amsonia_tabernaemontana",-95.25694,29.14444
"247671","Amsonia_tabernaemontana",-90.80578,38.47055
"247722","Amsonia_tabernaemontana",-93.9461,37.6917
"256933","Amsonia_tabernaemontana",-89.47444,36.66527
"257113","Amsonia_tabernaemontana",-90.603056,36.508333
"282552","Amsonia_tabernaemontana",-85.89809,32.062441
"282559","Amsonia_tabernaemontana",-80.017194,33.163833
"282564","Amsonia_tabernaemontana",-87.462222,33.210278
"282566","Amsonia_tabernaemontana",-86.708056,33.016389
"282569","Amsonia_tabernaemontana",-86.10167,31.04306
"282572","Amsonia_tabernaemontana",-86.706389,31.658611
"282583","Amsonia_tabernaemontana",-82.284274,35.160616
"282587","Amsonia_tabernaemontana",-85.541389,31.695833
"282597","Amsonia_tabernaemontana",-91.2,37.833333
"282602","Amsonia_tabernaemontana",-82.2799,35.1989
"288885","Amsonia_tabernaemontana",-96.941111,33.014167
"289022","Amsonia_tabernaemontana",-94.9375,33.7893
"289032","Amsonia_tabernaemontana",-96.52015,33.25675
"292895","Amsonia_tabernaemontana",-96.661,30.293667
"292961","Amsonia_tabernaemontana",-95.25694,29.14444
"293482","Amsonia_tabernaemontana",-97.58833,29.58528
"293655","Amsonia_tabernaemontana",-90.927333,30.181
"293702","Amsonia_tabernaemontana",-84.578667,33.97775
"294381","Amsonia_tabernaemontana",-95.34823,29.161147
"294506","Amsonia_tabernaemontana",-96.94722,28.60694
"294538","Amsonia_tabernaemontana",-95.533611,35.07194
"295329","Amsonia_tabernaemontana",-74.177782,40.614095
"295419","Amsonia_tabernaemontana",-83.3233,29.775
"300223","Amsonia_tabernaemontana",-77.186857,36.873552
"303835","Amsonia_tabernaemontana",-90.165278,38.8625
"312591","Amsonia_tabernaemontana",-94.63764,37.042986
"312690","Amsonia_tabernaemontana",-92.844537,37.937485
"313022","Amsonia_tabernaemontana",-95.31528,38.21302
"313341","Amsonia_tabernaemontana",-94.635364,37.041802
"327869","Amsonia_tabernaemontana",-88.90995,33.224583
"327911","Amsonia_tabernaemontana",-88.764667,33.032
"327912","Amsonia_tabernaemontana",-88.9206,32.3265
"327913","Amsonia_tabernaemontana",-92.146167,32.581667
"327914","Amsonia_tabernaemontana",-90.919667,36.018333
"327915","Amsonia_tabernaemontana",-91.968762,32.201689
"327916","Amsonia_tabernaemontana",-91.867833,32.332
"327917","Amsonia_tabernaemontana",-91.709596,32.033593
"327918","Amsonia_tabernaemontana",-90.921667,36.019444
"327919","Amsonia_tabernaemontana",-90.52965,36.400417
"327920","Amsonia_tabernaemontana",-90.308333,35.447222
"327928","Amsonia_tabernaemontana",-90.741667,36.070556
"334703","Amsonia_tabernaemontana",-91.104801,34.581496
"334710","Amsonia_tabernaemontana",-92.8956,36.4307
"334711","Amsonia_tabernaemontana",-85.63071,35.80572
"334719","Amsonia_tabernaemontana",-91.44054,36.22645
"334823","Amsonia_tabernaemontana",-91.62965,34.28589
"334826","Amsonia_tabernaemontana",-92.35609,34.69887
"334876","Amsonia_tabernaemontana",-94.19769,36.31144
"334924","Amsonia_tabernaemontana",-94.3706,35.7897
"334939","Amsonia_tabernaemontana",-94.19559,36.31287
"334947","Amsonia_tabernaemontana",-91.4407,36.22657
"335025","Amsonia_tabernaemontana",-90.70719,35.66
"335026","Amsonia_tabernaemontana",-90.79674,35.63095
"344107","Amsonia_tabernaemontana",-96.5,30.63333
"344179","Amsonia_tabernaemontana",-95.6033,29.25506
"344329","Amsonia_tabernaemontana",-94.37372,29.67281
"344408","Amsonia_tabernaemontana",-94.95194,29.45472
"344666","Amsonia_tabernaemontana",-96.661,30.29367
"344730","Amsonia_tabernaemontana",-95.65083,29.7575
"350241","Amsonia_tabernaemontana",-94.523333,37.029722
"351371","Amsonia_tabernaemontana",-96.6611,30.2936
"353445","Amsonia_tabernaemontana",-75.83365,41.333567
"365024","Amsonia_tabernaemontana",-92.866511,31.965213
"365643","Amsonia_tabernaemontana",-88.51805,44.03583
"368212","Amsonia_tabernaemontana",-86.99,34
"368291","Amsonia_tabernaemontana",-88.23,32.54
"368321","Amsonia_tabernaemontana",-86.32,33.79
"368322","Amsonia_tabernaemontana",-86.1,31.04
"368323","Amsonia_tabernaemontana",-86.85,34.29
"368324","Amsonia_tabernaemontana",-86.7,31.65
"368325","Amsonia_tabernaemontana",-86.7,33.91
"368326","Amsonia_tabernaemontana",-86.6,33.99
"368339","Amsonia_tabernaemontana",-87.46,33.21
"369318","Amsonia_tabernaemontana",-88.4478,32.44156
"369374","Amsonia_tabernaemontana",-88.6262,32.8328
"369375","Amsonia_tabernaemontana",-88.915,32.318333
"369421","Amsonia_tabernaemontana",-90.755,33.632
"369593","Amsonia_tabernaemontana",-88.64716,31.68371
"369636","Amsonia_tabernaemontana",-88.9206,32.3265
"369811","Amsonia_tabernaemontana",-90.140278,32.311667
"369839","Amsonia_tabernaemontana",-88.71014,31.0141
"372418","Amsonia_tabernaemontana",-90.4375,38.6622
"414506","Amsonia_tabernaemontana",-94.19769,36.31144
"414534","Amsonia_tabernaemontana",-79.28512,36.348895
"414579","Amsonia_tabernaemontana",-78.750282,35.263526
"414603","Amsonia_tabernaemontana",-79.950486,35.715057
"414647","Amsonia_tabernaemontana",5.921833,52.013167
"424270","Amsonia_tabernaemontana",-82.572611,35.51674
"429745","Amsonia_tabernaemontana",-78.122211,36.234865
"429771","Amsonia_tabernaemontana",-79.267,35.924
"431226","Amsonia_tabernaemontana",-82.9533,29.9594
"431327","Amsonia_tabernaemontana",-83.3236,29.7764
"432987","Amsonia_tabernaemontana",-83.1883,30.379
"433031","Amsonia_tabernaemontana",-83.4583,29.8583
"433380","Amsonia_tabernaemontana",-93.9461,37.6917
"433490","Amsonia_tabernaemontana",-94.64152,37.04324
"433527","Amsonia_tabernaemontana",-94.36,36.5
"433535","Amsonia_tabernaemontana",-94.7,37.45
"433576","Amsonia_tabernaemontana",-94.91761,36.86402
"433611","Amsonia_tabernaemontana",-94.633333,37.05
"438433","Amsonia_tabernaemontana",-90.5936,39.8392
"438496","Amsonia_tabernaemontana",-94.6428,34.5634
"438514","Amsonia_tabernaemontana",-85.72804,34.02252
"438561","Amsonia_tabernaemontana",-94.373722,29.672806
"452119","Amsonia_tabernaemontana",-86.858611,34.291389
"452120","Amsonia_tabernaemontana",-89.689717,33.973309
"452121","Amsonia_tabernaemontana",-90.754614,33.638268
"452122","Amsonia_tabernaemontana",-89.476,33.765
"471533","Amsonia_tabernaemontana",-84.241667,30.795833
"474613","Amsonia_tabernaemontana",-91.350981,39.729768
"484534","Amsonia_tabernaemontana",-83.307137,34.813794
"486318","Amsonia_tabernaemontana",-85.27855,35.23183
"486699","Amsonia_tabernaemontana",-90.60305,36.50833
