"","species","lon","lat"
"14067","Arctotheca_calendula",148.719694,-34.437428
"26831","Arctotheca_calendula",-9.0713536,42.738807
"42589","Arctotheca_calendula",135.83372,34.5882
"50676","Arctotheca_calendula",137.50021,-34.77448
"50690","Arctotheca_calendula",136.9491,-35.16062
"51745","Arctotheca_calendula",133.835,-23.8386
"51971","Arctotheca_calendula",133.77504,-23.756646
"52728","Arctotheca_calendula",133.45,-24.344444
"53369","Arctotheca_calendula",18.8931,-32.2856
"56127","Arctotheca_calendula",138.94114,-33.74137
"56133","Arctotheca_calendula",137.90246,-32.48224
"56161","Arctotheca_calendula",138.67062,-35.16454
"56169","Arctotheca_calendula",139.24873,-34.86725
"56174","Arctotheca_calendula",136.49177,-33.64851
"56178","Arctotheca_calendula",138.51952,-33.53768
"56179","Arctotheca_calendula",138.0328,-32.55309
"56206","Arctotheca_calendula",136.40942,-33.9026
"56210","Arctotheca_calendula",136.61491,-33.31087
"56212","Arctotheca_calendula",138.84942,-34.27968
"56219","Arctotheca_calendula",139.86454,-36.75063
"56244","Arctotheca_calendula",138.38055,-32.72354
"57747","Arctotheca_calendula",0.35,40.4
"58433","Arctotheca_calendula",2.1,41.32
"58812","Arctotheca_calendula",2.08,41.32
"63533","Arctotheca_calendula",25.0939,-30.7183
"63762","Arctotheca_calendula",147.6008,-34.2969
"63868","Arctotheca_calendula",143.5561,-34.6411
"66142","Arctotheca_calendula",147.573177,-33.300659
"70720","Arctotheca_calendula",-8.905946,40.182559
"71096","Arctotheca_calendula",172.971266,-43.795831
"71182","Arctotheca_calendula",173.025,-41.119
"71204","Arctotheca_calendula",172.753522,-43.565177
"71326","Arctotheca_calendula",175.07401,-39.989969
"71370","Arctotheca_calendula",172.708856,-43.587574
"71452","Arctotheca_calendula",172.647117,-43.5577
"71463","Arctotheca_calendula",173.311906,-42.858451
"71477","Arctotheca_calendula",172.735512,-43.155589
"71478","Arctotheca_calendula",172.696563,-43.569542
"71488","Arctotheca_calendula",172.696653,-43.551541
"73388","Arctotheca_calendula",148.683333,-29.15
"73597","Arctotheca_calendula",146.228056,-36.365556
"73619","Arctotheca_calendula",149.861944,-30.144444
"73647","Arctotheca_calendula",144.863889,-37.267778
"85740","Arctotheca_calendula",-0.14,39.85
"86113","Arctotheca_calendula",-0.06,38.86
"86170","Arctotheca_calendula",-9.34,39.35
"86380","Arctotheca_calendula",-0.02,39.94
"87254","Arctotheca_calendula",-9.48,38.78
"87579","Arctotheca_calendula",-2.69,43.4
"87823","Arctotheca_calendula",-7.36,37.26
"88345","Arctotheca_calendula",-8.78,41.51
"88830","Arctotheca_calendula",-0.32,39.37
"91060","Arctotheca_calendula",-117.36796,33.24264
"96152","Arctotheca_calendula",23.9654,-31.4895
"96186","Arctotheca_calendula",18.38,-33.81
"134653","Arctotheca_calendula",137.98743,-32.76094
"134677","Arctotheca_calendula",137.59855,-34.94217
"134682","Arctotheca_calendula",138.56892,-33.86961
"134691","Arctotheca_calendula",139.30539,-35.05781
"134712","Arctotheca_calendula",136.27235,-34.20238
"134720","Arctotheca_calendula",134.50561,-33.09583
"134726","Arctotheca_calendula",135.93248,-32.94148
"134739","Arctotheca_calendula",138.61899,-34.54718
"134747","Arctotheca_calendula",139.31156,-35.41636
"134750","Arctotheca_calendula",140.06503,-36.07249
"134766","Arctotheca_calendula",140.65877,-37.29322
"134770","Arctotheca_calendula",136.30986,-33.27345
"134772","Arctotheca_calendula",138.84533,-34.71135
"134775","Arctotheca_calendula",138.51366,-33.76825
"137182","Arctotheca_calendula",-9.24603,38.87772
"141725","Arctotheca_calendula",-9.110472,39.546914
"148150","Arctotheca_calendula",116.62397,-31.303764
"148189","Arctotheca_calendula",117.174001,-33.254612
"148204","Arctotheca_calendula",117.288433,-32.816556
"148208","Arctotheca_calendula",117.874722,-30.554167
"148217","Arctotheca_calendula",116.006389,-32.383056
"148218","Arctotheca_calendula",114.700028,-27.566806
"148226","Arctotheca_calendula",122.021634,-33.949896
"148241","Arctotheca_calendula",116.426667,-33.561667
"148246","Arctotheca_calendula",120.078671,-30.711218
"148251","Arctotheca_calendula",116.225122,-29.224725
"148266","Arctotheca_calendula",117.815833,-30.623333
