"","species","lon","lat"
"12391","Boltonia_asteroides",-81.3359,34.2749
"12438","Boltonia_asteroides",-98.416667,38.095833
"12727","Boltonia_asteroides",-79.6798,33.3045
"12806","Boltonia_asteroides",-80.6188,32.7658
"12929","Boltonia_asteroides",-81.081568,34.009161
"19472","Boltonia_asteroides",-90.9456,39.0111
"19818","Boltonia_asteroides",-92.70166,40.56694
"19835","Boltonia_asteroides",-90.59369,36.50087
"27972","Boltonia_asteroides",-80.95,33.85
"39533","Boltonia_asteroides",-94.580556,37.513889
"40177","Boltonia_asteroides",-91.679796,34.157443
"40178","Boltonia_asteroides",-94.827021,37.255394
"42379","Boltonia_asteroides",-97.344122,49.9107302
"54600","Boltonia_asteroides",-80.754722,32.499444
"64130","Boltonia_asteroides",-88.160519,32.848757
"92709","Boltonia_asteroides",-93.16549,39.63205
"92814","Boltonia_asteroides",-98.416664,38.095833
"92884","Boltonia_asteroides",-95.753866,37.866867
"93056","Boltonia_asteroides",-95.0497,37.0895
"137310","Boltonia_asteroides",-81.31939,32.00757
"155498","Boltonia_asteroides",-88.63821,38.43266
"155571","Boltonia_asteroides",-88.1825,38.933333
"160039","Boltonia_asteroides",11.667909,52.138351
"161241","Boltonia_asteroides",-91.7908,36.6011
"161401","Boltonia_asteroides",-93.85638,38.37638
"161522","Boltonia_asteroides",-90.13193,36.9788
"163284","Boltonia_asteroides",-94.29416,37.82694
"176646","Boltonia_asteroides",-90.7128,38.7369
"176680","Boltonia_asteroides",-90.8,39.16666
"176804","Boltonia_asteroides",-93.625833,37.869445
"177101","Boltonia_asteroides",-94.3,37.833333
"177177","Boltonia_asteroides",-91.09583,39.52388
"179719","Boltonia_asteroides",-87.66905,38.73326
"179771","Boltonia_asteroides",-89.834306,38.379083
"179781","Boltonia_asteroides",-87.846591,41.710726
"179793","Boltonia_asteroides",-89.256572,37.227635
"179798","Boltonia_asteroides",-90.43603,40.012769
"179811","Boltonia_asteroides",-89.83683,38.543
"180426","Boltonia_asteroides",-89.4667,37.57111
"183185","Boltonia_asteroides",-93.608452,30.141423
"183204","Boltonia_asteroides",-92.5525,29.884722
"183226","Boltonia_asteroides",-89.824167,30.2925
"183247","Boltonia_asteroides",-89.63505,30.3108
"183311","Boltonia_asteroides",-91.108812,30.261975
"183411","Boltonia_asteroides",-93.557674,29.996593
"183432","Boltonia_asteroides",-90.648,30.382
"183505","Boltonia_asteroides",-92.5525,29.884444
"183568","Boltonia_asteroides",-90.96,30.812
"198024","Boltonia_asteroides",-96.41,44.73
"203460","Boltonia_asteroides",-91.311,30.453
"203471","Boltonia_asteroides",-89.66347,30.32593
"247616","Boltonia_asteroides",-94.125556,37.415833
"247650","Boltonia_asteroides",-90.11666,36.71666
"251868","Boltonia_asteroides",140.10228,39.70385
"252363","Boltonia_asteroides",138.31215,36.69748
"255074","Boltonia_asteroides",-90.327472,36.822972
"256886","Boltonia_asteroides",-90.4025,36.59722
"257146","Boltonia_asteroides",-90.376944,38.623611
"268304","Boltonia_asteroides",-75.819849,39.149636
"268305","Boltonia_asteroides",-75.415289,38.228649
"282601","Boltonia_asteroides",-75.087778,38.498611
"293735","Boltonia_asteroides",-95.54528,33.81194
"295609","Boltonia_asteroides",-81.9336,30.8192
"312302","Boltonia_asteroides",-80.955394,27.315485
"312478","Boltonia_asteroides",-95.10106,37.07093
"312592","Boltonia_asteroides",-94.827021,37.255394
"312702","Boltonia_asteroides",-95.136773,37.460935
"312853","Boltonia_asteroides",-95.25911,38.17183
"312909","Boltonia_asteroides",-94.828223,38.144494
"313104","Boltonia_asteroides",-97.595833,38.091667
"313105","Boltonia_asteroides",-92.459187,42.759684
"313130","Boltonia_asteroides",-95.221728,37.281629
"313193","Boltonia_asteroides",-95.843257,37.800059
"313344","Boltonia_asteroides",-95.838623,37.792531
"313493","Boltonia_asteroides",-93.42741,35.153868
"327375","Boltonia_asteroides",-123.6883,46.1717
"328775","Boltonia_asteroides",-94.36944,36.79416
"334715","Boltonia_asteroides",-94.23448,36.06573
"334716","Boltonia_asteroides",-90.42087,35.67968
"334717","Boltonia_asteroides",-91.69562,34.78192
"344600","Boltonia_asteroides",-95.54861,33.81528
"346485","Boltonia_asteroides",-123.423333,46.243333
"346652","Boltonia_asteroides",-123.708333,46.31
"349723","Boltonia_asteroides",-90.13193,36.9788
"350979","Boltonia_asteroides",-92.20611,39.94666
"351418","Boltonia_asteroides",-92.372801,34.179434
"368385","Boltonia_asteroides",-86.45,31.63
"368386","Boltonia_asteroides",-86.54,33.11
"369185","Boltonia_asteroides",-89.40675,33.3843
"369241","Boltonia_asteroides",-89.4921,30.7519
"369270","Boltonia_asteroides",-89.85307,31.03023
"369376","Boltonia_asteroides",-90.52264,31.17588
"369398","Boltonia_asteroides",-90.9025,33.466667
"369495","Boltonia_asteroides",-88.5396,33.925
"369566","Boltonia_asteroides",-90.51449,31.19282
"369586","Boltonia_asteroides",-90.345,32.511111
"369785","Boltonia_asteroides",-87.075,33.363611
"369840","Boltonia_asteroides",-89.74847,31.54548
"373730","Boltonia_asteroides",-91.31167,30.45361
"381011","Boltonia_asteroides",-75.086111,38.497778
"398977","Boltonia_asteroides",-75.0878,38.4986
"414553","Boltonia_asteroides",-80.6056,32.7725
"418264","Boltonia_asteroides",5.921833,52.013167
"429688","Boltonia_asteroides",-80.380672,33.54067
"429717","Boltonia_asteroides",-80.6188,32.7658
"430000","Boltonia_asteroides",-86.6464,31.6692
"431857","Boltonia_asteroides",-76.362377,40.198145
"431858","Boltonia_asteroides",-76.719908,40.12851
"431860","Boltonia_asteroides",-76.362366,40.19814
"431866","Boltonia_asteroides",-76.319629,39.815102
"431883","Boltonia_asteroides",-76.334692,39.822597
"431889","Boltonia_asteroides",-76.327901,39.815445
"431983","Boltonia_asteroides",-76.32771,39.814806
"433499","Boltonia_asteroides",-94.32,37.3
"433500","Boltonia_asteroides",-94.301014,37.820714
"433501","Boltonia_asteroides",-94.38,37.3
"433505","Boltonia_asteroides",-94.915876,34.908553
"433577","Boltonia_asteroides",-94.93159,37.41211
"433585","Boltonia_asteroides",-94.89602,36.89992
"433590","Boltonia_asteroides",-94.89813,36.89918
"433628","Boltonia_asteroides",-94.915876,36.908553
"433638","Boltonia_asteroides",-94.733333,37.35
"433639","Boltonia_asteroides",-94.716667,37.333333
"433674","Boltonia_asteroides",-94.02331,37.04519
"433679","Boltonia_asteroides",-94.795262,37.352698
"433727","Boltonia_asteroides",-94.62945,37.43833
"434750","Boltonia_asteroides",-93.403075,33.809543
"438260","Boltonia_asteroides",-76.717846,40.127075
"448097","Boltonia_asteroides",-94.53333,37.5
"452054","Boltonia_asteroides",-89.675641,33.976779
"452055","Boltonia_asteroides",-89.29252,34.373019
"452056","Boltonia_asteroides",-89.199453,33.935204
"452057","Boltonia_asteroides",-88.90091,34.257526
"452058","Boltonia_asteroides",-88.537369,33.920646
"452104","Boltonia_asteroides",-89.591,34.623
"452150","Boltonia_asteroides",-89.351111,34.413333
"452246","Boltonia_asteroides",-88.849444,33.786111
"452247","Boltonia_asteroides",-88.643611,33.933333
"453018","Boltonia_asteroides",-89.57059,30.362815
"453019","Boltonia_asteroides",-89.594359,30.359454
"453060","Boltonia_asteroides",-88.125139,39.225722
"464740","Boltonia_asteroides",-92.709438,33.50706
"464781","Boltonia_asteroides",-95.0497,37.0895
"473162","Boltonia_asteroides",-92.7575,44.708056
"473196","Boltonia_asteroides",-93.06,44.09
"473254","Boltonia_asteroides",-93.722749,44.651012
"473261","Boltonia_asteroides",-95.4425,44.735
"473338","Boltonia_asteroides",-94.799908,44.459877
"473386","Boltonia_asteroides",-94.857039,44.48977
"473546","Boltonia_asteroides",-93.317166,45.580241
"473564","Boltonia_asteroides",-93.754167,44.645833
"473607","Boltonia_asteroides",-95.416944,44.734722
"473620","Boltonia_asteroides",-94.704722,43.553333
