"","species","lon","lat"
"12309","Bromus_diandrus",4.404166,51.242222
"12962","Bromus_diandrus",-0.794908,49.352325
"13145","Bromus_diandrus",149.51277,-31.40533
"14095","Bromus_diandrus",150.208196,-35.701057
"20174","Bromus_diandrus",115.99,29.61
"20404","Bromus_diandrus",9.762375,44.087855
"20406","Bromus_diandrus",9.770934,44.083287
"20414","Bromus_diandrus",9.638981,44.133635
"20420","Bromus_diandrus",9.617214,44.153696
"20425","Bromus_diandrus",9.745816,44.096139
"20430","Bromus_diandrus",9.730219,44.102748
"20437","Bromus_diandrus",9.666059,44.148219
"20458","Bromus_diandrus",9.718384,44.115977
"20459","Bromus_diandrus",9.728898,44.107159
"20464","Bromus_diandrus",8.983647,44.51817
"20535","Bromus_diandrus",9.639487,44.163171
"20554","Bromus_diandrus",9.155814,44.346649
"20561","Bromus_diandrus",9.783761,44.080426
"20632","Bromus_diandrus",9.719699,44.125422
"20634","Bromus_diandrus",9.730107,44.115029
"20716","Bromus_diandrus",9.748497,44.110643
"20731","Bromus_diandrus",9.757389,44.119011
"20732","Bromus_diandrus",9.73815,44.099732
"21245","Bromus_diandrus",21.09639,39.13528
"21246","Bromus_diandrus",20.71833,39.13361
"23780","Bromus_diandrus",21.81583,38.38194
"23781","Bromus_diandrus",21.79583,38.37417
"23782","Bromus_diandrus",21.87722,38.43222
"23783","Bromus_diandrus",21.87639,38.46472
"23784","Bromus_diandrus",21.65667,38.55694
"23873","Bromus_diandrus",24.89778,35.13778
"24204","Bromus_diandrus",24.79056,41.07917
"24205","Bromus_diandrus",24.80861,41.09222
"24206","Bromus_diandrus",24.90056,41.1025
"24230","Bromus_diandrus",23.11444,40.49167
"24385","Bromus_diandrus",25.1275,41.00667
"24389","Bromus_diandrus",25.19639,40.9425
"24390","Bromus_diandrus",24.79861,40.97306
"24391","Bromus_diandrus",24.91111,41.24611
"24392","Bromus_diandrus",24.76944,41.09222
"24393","Bromus_diandrus",25.16,41.00083
"24397","Bromus_diandrus",23.65417,40.46056
"24398","Bromus_diandrus",23.20417,40.49111
"24399","Bromus_diandrus",25.45556,41.05611
"24400","Bromus_diandrus",25.33694,41.06167
"24401","Bromus_diandrus",25.27667,41.04806
"24402","Bromus_diandrus",25.32583,41.10917
"24405","Bromus_diandrus",24.72472,41.16861
"24406","Bromus_diandrus",24.77444,41.07472
"24413","Bromus_diandrus",24.55028,41.08611
"24414","Bromus_diandrus",24.64861,40.91583
"24415","Bromus_diandrus",24.64056,41.0225
"24707","Bromus_diandrus",23.01778,38.88222
"25279","Bromus_diandrus",22.96972,38.48472
"25338","Bromus_diandrus",20.88917,39.15389
"25339","Bromus_diandrus",20.78667,39.22056
"25340","Bromus_diandrus",21.15,38.96972
"25341","Bromus_diandrus",21.08556,39.10611
"25342","Bromus_diandrus",21.00361,38.89306
"25344","Bromus_diandrus",20.74333,39.16972
"25345","Bromus_diandrus",20.71278,39.035
"25346","Bromus_diandrus",20.71278,39.21972
"25348","Bromus_diandrus",20.73056,39.17944
"25349","Bromus_diandrus",20.77889,39.17806
"25350","Bromus_diandrus",20.27583,39.44889
"25351","Bromus_diandrus",20.54833,39.23944
"25352","Bromus_diandrus",20.39583,39.29
"25353","Bromus_diandrus",20.68639,39.06806
"25354","Bromus_diandrus",20.52972,39.19139
"25582","Bromus_diandrus",22.16222,37.64167
"25585","Bromus_diandrus",22.15861,37.83333
"25587","Bromus_diandrus",22.21111,37.54611
"25589","Bromus_diandrus",21.91972,38.03111
"25591","Bromus_diandrus",22.01722,37.95972
"25594","Bromus_diandrus",23.0375,38.59667
"26002","Bromus_diandrus",-2.4512356,43.13889
"26023","Bromus_diandrus",-1.5911984,42.118876
"26113","Bromus_diandrus",-3.1112414,42.7688744
"26211","Bromus_diandrus",-2.4212342,43.0988894
"26271","Bromus_diandrus",-8.67,42.86
"26279","Bromus_diandrus",-3.2612444,42.7688727
"26335","Bromus_diandrus",-2.3912346,43.1488909
"26340","Bromus_diandrus",-3.1712497,43.1188817
"26519","Bromus_diandrus",-2.8412397,42.9488814
"26544","Bromus_diandrus",-2.4812255,42.5988773
"26590","Bromus_diandrus",-1.8012085,42.4288807
"26618","Bromus_diandrus",-2.4012342,43.1188901
"26689","Bromus_diandrus",-2.4412354,43.1388901
"26714","Bromus_diandrus",-2.5312405,43.2988929
"26729","Bromus_diandrus",-2.5612257,42.5288748
"26747","Bromus_diandrus",-1.7912083,42.4288808
"26762","Bromus_diandrus",-3.2612446,42.778873
"26870","Bromus_diandrus",-1.8012064,42.3188782
"26914","Bromus_diandrus",-2.5012405,43.3288939
"26918","Bromus_diandrus",-2.3712375,43.3088948
"26979","Bromus_diandrus",-1.8312154,42.7488876
"26991","Bromus_diandrus",-3.0412396,42.7488747
"27038","Bromus_diandrus",-2.4412346,43.0988892
"27040","Bromus_diandrus",-3.1712444,42.8588758
"27153","Bromus_diandrus",-122.134341,37.047456
"27163","Bromus_diandrus",-122.065266,36.950968
"27165","Bromus_diandrus",-121.8159,36.6705
"27202","Bromus_diandrus",-121.8291,36.8862
"27231","Bromus_diandrus",-122.067353,36.949693
"27240","Bromus_diandrus",-121.77715,36.68675
"27241","Bromus_diandrus",-121.78165,36.68655
"27243","Bromus_diandrus",-122.0659525,36.9508328
"27321","Bromus_diandrus",-121.8295,36.6421
"34906","Bromus_diandrus",5.311574,51.511395
"35156","Bromus_diandrus",-100.115944,19.113472
"35493","Bromus_diandrus",-117.888333,34.156111
"35612","Bromus_diandrus",-122.113,38.703
"35613","Bromus_diandrus",-122.466,40.624
"35623","Bromus_diandrus",-122.46368,40.61991
"35632","Bromus_diandrus",-121.698833,39.375306
"35646","Bromus_diandrus",-123.869773,39.852744
"35656","Bromus_diandrus",-116.51429,33.562
"35660","Bromus_diandrus",-123.6869,39.8375
"35664","Bromus_diandrus",-123.46364,41.37924
"35668","Bromus_diandrus",-124.2,41.745
"35671","Bromus_diandrus",-122.353,38.995
"35686","Bromus_diandrus",-123.8442,41.8733
"35690","Bromus_diandrus",-123.249,41.8622
"35691","Bromus_diandrus",-124.2069,40.7946
"35724","Bromus_diandrus",-122.435,41.9731
"35726","Bromus_diandrus",-123.93432,41.19068
"36098","Bromus_diandrus",15.41486,47.10367
"36099","Bromus_diandrus",14.5625,45.26944
"36291","Bromus_diandrus",15.415,47.10365
"36497","Bromus_diandrus",13.9475,44.94917
"36558","Bromus_diandrus",24.90472,35.39056
"37359","Bromus_diandrus",147.552928,-33.421019
"39230","Bromus_diandrus",25.1925,35.333056
"39378","Bromus_diandrus",115.861944,-34.551111
"39707","Bromus_diandrus",-91.3731,37.7031
"39876","Bromus_diandrus",-98.69225,19.070611
"40164","Bromus_diandrus",-92.487451,34.917105
"42135","Bromus_diandrus",-117.06315,33.972133
"42270","Bromus_diandrus",146.2583,-38.9083
"42341","Bromus_diandrus",146.4869,-36.2172
"42357","Bromus_diandrus",145.016667,-37.977778
"42746","Bromus_diandrus",-1.53,42.77
"42764","Bromus_diandrus",-8.67,42.86
"42780","Bromus_diandrus",-1.56,42.25
"49865","Bromus_diandrus",115.861944,-34.551111
"50241","Bromus_diandrus",-117.304444,33.653333
"50313","Bromus_diandrus",25.1925,35.333056
"50657","Bromus_diandrus",140.55253,-36.38446
"50685","Bromus_diandrus",138.3278,-32.51173
"50686","Bromus_diandrus",138.26311,-33.31509
"50696","Bromus_diandrus",138.67613,-33.58011
"50700","Bromus_diandrus",138.29423,-32.09206
"52054","Bromus_diandrus",125.52791,-8.89597
"52638","Bromus_diandrus",133.902222,-23.781111
"53419","Bromus_diandrus",-116.672917,33.359806
"53433","Bromus_diandrus",-119.43227,34.95959
"53460","Bromus_diandrus",-118.415833,34.336111
"53463","Bromus_diandrus",-117.874167,34.433333
"53470","Bromus_diandrus",-118.65712,34.910483
"53471","Bromus_diandrus",-117.87833,34.1575
"53479","Bromus_diandrus",-119.3815,34.913194
"53493","Bromus_diandrus",-115.88822,35.77277
"53503","Bromus_diandrus",-116.65439,33.88588
"53541","Bromus_diandrus",-117.078056,33.434444
"53558","Bromus_diandrus",-120.26558,35.28461
"53561","Bromus_diandrus",-117.67627,34.17531
"53576","Bromus_diandrus",-117.749444,34.248333
"53579","Bromus_diandrus",-119.38393,34.9152
"53588","Bromus_diandrus",-121.86861,39.28861
"53590","Bromus_diandrus",-116.708333,33.704167
"53595","Bromus_diandrus",-119.36415,35.32226
"53596","Bromus_diandrus",-117.8722487,35.6991251
"53624","Bromus_diandrus",-116.5358,33.1411
"53643","Bromus_diandrus",-120.47625,35.2848
"53676","Bromus_diandrus",-119.16424,34.54678
"53704","Bromus_diandrus",-117.76025,33.59269
"53705","Bromus_diandrus",-117.72878,34.24322
"53716","Bromus_diandrus",-116.655833,33.286667
"53733","Bromus_diandrus",-117.26416,34.28375
"53757","Bromus_diandrus",-120.41285,35.24915
"53759","Bromus_diandrus",-118.44333,34.3325
"53771","Bromus_diandrus",-118.210278,34.1825
"53797","Bromus_diandrus",-118.44888,35.9048
"53807","Bromus_diandrus",-117.65299,34.24875
"53809","Bromus_diandrus",-117.1826,33.32597
"53834","Bromus_diandrus",-116.65146,33.97288
"53863","Bromus_diandrus",-116.5144,34.06332
"53868","Bromus_diandrus",-117.1116082,33.4529913
"53878","Bromus_diandrus",-116.91982,34.18516
"53894","Bromus_diandrus",-119.83871,35.50818
"53902","Bromus_diandrus",-117.9587506,35.6921247
"53909","Bromus_diandrus",-116.98418,34.67093
"53914","Bromus_diandrus",-118.71516,36.80413
"53924","Bromus_diandrus",-117.6943,33.727883
"53932","Bromus_diandrus",-117.224,34.1549
"53940","Bromus_diandrus",-117.032778,33.350278
"53946","Bromus_diandrus",-118.01,34.342778
"53960","Bromus_diandrus",-118.01974,33.996926
"53962","Bromus_diandrus",-117.616111,33.893611
"53964","Bromus_diandrus",-117.4537,34.04115
"53994","Bromus_diandrus",-118.665278,34.688889
"53996","Bromus_diandrus",-117.676389,33.730278
"54012","Bromus_diandrus",-118.595379,35.013269
"54016","Bromus_diandrus",-116.491,32.595694
"54021","Bromus_diandrus",-117.099167,33.225278
"54028","Bromus_diandrus",-118.88848,34.87586
"54033","Bromus_diandrus",-118.274167,34.186389
"54046","Bromus_diandrus",-118.671875,34.901681
"54050","Bromus_diandrus",-119.38576,34.90241
"54067","Bromus_diandrus",-116.098056,32.676111
"54076","Bromus_diandrus",-118.649572,34.912735
"54081","Bromus_diandrus",-117.433333,34.016667
"54103","Bromus_diandrus",-119.40463,34.92604
"54177","Bromus_diandrus",-117.88833,34.15611
"54192","Bromus_diandrus",-118.37917,34.31056
"54197","Bromus_diandrus",-119.3488,34.9634
"54204","Bromus_diandrus",-118.393889,34.3075
"54231","Bromus_diandrus",-118.095278,34.175556
"54237","Bromus_diandrus",-118.658139,34.604611
"54242","Bromus_diandrus",-117.3,34.2
"54248","Bromus_diandrus",-121.808917,39.745583
"54253","Bromus_diandrus",-117.959617,34.1399
"54254","Bromus_diandrus",-122.474156,39.785089
"54287","Bromus_diandrus",-119.29128,34.6357
"54343","Bromus_diandrus",-116.5869,32.7142
"54345","Bromus_diandrus",-116.483611,32.923111
"54346","Bromus_diandrus",-117.77222,34.16861
"54366","Bromus_diandrus",-120.746111,36.186111
"54373","Bromus_diandrus",-117.362778,34.024167
"54374","Bromus_diandrus",-118.707997,34.875513
"54395","Bromus_diandrus",-117.925,34.175
"54401","Bromus_diandrus",-116.6694,33.96145
"54402","Bromus_diandrus",-117.838889,34.191944
"54412","Bromus_diandrus",-120.42205,34.895217
"54417","Bromus_diandrus",-117.5005,34.3163
"54438","Bromus_diandrus",-117.710278,33.460556
"54444","Bromus_diandrus",-118.559656,34.918739
"54451","Bromus_diandrus",-116.393889,32.7925
"54458","Bromus_diandrus",-118.183667,34.14275
"54462","Bromus_diandrus",-72.418611,-36.761111
"54708","Bromus_diandrus",-111.009893,33.414833
"54956","Bromus_diandrus",9.87,49.82
"55195","Bromus_diandrus",10.86,49.91
"55559","Bromus_diandrus",4.301846,43.837972
"56106","Bromus_diandrus",135.39171,-34.52138
"56111","Bromus_diandrus",137.72377,-34.37145
"56119","Bromus_diandrus",138.93483,-34.57193
"56120","Bromus_diandrus",135.828,-33.53052
"56126","Bromus_diandrus",138.25672,-33.2644
"56128","Bromus_diandrus",138.71837,-33.89362
"56130","Bromus_diandrus",138.54555,-33.37975
"56132","Bromus_diandrus",137.4857,-34.34332
"56164","Bromus_diandrus",138.57003,-34.12706
"56170","Bromus_diandrus",135.33099,-34.20599
"56175","Bromus_diandrus",136.56974,-33.09222
"56189","Bromus_diandrus",137.82968,-32.4771
"56196","Bromus_diandrus",136.07646,-34.50649
"56203","Bromus_diandrus",138.85243,-33.38459
"56207","Bromus_diandrus",138.17562,-32.76815
"56214","Bromus_diandrus",137.64476,-34.62421
"56222","Bromus_diandrus",135.77982,-34.29432
"56224","Bromus_diandrus",136.13961,-34.00755
"56226","Bromus_diandrus",138.89376,-33.23842
"56235","Bromus_diandrus",138.62462,-33.46383
"56243","Bromus_diandrus",138.60235,-32.67596
"56573","Bromus_diandrus",-78.866,-2.2
"56575","Bromus_diandrus",-78.75,-2.1
"56576","Bromus_diandrus",-78.833,-2.2
