"","species","lon","lat"
"12369","Bromus_japonicus",-82.3331,34.0752
"12425","Bromus_japonicus",-81.1221,34.1239
"12524","Bromus_japonicus",-78.157379,36.182342
"12528","Bromus_japonicus",-83.855392,36.626647
"12529","Bromus_japonicus",-84.909351,34.541013
"12603","Bromus_japonicus",-80.7885,33.9202
"12909","Bromus_japonicus",-80.4314,33.298
"20202","Bromus_japonicus",81.02,44.96
"20230","Bromus_japonicus",110.85,26.43
"20270","Bromus_japonicus",115.97,29.34
"20271","Bromus_japonicus",103.59,32.63
"20299","Bromus_japonicus",-87.834819,42.211165
"22077","Bromus_japonicus",21.49889,40.59361
"22078","Bromus_japonicus",21.82583,40.72472
"22079","Bromus_japonicus",21.48972,39.66944
"22080","Bromus_japonicus",21.54306,39.74917
"22081","Bromus_japonicus",21.64444,39.78583
"22082","Bromus_japonicus",21.57028,39.85194
"22083","Bromus_japonicus",21.72111,40.66861
"22084","Bromus_japonicus",21.51583,40.64611
"22085","Bromus_japonicus",21.59306,40.24528
"22086","Bromus_japonicus",21.56167,40.24083
"22087","Bromus_japonicus",21.52556,40.21278
"22088","Bromus_japonicus",21.55139,40.0575
"22089","Bromus_japonicus",20.97417,39.70583
"22090","Bromus_japonicus",21.47111,40.06639
"22091","Bromus_japonicus",21.58194,40.66028
"22092","Bromus_japonicus",21.66472,40.49611
"22093","Bromus_japonicus",21.235,40.3
"22094","Bromus_japonicus",21.79028,40.50139
"22095","Bromus_japonicus",21.68694,40.52278
"22096","Bromus_japonicus",21.77083,40.58056
"22097","Bromus_japonicus",21.68139,40.67278
"22098","Bromus_japonicus",21.69361,40.57306
"22099","Bromus_japonicus",21.70806,40.31917
"22100","Bromus_japonicus",21.5225,40.27194
"22101","Bromus_japonicus",21.4025,40.32028
"22102","Bromus_japonicus",21.625,40.15111
"22103","Bromus_japonicus",21.46,40.29111
"22104","Bromus_japonicus",21.4075,40.29806
"22105","Bromus_japonicus",21.65528,40.29833
"22106","Bromus_japonicus",21.65889,40.29028
"22107","Bromus_japonicus",21.59611,40.18056
"22108","Bromus_japonicus",21.59611,40.19056
"22158","Bromus_japonicus",21.49306,39.75472
"22159","Bromus_japonicus",21.78306,39.76667
"22160","Bromus_japonicus",21.50806,39.65194
"23459","Bromus_japonicus",25.54639,40.94556
"23469","Bromus_japonicus",24.64556,41.12528
"23470","Bromus_japonicus",24.46611,41.41583
"23474","Bromus_japonicus",24.50667,41.31
"23534","Bromus_japonicus",21.60083,39.02028
"23535","Bromus_japonicus",21.64722,38.75417
"23536","Bromus_japonicus",21.61611,39.11194
"23544","Bromus_japonicus",21.83917,38.64056
"23545","Bromus_japonicus",21.80639,38.56833
"23546","Bromus_japonicus",21.84833,38.64556
"23547","Bromus_japonicus",21.8675,38.72806
"23548","Bromus_japonicus",21.84167,38.755
"23549","Bromus_japonicus",21.85222,38.76556
"23550","Bromus_japonicus",21.84722,38.75833
"23551","Bromus_japonicus",21.82194,38.82861
"23552","Bromus_japonicus",21.78778,38.83472
"23553","Bromus_japonicus",21.72778,39.0325
"23728","Bromus_japonicus",24.46583,41.32917
"24335","Bromus_japonicus",24.50667,41.32278
"24336","Bromus_japonicus",24.50389,41.27
"24337","Bromus_japonicus",24.49917,41.31056
"24338","Bromus_japonicus",24.63833,41.02472
"24339","Bromus_japonicus",24.65694,41.22389
"24340","Bromus_japonicus",24.64028,41.04389
"24374","Bromus_japonicus",24.46972,41.35028
"24434","Bromus_japonicus",24.55722,41.25694
"24435","Bromus_japonicus",24.53333,41.26778
"24436","Bromus_japonicus",24.04389,41.38083
"24437","Bromus_japonicus",24.02917,41.36556
"24438","Bromus_japonicus",24.09667,41.38889
"24439","Bromus_japonicus",24.08833,41.38389
"24440","Bromus_japonicus",24.49528,41.25778
"24441","Bromus_japonicus",24.55361,41.24111
"24442","Bromus_japonicus",24.44833,41.24889
"25876","Bromus_japonicus",21.75806,40.74389
"25877","Bromus_japonicus",21.715,40.70472
"25878","Bromus_japonicus",21.52611,40.64
"25879","Bromus_japonicus",21.69167,40.63806
"25880","Bromus_japonicus",21.49611,39.84806
"25881","Bromus_japonicus",21.59389,39.72444
"25882","Bromus_japonicus",21.57611,39.93389
"25883","Bromus_japonicus",21.72083,39.67
"25884","Bromus_japonicus",21.78889,39.77083
"25886","Bromus_japonicus",21.59583,40.48917
"25887","Bromus_japonicus",21.32778,40.27528
"27110","Bromus_japonicus",91.75,50.25
"27208","Bromus_japonicus",-121.74268,36.88048
"27210","Bromus_japonicus",-122.1563,37.1476
"27261","Bromus_japonicus",-122.1554,37.1465
"27354","Bromus_japonicus",-81.841389,33.336389
"27602","Bromus_japonicus",-102.37666,40.95
"28019","Bromus_japonicus",-102.0908,39.4625
"34519","Bromus_japonicus",4.895516,52.086875
"35035","Bromus_japonicus",107.28,40.22
"35305","Bromus_japonicus",98.872222,28.313889
"35626","Bromus_japonicus",-122.809,41.327
"35628","Bromus_japonicus",-120.878861,39.485778
"35645","Bromus_japonicus",-121.116667,41.266667
"35712","Bromus_japonicus",-123.509722,41.971111
"36041","Bromus_japonicus",17.90325,46.78019
"36205","Bromus_japonicus",14.84026,47.21568
"36271","Bromus_japonicus",28.33667,43.80417
"36359","Bromus_japonicus",23.11667,42.09361
"36387","Bromus_japonicus",16.79083,47.97583
"36442","Bromus_japonicus",70.27222,37.97472
"36602","Bromus_japonicus",16.84444,48.47694
"36603","Bromus_japonicus",15.3525,47.36556
"36604","Bromus_japonicus",16,47
"39137","Bromus_japonicus",-90.152778,38.858333
"39218","Bromus_japonicus",-91.188055,39.555556
"40101","Bromus_japonicus",-78.313225,38.848725
"42152","Bromus_japonicus",35.7448,32.9146
"42555","Bromus_japonicus",135.89423,34.58894
"42935","Bromus_japonicus",-102.99972,38.82306
"42936","Bromus_japonicus",-102.62853,37.70961
"42975","Bromus_japonicus",-104.52302,37.20778
"43060","Bromus_japonicus",-103.50611,38.715
"43061","Bromus_japonicus",-105.20623,40.24683
"43077","Bromus_japonicus",-111.785022,35.257664
"43098","Bromus_japonicus",-105.001306,39.47188
"43099","Bromus_japonicus",-104.29496,39.55709
"43133","Bromus_japonicus",-104.866806,36.508028
"43147","Bromus_japonicus",-105.262234,39.963892
"43198","Bromus_japonicus",-105.287494,39.98433
"43199","Bromus_japonicus",-105.145744,40.540057
"43200","Bromus_japonicus",-104.86389,39.75873
"43227","Bromus_japonicus",-104.921167,36.870056
"43237","Bromus_japonicus",-102.59812,37.92861
"43261","Bromus_japonicus",-105.3002,35.2877
"43309","Bromus_japonicus",-106.754017,35.9485
"43336","Bromus_japonicus",-102.759903,37.076294
"43337","Bromus_japonicus",-102.36806,39.51861
"43384","Bromus_japonicus",-104.022141,40.689997
"43402","Bromus_japonicus",-107.2996,43.9977
"43421","Bromus_japonicus",-107.703069,39.547027
"43479","Bromus_japonicus",-103.563289,37.044516
"43502","Bromus_japonicus",-107.8132,43.938
"43513","Bromus_japonicus",-103.70046,37.35647
"43524","Bromus_japonicus",-103.34355,40.88666
"43560","Bromus_japonicus",-102.19085,39.63818
"43561","Bromus_japonicus",-102.09083,39.4625
"43583","Bromus_japonicus",-104.8118,44.0902
"43674","Bromus_japonicus",-103.43028,38.92306
"43697","Bromus_japonicus",-103.3971,40.2577
"43712","Bromus_japonicus",-108.703666,38.348015
"43713","Bromus_japonicus",-102.71222,38.34694
"43714","Bromus_japonicus",-108.687106,37.249097
"43734","Bromus_japonicus",-103.87,40.4184
"50118","Bromus_japonicus",-84.268333,37.90056
"50501","Bromus_japonicus",140.45,40.49
"50515","Bromus_japonicus",44.45,40.07
"50543","Bromus_japonicus",140.59,38.15
"50613","Bromus_japonicus",74.9,36.79
"53393","Bromus_japonicus",-116.925,34.241667
"53448","Bromus_japonicus",-121.750889,39.779556
"53813","Bromus_japonicus",-117.694722,34.2025
"53818","Bromus_japonicus",-116.620833,33.620833
"53869","Bromus_japonicus",-120.878861,39.485778
"54057","Bromus_japonicus",-117.6931,34.3777
"54461","Bromus_japonicus",-121.215889,40.036111
"54646","Bromus_japonicus",-81.841389,33.336389
"54647","Bromus_japonicus",-80.759722,32.4025
"55001","Bromus_japonicus",10.59,50.22
"55184","Bromus_japonicus",10.61,48.79
"55249","Bromus_japonicus",9.91,49.97
"55340","Bromus_japonicus",10.2,50.24
"55399","Bromus_japonicus",12.6,48.25
"55594","Bromus_japonicus",8.464714,47.393562
"55595","Bromus_japonicus",8.397155,47.287375
"55601","Bromus_japonicus",7.193834,46.189615
"55616","Bromus_japonicus",8.559551,47.417399
"55637","Bromus_japonicus",8.483083,47.394905
"56877","Bromus_japonicus",46.3833,39.3333
"57697","Bromus_japonicus",45,40
"60734","Bromus_japonicus",10.74,49.94
"60748","Bromus_japonicus",9.81,49.91
"61874","Bromus_japonicus",-95.425279,31.064605
"61888","Bromus_japonicus",-83.768933,33.197
"61957","Bromus_japonicus",-98.805585,30.761526
"61960","Bromus_japonicus",-97.4754,28.54
"61970","Bromus_japonicus",-104.797222,31.911111
"61972","Bromus_japonicus",-94.686389,30.670278
"62077","Bromus_japonicus",-105.474639,33.324936
"62098","Bromus_japonicus",-104.961333,32.395333
"62155","Bromus_japonicus",-106.515684,36.142003
"63424","Bromus_japonicus",127.294581,36.543111
"64300","Bromus_japonicus",-106.1467,45.571
"64301","Bromus_japonicus",-107.1301,47.8153
"68101","Bromus_japonicus",6.919644,52.311507
"68376","Bromus_japonicus",126.532501,37.625557
"68379","Bromus_japonicus",126.501205,37.622532
"68388","Bromus_japonicus",126.414283,37.650312
"68391","Bromus_japonicus",126.445,37.711667
"68903","Bromus_japonicus",3.747777,51.097777
"68909","Bromus_japonicus",4.407222,51.241111
"68988","Bromus_japonicus",3.589999,50.832499
"69090","Bromus_japonicus",10.22,50.26
"69123","Bromus_japonicus",10.26,50.41
"69128","Bromus_japonicus",10.62,48.79
"69194","Bromus_japonicus",9.79,49.97
"69196","Bromus_japonicus",13.44,48.57
"69271","Bromus_japonicus",9.77,49.96
"69934","Bromus_japonicus",-121.204988,40.016769
"70622","Bromus_japonicus",-78.3193,44.3159
"70767","Bromus_japonicus",8.77322,46.47099
"70861","Bromus_japonicus",-119.559998,49.040001
"71509","Bromus_japonicus",-97.924767,29.496733
"71523","Bromus_japonicus",-97.74076,29.49901
"71540","Bromus_japonicus",-98.141933,29.631433
