"","species","lon","lat"
"35013","Bythotrephes_longimanus",23.575,54.145
"35020","Bythotrephes_longimanus",23.0612,54.0131
"35074","Bythotrephes_longimanus",49.3614,55.2061
"35080","Bythotrephes_longimanus",22.814,54.268
"44819","Bythotrephes_longimanus",-79.93,45.279999
"55432","Bythotrephes_longimanus",23.061,54.013
"55441","Bythotrephes_longimanus",23.927,54.08
"55460","Bythotrephes_longimanus",23.083,53.944
"55463","Bythotrephes_longimanus",42.9629,64.5751
"81503","Bythotrephes_longimanus",-86.1065,45.1834
"81571","Bythotrephes_longimanus",37.8547,57.255
"81595","Bythotrephes_longimanus",23.422,54.171
"81620","Bythotrephes_longimanus",23.213,53.914
"93766","Bythotrephes_longimanus",23.117,53.865
"93815","Bythotrephes_longimanus",42.8656,57.3672
"94242","Bythotrephes_longimanus",23.681,54.089
"94244","Bythotrephes_longimanus",78.0403,55.0317
"94249","Bythotrephes_longimanus",-75.9263,43.1809
"94262","Bythotrephes_longimanus",22.977,54.236
"94313","Bythotrephes_longimanus",22.624,54.134
"96139","Bythotrephes_longimanus",23.092,54.031
"96143","Bythotrephes_longimanus",-81.4793,41.9353
"96153","Bythotrephes_longimanus",44.8253,49.0479
"96210","Bythotrephes_longimanus",-80.037,42.805
"96215","Bythotrephes_longimanus",160.936,68.5316
"99570","Bythotrephes_longimanus",-79.8833,45.0167
"99668","Bythotrephes_longimanus",-83.2003,41.89
"99669","Bythotrephes_longimanus",-82.35,44
"99670","Bythotrephes_longimanus",-87,43.13
"99671","Bythotrephes_longimanus",-86.55,46.77
"99673","Bythotrephes_longimanus",-81.48,41.94
"99674","Bythotrephes_longimanus",-83.92,45.75
"99675","Bythotrephes_longimanus",-90.85,47.37
"99679","Bythotrephes_longimanus",-81.21,42.43
"99680","Bythotrephes_longimanus",-82.06,43.89
"99681","Bythotrephes_longimanus",-83.42,45.52
"99682","Bythotrephes_longimanus",-86.6506,43.06
"99683","Bythotrephes_longimanus",-86.82,47.61
"99696","Bythotrephes_longimanus",-93.80155,48.51661
"99741","Bythotrephes_longimanus",-87.550049,44.842238
"99751","Bythotrephes_longimanus",-79.94278,45.21
"99753","Bythotrephes_longimanus",-78.74556,45.10917
"99754","Bythotrephes_longimanus",-76.91444,45.31583
"99755","Bythotrephes_longimanus",-78.7035,45.028
"99768","Bythotrephes_longimanus",-90.01806,48.08278
"101942","Bythotrephes_longimanus",-89.25365,42.96459
"102292","Bythotrephes_longimanus",-90.1109,47.9964
"102379","Bythotrephes_longimanus",-91.9139,47.81113
"102496","Bythotrephes_longimanus",-92.10454,47.82997
"102559","Bythotrephes_longimanus",-94.90293,48.86658
"102560","Bythotrephes_longimanus",-93.8042,48.51692
"102783","Bythotrephes_longimanus",-90.1739,48.0008
"102946","Bythotrephes_longimanus",-86.315,42.69
"102948","Bythotrephes_longimanus",-79.69,42.68
"102950","Bythotrephes_longimanus",-82.22,43.63
"102951","Bythotrephes_longimanus",-82.06,44.74
"102963","Bythotrephes_longimanus",-79.62,42.54
"102964","Bythotrephes_longimanus",-82.4503,45.28
"102965","Bythotrephes_longimanus",-86.72,44.74
"102966","Bythotrephes_longimanus",-87.55,47.51
"102975","Bythotrephes_longimanus",-90.425107,47.822113
"102980","Bythotrephes_longimanus",-92.07845,47.84852
"102981","Bythotrephes_longimanus",-94.630207,48.736642
"103025","Bythotrephes_longimanus",-81.2622,45.1143
"103026","Bythotrephes_longimanus",-78.4096,45.0859
"103027","Bythotrephes_longimanus",-79.2619,42.8746
"103028","Bythotrephes_longimanus",-79.0109,45.3926
"103038","Bythotrephes_longimanus",-90.673599,48.079914
"103744","Bythotrephes_longimanus",-94.4348,48.69295
"103763","Bythotrephes_longimanus",-90.42386,47.82316
"104556","Bythotrephes_longimanus",-79.2833,45.3333
"104642","Bythotrephes_longimanus",-90.84344,48.235999
"104647","Bythotrephes_longimanus",-87.9797,47.4417
"104661","Bythotrephes_longimanus",-83.05,41.9503
"104662","Bythotrephes_longimanus",-82.5,44.2003
"104666","Bythotrephes_longimanus",-86.92,43.6014
"104667","Bythotrephes_longimanus",-89.25,48.08
