"","species","lon","lat"
"13894","Calophyllum_inophyllum",-80.25,25.67
"19668","Calophyllum_inophyllum",50.258067,-14.8533
"20887","Calophyllum_inophyllum",121.179722,13.410833
"20929","Calophyllum_inophyllum",117.1,-1.033333
"27802","Calophyllum_inophyllum",-83.641361,12.374333
"34570","Calophyllum_inophyllum",127.958528,0.471417
"34684","Calophyllum_inophyllum",9.818333,2.341667
"37555","Calophyllum_inophyllum",109.954056,-1.261722
"39234","Calophyllum_inophyllum",48.578333,-19.153055
"39406","Calophyllum_inophyllum",49.338611,-17.939722
"44613","Calophyllum_inophyllum",-80.3,25.68
"44848","Calophyllum_inophyllum",79.2332,10.2046
"49942","Calophyllum_inophyllum",127.981472,0.477972
"51975","Calophyllum_inophyllum",125.32474,-9.30064
"52243","Calophyllum_inophyllum",127.21066,-8.48135
"52628","Calophyllum_inophyllum",136.882274,-12.401625
"53013","Calophyllum_inophyllum",135.9981,-13.8458
"53084","Calophyllum_inophyllum",125.720004,-9.16925
"67679","Calophyllum_inophyllum",127.981472,0.477972
"67978","Calophyllum_inophyllum",121.5,16
"68113","Calophyllum_inophyllum",50.316667,-15.3
"68130","Calophyllum_inophyllum",9.897222,2.8825
"68139","Calophyllum_inophyllum",117,-1
"70992","Calophyllum_inophyllum",-4,5.366667
"76855","Calophyllum_inophyllum",114.04189,4.19808
"84368","Calophyllum_inophyllum",-3.304025,5.286337
"92272","Calophyllum_inophyllum",-83.8667,10
"94293","Calophyllum_inophyllum",72.1353,23.8588
"95959","Calophyllum_inophyllum",3.361124,6.525258
"136196","Calophyllum_inophyllum",127.958528,0.471417
"136648","Calophyllum_inophyllum",-76.752117,8.333364
"143373","Calophyllum_inophyllum",50.258067,-14.8533
"143505","Calophyllum_inophyllum",50.45,-15.28333
"143542","Calophyllum_inophyllum",48.670556,-13.657222
"152111","Calophyllum_inophyllum",-84.8333,10
"158387","Calophyllum_inophyllum",159.866,-9.3715
"158489","Calophyllum_inophyllum",121.5,16
"161707","Calophyllum_inophyllum",49.73972,-16.78361
"163106","Calophyllum_inophyllum",47.195278,-24.680556
"168429","Calophyllum_inophyllum",-87.24722,20.48806
"176632","Calophyllum_inophyllum",-83.76666,11
"176765","Calophyllum_inophyllum",47.879445,-13.694167
"177530","Calophyllum_inophyllum",-83.608194,12.412889
"215909","Calophyllum_inophyllum",-87.245833,20.485556
"247599","Calophyllum_inophyllum",49.770833,-16.826389
"247678","Calophyllum_inophyllum",49.40861,-17.40611
"255086","Calophyllum_inophyllum",50.033333,-14.1
"256913","Calophyllum_inophyllum",48.578611,-19.1525
"263771","Calophyllum_inophyllum",-10.360667,6.107667
"263848","Calophyllum_inophyllum",109.766666,1.8
"264002","Calophyllum_inophyllum",121.28,14.486667
"265438","Calophyllum_inophyllum",145.418051,-16.383748
"266985","Calophyllum_inophyllum",143.026114,-12.156829
"267484","Calophyllum_inophyllum",141.709462,-13.306832
"267615","Calophyllum_inophyllum",146.097489,-17.807072
"268151","Calophyllum_inophyllum",145.809439,-5.173562
"283577","Calophyllum_inophyllum",3.353779,6.517619
"283638","Calophyllum_inophyllum",6.073319,7.823009
"304120","Calophyllum_inophyllum",49.73111,-16.77194
