"","species","lon","lat"
"27662","Calotropis_gigantea",139.25,-18.65
"34720","Calotropis_gigantea",-55.139167,5.840833
"37431","Calotropis_gigantea",100.883333,12.883333
"50069","Calotropis_gigantea",100.788,14.704722
"50655","Calotropis_gigantea",84.7,27.81
"51799","Calotropis_gigantea",134.90616,-12.09931
"51990","Calotropis_gigantea",125.5669,-8.5486
"52105","Calotropis_gigantea",125.918632,-9.082279
"52183","Calotropis_gigantea",134.921725,-12.109689
"52571","Calotropis_gigantea",127.117,-8.473
"52716","Calotropis_gigantea",139.4425,-20.5133
"52731","Calotropis_gigantea",140.958962,-20.634317
"52931","Calotropis_gigantea",134.9167,-13.7717
"67928","Calotropis_gigantea",83.583333,28.291667
"72157","Calotropis_gigantea",13.182283,-9.386617
"81559","Calotropis_gigantea",69.7165,21.7079
"84302","Calotropis_gigantea",102.015824,23.613788
"95485","Calotropis_gigantea",101.586111,26.622222
"133113","Calotropis_gigantea",-155.829277,20.040764
"133882","Calotropis_gigantea",-80.386,25.549
"136895","Calotropis_gigantea",-58.4667,6.83333
"151994","Calotropis_gigantea",76.98,11.03
"154023","Calotropis_gigantea",73.496077,20.751782
"161569","Calotropis_gigantea",76.46916,15.31916
"161824","Calotropis_gigantea",38.81833,-4.74916
"163355","Calotropis_gigantea",109.165,11.69
"174156","Calotropis_gigantea",76.4705,15.3191
"176686","Calotropis_gigantea",11.666667,-0.25
"204191","Calotropis_gigantea",76.4692,15.3191
"206875","Calotropis_gigantea",139.575556,-20.581111
"206909","Calotropis_gigantea",37.5,-7
"206969","Calotropis_gigantea",-58.466667,6.833333
"212475","Calotropis_gigantea",134.883333,-12.066667
"212482","Calotropis_gigantea",125.566944,-8.548611
"214172","Calotropis_gigantea",146.658333,-19.183333
"247327","Calotropis_gigantea",109.181667,11.723333
"248385","Calotropis_gigantea",146.659438,-19.181785
"248390","Calotropis_gigantea",140.054241,-20.031821
"248607","Calotropis_gigantea",139.440921,-20.511829
"248653","Calotropis_gigantea",138.702866,-19.024611
"248679","Calotropis_gigantea",146.267881,-20.084752
"249272","Calotropis_gigantea",140.958017,-20.635584
"250408","Calotropis_gigantea",-93.178,44.7316
"258698","Calotropis_gigantea",139.575556,-20.581111
"265234","Calotropis_gigantea",140.126182,-19.856822
"266191","Calotropis_gigantea",146.792897,-19.263658
"266671","Calotropis_gigantea",138.742866,-19.040167
"266715","Calotropis_gigantea",126.742899,-14.073593
"267123","Calotropis_gigantea",134.926153,-12.12357
"289271","Calotropis_gigantea",90.683333,23.25
"295354","Calotropis_gigantea",-66.725,10.1
"302776","Calotropis_gigantea",-118.000611,34.088472
"304091","Calotropis_gigantea",76.47055,15.31916
"328567","Calotropis_gigantea",109.181667,11.723333
"334445","Calotropis_gigantea",126.735556,-14.068889
"350409","Calotropis_gigantea",36.05,0.71666
"351098","Calotropis_gigantea",79.7659,11.9523
"366974","Calotropis_gigantea",-156.461,20.7775
"381367","Calotropis_gigantea",92.25,24.129999
"418299","Calotropis_gigantea",122.1175,10.783889
"420759","Calotropis_gigantea",144.4698,-20.0365
"459985","Calotropis_gigantea",90.683333,23.25
"461102","Calotropis_gigantea",140.956944,-20.637222
"464993","Calotropis_gigantea",14.39417,-9.68333
"472024","Calotropis_gigantea",70.5008,21.5256
"474300","Calotropis_gigantea",77,11
"484193","Calotropis_gigantea",13.921111,-10.428611
"486847","Calotropis_gigantea",-58.46666,6.83333
