"","species","lon","lat"
"13049","Caltha_leptosepala",-110.886,41.261
"19455","Caltha_leptosepala",-105.89,40.51916
"19634","Caltha_leptosepala",-121.129083,40.502694
"35619","Caltha_leptosepala",-122.9553,41.3074
"35692","Caltha_leptosepala",-123.55318,40.6096
"35708","Caltha_leptosepala",-123.5435,41.089
"35720","Caltha_leptosepala",-123.497644,41.060543
"39752","Caltha_leptosepala",-105.525,40.23361
"42940","Caltha_leptosepala",-105.91644,40.40247
"42982","Caltha_leptosepala",-105.713914,39.598711
"43006","Caltha_leptosepala",-106.2146,41.3541
"43034","Caltha_leptosepala",-105.507244,37.591111
"43044","Caltha_leptosepala",-106.41267,37.08564
"43065","Caltha_leptosepala",-105.514105,38.183107
"43079","Caltha_leptosepala",-107.0884,40.0096
"43113","Caltha_leptosepala",-106.0113,39.9227
"43114","Caltha_leptosepala",-105.01414,37.34073
"43153","Caltha_leptosepala",-108.193446,37.801629
"43154","Caltha_leptosepala",-105.75278,40.05944
"43205","Caltha_leptosepala",-105.851598,40.61887
"43225","Caltha_leptosepala",-106.3234,38.5588
"43245","Caltha_leptosepala",-108.15822,37.42123
"43290","Caltha_leptosepala",-107.53405,37.78404
"43291","Caltha_leptosepala",-105.11611,38.02029
"43322","Caltha_leptosepala",-110.503235,40.621284
"43323","Caltha_leptosepala",-110.2343,43.3424
"43408","Caltha_leptosepala",-107.332222,37.621389
"43425","Caltha_leptosepala",-105.159036,37.224142
"43434","Caltha_leptosepala",-105.162417,37.197483
"43454","Caltha_leptosepala",-107.098666,39.998998
"43455","Caltha_leptosepala",-105.89221,40.51506
"43456","Caltha_leptosepala",-106.4804,39.43794
"43489","Caltha_leptosepala",-107.5998,37.524252
"43490","Caltha_leptosepala",-106.6907,40.58564
"43532","Caltha_leptosepala",-106.32266,38.52034
"43571","Caltha_leptosepala",-105.03326,38.81218
"43610","Caltha_leptosepala",-106.130361,38.995708
"43611","Caltha_leptosepala",-105.07421,37.32558
"43643","Caltha_leptosepala",-106.109089,39.022945
"43654","Caltha_leptosepala",-105.250278,37.029722
"43656","Caltha_leptosepala",-106.47956,37.12036
"43682","Caltha_leptosepala",-107.595215,39.050541
"43696","Caltha_leptosepala",-110.971639,40.880951
"43733","Caltha_leptosepala",-105.524217,35.8708
"49802","Caltha_leptosepala",-88.11792,43.525419
"54088","Caltha_leptosepala",-122.001656,44.6489
"54216","Caltha_leptosepala",-121.129167,40.502778
"54613","Caltha_leptosepala",-122.00281,44.64768
"61850","Caltha_leptosepala",-105.6505,35.942204
"61990","Caltha_leptosepala",-106.976691,35.988266
"62238","Caltha_leptosepala",-105.453,36.622
"64146","Caltha_leptosepala",-106.1531,41.3996
"68850","Caltha_leptosepala",-149.658733,60.182917
"68872","Caltha_leptosepala",-149.262433,64.202583
"73114","Caltha_leptosepala",-145.75,61.133333
