"","species","lon","lat"
"1250","Capsicum_annuum",24.556845,64.666151
"2571","Capsicum_annuum",25.660554,62.221774
"6207","Capsicum_annuum",27.228274,63.600744
"11987","Capsicum_annuum",25.858185,63.093937
"12291","Capsicum_annuum",-84,15
"12316","Capsicum_annuum",18.8,-5.033333
"12321","Capsicum_annuum",14.10429,59.3544
"13320","Capsicum_annuum",-95.00361,16.65222
"13344","Capsicum_annuum",-96.16967,15.76025
"13489","Capsicum_annuum",-100.374,19.421
"13537","Capsicum_annuum",-96.61703,18.01208
"13576","Capsicum_annuum",-105.02083,19.53092
"13596","Capsicum_annuum",-97.81,23.89389
"13669","Capsicum_annuum",-101.525,17.7
"13821","Capsicum_annuum",-96.54958,16.94633
"13824","Capsicum_annuum",-88.75861,19.28172
"13825","Capsicum_annuum",-96.21483,15.77117
"13872","Capsicum_annuum",-66.9089,18.0842
"13899","Capsicum_annuum",-94.9467,16.5574
"18901","Capsicum_annuum",24.535927,64.665803
"19446","Capsicum_annuum",-91.46666,37.13333
"19471","Capsicum_annuum",-91.786389,15.928333
"19507","Capsicum_annuum",-77.45,0.13333
"19611","Capsicum_annuum",-85.945667,11.856028
"19648","Capsicum_annuum",-88.93,16.745
"19686","Capsicum_annuum",-59.7,7.36666
"19740","Capsicum_annuum",-93.013056,17.281667
"19843","Capsicum_annuum",-89.05,13.883333
"19874","Capsicum_annuum",-93.393889,16.0425
"19929","Capsicum_annuum",-78.767071,-1.427421
"20238","Capsicum_annuum",117.47,26.72
"20273","Capsicum_annuum",110.05,25.25
"20354","Capsicum_annuum",-88.879883,17.020131
"20360","Capsicum_annuum",-78.775167,-5.372333
"20815","Capsicum_annuum",114.141469,22.491683
"20891","Capsicum_annuum",-59.1,3.116667
"27416","Capsicum_annuum",-93.131056,16.900306
"27430","Capsicum_annuum",-79.5,-5.41666
"27476","Capsicum_annuum",-80.68333,-1.03333
"27537","Capsicum_annuum",-88.644444,13.6025
"27601","Capsicum_annuum",-89.39,14.820278
"27635","Capsicum_annuum",-83.51,10.58
"27657","Capsicum_annuum",-96.960069,17.811731
"27688","Capsicum_annuum",-85.35,10.8
"27828","Capsicum_annuum",-67.05402,18.51177
"34659","Capsicum_annuum",-59.7,7.366667
"34695","Capsicum_annuum",2.396817,6.365867
"34859","Capsicum_annuum",-89.883333,16.983333
"35175","Capsicum_annuum",-84.60139,9.7625
"35181","Capsicum_annuum",-86.261667,13.385278
"35182","Capsicum_annuum",-75.056944,-10.447222
"35188","Capsicum_annuum",-85.47083,10.92916
"35239","Capsicum_annuum",-75.558333,-9.691667
"35353","Capsicum_annuum",-84.25,9.91
"35407","Capsicum_annuum",-84.25,9.916667
"35496","Capsicum_annuum",-89.50611,13.50638
"35751","Capsicum_annuum",-106.641667,25.508333
"35774","Capsicum_annuum",-79.83,21.83
"36967","Capsicum_annuum",-77.080556,2.085278
"36971","Capsicum_annuum",-76.295194,3.836194
"37067","Capsicum_annuum",-75.666667,5.416667
"37096","Capsicum_annuum",-76.629417,1.077889
"37598","Capsicum_annuum",9.988694,0.330694
"38319","Capsicum_annuum",120.733333,22.316667
"38998","Capsicum_annuum",-53.535833,-25.700556
"39074","Capsicum_annuum",-85.46833,10.926667
"39096","Capsicum_annuum",-86.501139,12.703278
"39102","Capsicum_annuum",-79.16666,-6
"39224","Capsicum_annuum",-89.3425,17.961389
"39332","Capsicum_annuum",-89.047778,16.868611
"39343","Capsicum_annuum",-86.3,13.2
"39388","Capsicum_annuum",-91.828611,14.6675
"39458","Capsicum_annuum",-90.1638,38.3533
"39483","Capsicum_annuum",-85.486389,10.893889
"39525","Capsicum_annuum",-59.5,4.05
"39687","Capsicum_annuum",-89.3425,17.96138
"39748","Capsicum_annuum",-86.883333,12.416667
"39955","Capsicum_annuum",-88.303889,18.521667
"39983","Capsicum_annuum",-88.1510011,20.5874865
"39992","Capsicum_annuum",-88.478742,18.4968019
"40005","Capsicum_annuum",-89.433333,19.7
"40012","Capsicum_annuum",-93.3369841,16.7525744
"40024","Capsicum_annuum",-89.91233,20.551111
