"","species","lon","lat"
"50559","Carex_kobomugi",128.66,38.09
"50627","Carex_kobomugi",140.28,42.34
"54530","Carex_kobomugi",130.3358,31.583
"73529","Carex_kobomugi",133.258056,35.505556
"81777","Carex_kobomugi",-122.786,45.6165
"173792","Carex_kobomugi",128.547036,38.301775
"173793","Carex_kobomugi",128.532111,38.318233
"191227","Carex_kobomugi",137.233333,36.75
"191234","Carex_kobomugi",137.266667,36.75
"191529","Carex_kobomugi",137.283333,36.75
"191598","Carex_kobomugi",137.57368,34.68952
"191643","Carex_kobomugi",137.230285,36.753068
"210302","Carex_kobomugi",139.228071,35.290778
"211000","Carex_kobomugi",139.378058,35.315778
"211072","Carex_kobomugi",139.178078,35.257449
"211299","Carex_kobomugi",133.203549,33.174454
"211480","Carex_kobomugi",139.178078,35.265781
"211809","Carex_kobomugi",134.240414,35.540504
"212006","Carex_kobomugi",140.37962,35.40738
"246778","Carex_kobomugi",140.790556,36.8625
"246936","Carex_kobomugi",140.943889,37.857778
"247052","Carex_kobomugi",140.940417,37.863056
"247269","Carex_kobomugi",134.583333,34.066667
"252358","Carex_kobomugi",138.77563,34.77541
"258646","Carex_kobomugi",-122.7852115,45.6159745
"284629","Carex_kobomugi",140.60599,36.07389
"284631","Carex_kobomugi",140.62068,36.04476
"284632","Carex_kobomugi",140.75288,35.83085
"284999","Carex_kobomugi",140.57585,36.37886
"285096","Carex_kobomugi",140.70522,36.67881
"285242","Carex_kobomugi",140.57602,36.31736
"288185","Carex_kobomugi",141.269,43.186
"288207","Carex_kobomugi",140.939,43.177
"291904","Carex_kobomugi",138.94,37.876111
"295838","Carex_kobomugi",139.99798,40.138866
"295847","Carex_kobomugi",139.9977,40.203
"295926","Carex_kobomugi",138.769448,37.644545
"297817","Carex_kobomugi",136.417183,36.419834
"297818","Carex_kobomugi",136.410874,36.41456
"306333","Carex_kobomugi",136.567,36.576
"306395","Carex_kobomugi",136.59,36.602
"306409","Carex_kobomugi",136.591,36.587
"306430","Carex_kobomugi",136.5892,36.6
"306436","Carex_kobomugi",136.583,36.596
"314577","Carex_kobomugi",134.683333,33.883333
"314625","Carex_kobomugi",-122.7859,45.6162
"329410","Carex_kobomugi",134.346389,35.106944
"352159","Carex_kobomugi",135.35001,34.716702
"352218","Carex_kobomugi",134.43401,35.617802
"352305","Carex_kobomugi",134.683,35.650002
"352488","Carex_kobomugi",134.45,35.616699
"352531","Carex_kobomugi",135.3,34.783298
"352599","Carex_kobomugi",134.45,35.633301
"371272","Carex_kobomugi",140.0065,40.2027
"381691","Carex_kobomugi",140.10292,39.71988
"381692","Carex_kobomugi",141.36357,40.97916
"382463","Carex_kobomugi",134.95,35.65
"382483","Carex_kobomugi",133.753797,33.532806
"383288","Carex_kobomugi",121.494444,25.257778
"385553","Carex_kobomugi",134.73333,34.76667
"385644","Carex_kobomugi",135.03125,34.654167
"385732","Carex_kobomugi",135.1,34.633333
"385756","Carex_kobomugi",134.80833,34.73472
"385821","Carex_kobomugi",134.45,35.63333
"385891","Carex_kobomugi",135.907222,35.642778
"385895","Carex_kobomugi",134.933333,34.666667
"386112","Carex_kobomugi",135.116667,34.633333
"386160","Carex_kobomugi",134.83125,34.770833
"386176","Carex_kobomugi",134.9498,34.67033
"386717","Carex_kobomugi",133.116193,33.08258
"386832","Carex_kobomugi",133.566667,33.5
"387189","Carex_kobomugi",133.45,33.433333
"387367","Carex_kobomugi",134.283333,33.516667
"387368","Carex_kobomugi",132.95,32.816667
"387507","Carex_kobomugi",133.833333,33.516667
"387508","Carex_kobomugi",133.641132,33.532537
"387550","Carex_kobomugi",134.016667,33.416667
"388061","Carex_kobomugi",133.43125,33.445833
"388265","Carex_kobomugi",133.63125,33.529167
"388346","Carex_kobomugi",133.016667,33.016667
"388799","Carex_kobomugi",133.233333,33.25
"428175","Carex_kobomugi",-122.7850798,45.68278
"443534","Carex_kobomugi",139.846775,35.003331
"444285","Carex_kobomugi",139.88427,35.094987
"460366","Carex_kobomugi",134.58234,34.07608
"478680","Carex_kobomugi",137.7395,34.6609
